m/z	Intensity
2003.0634578052657	1135.1875126722402
2133.01715679818	49114.59853941947
2316.204309975854	766.4608501650781
2587.846824460074	217324.96991419984
2600.002281968243	1330.4105212587415
2806.150123507769	126170.81075609743
2828.698095816806	53875.42872259959
2873.7428417174688	418656.5272210864
3045.291242447543	238429.11715438476
3054.6587114955933	5625.4223112399695
3150.303988131093	5117.640624974045
3189.5174542912705	5379.54938116365
3320.9714714186357	2686.671393459307
3474.1642996033975	227656.3107193475
3635.2445109455134	25268.410309846386
3717.3364459859617	144215.02395347945
4159.725661993798	228954.89229366014
4243.400392615346	7958922.257763988
4253.6735687529	289351.05858822586
4265.331516752986	4925493.869247702
4286.23809759202	114215.21089237423
4486.243534487298	43644.334239154865
4660.940592956877	485085.44364636176
4784.2067459574855	535819.116879943
4997.398306269213	2506.659315407925
5026.62192647352	4982.256726102815
5054.756755708508	5955.143476313381
5134.790939670719	43383.16270099447
5175.529704138549	5723565.482404264
5196.93329899285	143529.49198735924
5747.856577664446	36352796.41641218
5769.6132529759725	1692296.711003029
5786.500089969477	308590.762653087
6042.7638351000805	8404.972832526433
6090.4649283187	4129050.1168050994
6112.273249407207	186540.92671002107
6300.409004981747	464577.1798602014
6323.067117172242	73322.29519698267
6641.981737856664	7122.635512037341
6948.582497731603	1139069.9638250151
7271.057920708295	76321.59161285617
7434.779557851396	804784.3885678396
7455.891366634015	7486.281158850029
8319.019893156643	329489.569811527
8486.195830425266	31806778.728976402
8507.919323380027	678671.785468211
8648.19352300384	18340.011120975658
8972.51780060205	4350.8688537061025
9321.497801196854	647106.7610083913
9568.467729799186	198386.86446415485
