m/z	Intensity
2001.3118172526115	20308.13995644804
2006.1507400545565	63943.98004316754
2018.206159572934	13492.231500688578
2022.0526170649343	17678.809514631375
2027.7277554332316	10895.929236000487
2030.9742623016634	15905.739085805588
2035.916636008436	34772.23996826428
2048.1969233365144	7798.788676134956
2052.6840051687445	4307.872406785988
2057.9251392310593	6325.323661521157
2075.2614549404675	8145.009836203453
2096.793473752441	26742.447996906143
2111.876809870377	891.3285449393966
2132.7653317159693	457958.3997584291
2148.1164398944006	5532.4529907583
2214.3083649319706	5164.043804763025
2259.684180251432	4164.596253551405
2301.1247612661514	2027.2870667994605
2304.0065525201812	5485.857526595773
2307.7555771775283	3856.841810213201
2315.335013255466	11287.463254798906
2320.539522743378	11765.360799459153
2327.705263641036	4934.958315985131
2351.4524267255656	12794.984601103766
2362.531894396591	13243.503534997395
2368.592858933532	10090.933986337961
2371.95529182359	3764.8243259446704
2398.86707653775	2885.5236505067455
2423.0474928633007	17078.710583344542
2427.114007042678	4303.930514739155
2445.1956570882253	7786.929262083583
2455.6750718067096	3006.1465142920306
2478.718959420228	2060.149219728205
2579.9718978367196	27480.34062416687
2588.1383056662758	1892337.6434152427
2597.1592130235276	49266.25598219738
2618.166595566682	7700.086527495422
2673.461266945642	5413.050919279287
2684.9629541258814	13145.774312610047
2773.8309547766107	18259.92082764787
2805.8690390402285	1027536.8618073842
2818.927093884427	72462.0092464567
2830.337821174697	24640.172223946785
2866.637242101141	12844.362395158692
2872.830340855756	10533.523475021078
2990.7014151333365	9440.682327261926
3023.0567200755245	7143.579292298364
3033.3016466972285	12571.743071322468
3045.2207293916904	1385970.7805550327
3056.748123446636	80983.80504643795
3071.624831640449	17032.116649657844
3108.0956494292595	8107.765420177147
3129.0567515182306	12475.216451875449
3189.139971018382	109065.14995659128
3219.225471470458	8689.736531467564
3260.7593581105116	3619.2048703236756
3320.7901229530894	24431.591277263695
3331.0940009647406	11221.010879096153
3350.2721196233356	9956.12457855502
3438.0911635026355	3457.819151077093
3454.573410118288	20688.47310254773
3465.70132032082	40513.44634830569
3474.0147488297935	1106863.4909389948
3635.40089067744	871819.8198469561
3717.4221878184235	1989831.1652900008
3726.3986559310106	27168.22150193992
3736.5789538331182	46817.77688997719
3760.018720887057	24132.467578480188
3928.40735850243	4985.787424716669
3959.900723978151	4683.433879377236
4160.018698609441	4002593.733889369
4265.35872662224	31182609.947601218
4285.778762919152	1387239.1418928418
4302.405947923593	87267.84793841088
4453.198633959678	45377.117744104224
4466.132765877355	82352.54842421916
4486.423892890923	1477747.0088146285
4660.9603316980565	1010748.1848209283
4784.463223597968	2766358.933009919
4794.230252542129	29259.802660299978
4997.498147718985	389872.34074165655
5017.153053800406	16211.580494551981
5026.622400016827	428512.1032619706
5134.816642012934	1161366.3006431852
5175.564976423305	48179499.51645685
5196.86537845914	1997692.257025698
5212.896485857781	243134.87083667953
5430.2943749040605	6094.243296729585
5642.542884799839	173887.20068749582
5719.153567266178	6570.16543593458
5748.029983558504	1178751.1566979948
5768.7656778964865	21409.69275272286
5785.540993716091	9979.323532368444
6090.841222654245	24759212.539684217
6112.890051674464	1317858.7926141617
6302.390249419687	8397.348918020667
6327.803834523625	19021.673682629946
6641.893584446013	553210.4764405322
6662.956323161767	50698.97515218428
6949.064875950554	10256212.4582573
6970.859485476876	70549.75447316056
7270.986878558414	4123886.9572013407
7295.331885001076	42601.56122171632
7435.393212501107	13730297.795147998
7455.8625688077045	332170.2016799256
7931.88275118196	3188.023904946419
8320.70159369466	11801850.72146857
8486.826761425275	46561.37939991198
8972.569833069801	3166022.613745158
9322.357360148504	2975252.9344298453
9569.102521980287	6652362.291604226
9995.41051320789	225314.667294137
10052.682547192257	169535.30793460924
11286.64872441631	1835.1059225955742
