m/z	Intensity
2004.5313820804115	72880.88643885734
2009.9735097637013	19067.10057887806
2014.7498373007586	17402.58221019495
2017.7800219321143	8181.08594867868
2021.1495642856598	8917.396743036512
2025.1292398941505	16626.964115470553
2032.0861903653856	34753.91394000084
2036.821023431306	52740.662524011466
2052.0774470102215	15581.829736278567
2213.201510607798	6560.44946647396
2345.787346380316	5097.111351774991
2426.732028590251	2406569.6296930253
2437.3075586356863	57193.7957976985
2611.5587222780614	7063.387521608828
2615.6220084203082	23011.37114952174
2631.291302804362	1877961.8363556848
2777.897333614498	2727163.3657504194
2799.9135992678844	105066.30046738217
2814.9311152523755	29407.956143233918
2921.5836491181913	19181.009509817264
2930.7502996036137	62668.5976711461
2937.573750469487	177524.76143452682
2943.2660202467405	85526.31749371333
2962.4160801274334	20868.324348256465
3046.337954923207	3020610.85360013
3062.748414483801	19753.015836191767
3164.161105998193	11968.722212406843
3198.6716362191128	19532.088762668616
3210.641590278846	15641.128748437848
3216.167182321413	8623.559981208886
3296.0902770843322	50168.974183182276
3516.088649428043	1204794.1348479148
3525.6988604585085	22290.171740137543
3535.2330219048845	1252944.0832935364
3549.960465876199	37696.4395200172
3579.8660855792336	2586753.60031009
3680.700035028918	4548087.059845444
3763.31380896755	24841.58888863009
4216.678568706874	266678.2314178528
4234.71303964387	2995838.1949788737
4428.942997941447	172654.94669356514
4437.430105175521	733444.2216665155
4657.977861057252	2306163.630093426
4778.909903690686	965540.2884224786
4795.615121488695	1981212.9452307634
4848.515824101764	79762503.92499793
4946.218943857449	968462.8356437368
5259.630861898472	58043877.77126861
5643.45210344158	2182741.6045308686
5857.003393891812	240706.34899403213
5870.898544847106	3102529.8857579115
5881.589478255151	200907.09145656787
6088.671113802556	51677558.6455584
6237.714067223521	18348.609817228305
6807.911388085406	470073.10489119607
6844.213774835975	684547.7033086292
7029.436666620741	9819527.121767528
7067.458766584245	8487816.747537144
7157.75992302889	17329238.054775227
7359.109194063156	27547385.814257383
8464.772320563294	14995367.884401625
8868.206643612035	19972426.365714353
9313.132678395523	10387564.067250514
9556.677447793565	2380646.517647892
9587.194733394654	8974020.626015095
9890.270236748584	7873640.611991918
9960.040067928328	121596.06949377437
11282.347942291215	1908204.7469380188
12472.597331948498	18751.35006436135
13621.522142418256	135390.32661393544
13678.464068179155	573058.9999263876
14868.929848722828	6422.727040341558
