m/z	Intensity
2004.0173732561773	12336.332147571395
2007.580542834405	45000.49162981894
2012.224128480245	9284.075555325217
2016.873078290916	77604.40990839616
2023.5526801710726	71727.76168132338
2031.1903676931722	49341.18260941434
2038.2324573748303	7374.055605472257
2076.292474403982	5451.195734197013
2098.651007655775	360042.9341341238
2126.317605330814	3927.86216407146
2133.245229798849	1025571.3278393783
2195.11611794999	6563.405899960941
2302.744212076982	40587.85421959401
2315.3674807493107	61037.34680173673
2324.188114556931	13224.589824390183
2363.066775531374	10859.798273395256
2433.712919870945	4036.5353437948306
2447.65508261558	13977.797156355266
2531.7666422812194	25852.208305869768
2568.4559132798836	32177.9314435105
2587.892163829862	7759472.054327153
2606.5585784393097	51994.01274487309
2628.9852447610274	9419.701504416045
2672.1864740836877	11634.936219368963
2675.834822974902	18576.173953877344
2689.8302412336498	56261.226444506654
2703.0816552441875	31439.8876641155
2773.146262401581	65849.8380161005
2790.0888188904787	119732.97993212107
2806.287704631018	7085439.483750928
2818.6270288376672	117141.68948684659
2830.274632885381	49711.26260718417
2845.228219455204	23848.358390814254
2858.3750231963827	45743.81056253692
2888.2274738907745	403076.16917050496
2901.7965767281694	46787.256876310465
2989.3754359878826	15967.940305703669
3022.5428716661736	9928.279425099336
3027.2488183207493	4350.414010712333
3032.206401055483	11716.222048498843
3045.2807727561535	3788545.6656282214
3180.4491314808456	175702.3312258845
3190.5312529589314	5531.884953434533
3252.899933823693	8057.362670308383
3322.0989377516858	36739.90943882129
3385.210357106626	59701.28860466388
3442.4831466512665	104679.45861585488
3455.8835690588844	159029.92364187015
3473.9092588202275	5054935.413413052
3673.5575915163154	859095.9646035191
3686.2151169082017	9188.645473753044
3717.8168732014246	3111418.425053305
3743.856680607266	126676.32337983421
3755.8986264357113	7452.817010584869
3855.2600543777457	53564.49531743241
3866.079529076594	4796.978218909421
3873.456642751442	16142.955467329908
3941.9576026229024	16561.871287642643
3950.727555049304	7242.7050194352
4084.5014488027987	16134.47473462903
4142.84619902413	50802.61929536037
4160.062381750529	3800845.988393485
4235.436552747603	149669.66319795212
4266.16788247036	42140372.84898225
4411.2157369455845	1592538.9018530687
4421.39102034352	24791.17755527576
4429.87937753346	63369.227203197435
4486.508875299945	976021.9799376223
4496.871243201527	45628.822639124475
4661.11715452452	653671.7159517317
4677.631905355541	43143.7526631143
4771.525190212831	6111543.383223319
4961.053422456003	303901.49360412406
5026.397719256145	99431.05980851983
5135.860484211367	2988313.8341327184
5176.497467783681	89631524.52356608
5197.0383342669	1374159.5632081996
5588.981050773076	134085.1274263786
5650.084438933478	30549.171622959704
5717.5343007989	303743.1747096507
5779.106285341975	18514554.79031454
5800.00841595948	316519.8837620834
5816.711492418442	123159.92370357801
5961.5116141977915	239962.88723440043
6091.678288089433	37930981.941479646
6111.729401365733	828618.6768789766
6391.343117922123	14732.222656876022
6642.90923894493	356604.0209090524
6773.230868470805	9008.481212979339
6949.796547499113	31311950.076552074
7347.653318625797	2490355.3326765234
7436.447786380303	20771656.270666182
7898.288938573689	154951.7155750642
8321.376544643188	10757164.689374605
8618.948350389137	8244.98946188152
8823.335558631989	7695848.065046094
8861.871807143714	92286.2274955138
8974.57106375949	1489435.190069423
9323.60777193548	2023757.2332838052
9542.882218734374	7205017.339323561
9923.172506312254	154570.16143874786
10054.898321988587	95614.03441025964
11297.378148960026	3931.189931511712
12071.430046486075	237702.47188720302
