m/z	Intensity
2001.1316178650418	161195.07534302658
2013.7071120357657	44288.19200580737
2023.3502442518145	53998.89235242096
2031.257212530364	161445.59450235366
2092.1836076678496	417136.44857427053
2108.2794451584027	32693.45949288531
2113.3824184686905	54618.832733798656
2129.3516512048514	10927.747163498538
2133.647996880313	80444.65900610677
2150.667853680999	20012.24668077205
2159.377502522905	9304.72358631978
2175.6592675106617	3751.5212219727546
2219.7769812130964	402250.648261566
2232.0277594865197	27567.657247686097
2236.7103508693167	90119.64682682675
2296.4478754679585	11400.612635314546
2300.2615997681432	11178.925445165998
2312.154773683366	172095.1639853396
2326.3222731400424	96329.79214694734
2334.800028208115	7504.915102351912
2349.9096657270325	9350.486319208087
2355.6611919307593	253469.18145977444
2372.519277190005	591899.7271181296
2390.0978361531024	18491.081841245155
2393.9150756995246	4909.277350255844
2475.079374521473	244720.71593956678
2491.6843811429626	513352.6076399211
2505.789690820532	434267.4436237319
2513.459231336227	16950.607454458564
2529.2108782819155	236736.29204625572
2542.5892694007043	6590.782881848509
2548.950684174575	5330.854243983975
2573.181318596694	84065.35485732697
2589.958886323948	186845.70701032164
2601.046636545579	32042.566649503948
2695.2745854580444	32822.58001574832
2773.760933959629	7907.302148162351
2786.7402095299085	212447.6797160927
2806.345440135217	862342.6644992275
2829.052253869197	20220.178886819653
2873.6942737543445	143273.89989523703
2877.799247650227	29461.86606832295
2890.373825547569	10445.999871761502
2945.0989750503813	21505.959654360202
2952.5159950187062	10861.847655450914
2967.868610696892	22586.39786405324
2972.7767622134506	15467.95269581228
3078.0336346903323	169718.2791720883
3105.4076075758094	164250.3412767133
3125.59803340567	6413.95219493862
3196.313001496579	34177.11902403565
3324.693190184917	145492.26401390522
3345.8436399731586	3744.382474381978
3440.089659280441	22020.576872542373
3453.572026132784	103926.24495288807
3474.597007929597	59803.05355913247
3634.6801002747166	9652.19823089736
3709.6258264060784	15015.490353133253
3718.590163762741	95173.6597128539
3741.7828044775015	4372.92705095988
3840.4815078194283	35556.09085008995
3884.3234519768434	15124.878630884063
3912.062248562653	441892.5133073136
3934.8139166217866	420851.77135504317
3951.7794263140277	411489.6703750079
3971.9970198427654	148000.38940019708
3990.8437808183153	32996.54989866893
4159.567360286049	22712.012481851707
4243.527847839105	1703872.9996560446
4249.983460618945	245615.68396324324
4265.359712573052	1937887.0946616868
4486.357078198331	7634.62881436023
4509.4088404991735	2471.497778079929
4660.531438223856	72189.9233257709
4695.949477813564	1553.6009502136017
4783.783394402097	104394.30787945146
4940.769736707521	2713.5226704313554
4960.095532759639	81253.14163202376
5027.128270559972	12967.52663598609
5036.391108889136	16467.642185800603
5054.72893658634	286762.1710107955
5132.821405992556	124939.71893987701
5176.140812930252	2315497.523630392
5304.3486577805825	7013.743516750842
5338.619524688502	5552.593461787117
5431.691022182403	109027.39326670441
5453.726645327685	3324.688016086222
5469.588833412882	9402.207172273562
5633.5324872684305	40103.3486374665
5749.027836536953	91753690.22221074
5935.217255476434	3534.9999767413924
6091.763019144849	1245624.4210675713
6246.905736023005	37669.28433657919
6328.5514993116185	1130392.0892121934
6359.275400612123	43648.86006573377
6374.964848703485	92167.7409628353
6502.628664088335	12153.684449713444
6643.174920446317	29700.001935065302
6949.905986439049	309472.974801507
7124.035212380134	6177.218063231341
7227.65824237443	2241.679475683158
7271.748602381783	173919.50892365386
7435.983975345924	1139210.3344689272
7843.293303517489	2586.2032119175556
7929.132063209691	35865.38107810114
8322.83075197944	311927.1922122528
8489.47964865545	114933272.19065611
8721.161461003783	172592.46063573635
8972.446822593556	3489.424331994308
9276.965384053354	4039.246170261646
9324.009010744023	456408.2152373425
9569.966458331965	57892.84909721593
16973.373737034603	5828.864751108972
