m/z	Intensity
2005.323937275891	358883.4950332306
2014.7447268952765	160762.3969337075
2019.9355715435574	35649.26357630148
2022.2297582994772	19425.39033194454
2029.593429592004	932829.798391162
2046.3294365873733	15919.547399714254
2089.7392419530306	836021.668902845
2110.5805658716968	393562.2619477519
2133.1193890347517	219494.51742227102
2141.446030338333	106086.04814054456
2177.5054517343287	3013.6372574486595
2217.257045303063	1278383.1535534575
2229.1463417561245	438312.3316439689
2234.0386555181294	317493.930582983
2297.623101847725	29320.29942397389
2314.1279124625935	435975.8321137855
2323.668439599252	230392.90548754245
2353.4998608345686	656451.1367451944
2369.6923262253804	1509349.3775349348
2386.673501725716	60850.744654692164
2472.264884034422	644428.636202429
2478.6123846116543	58744.95902163808
2488.710435829125	1836139.7450282115
2495.6038324127267	5550.846554032763
2503.107468052487	966511.7381930848
2511.1488323034296	65827.56249855916
2527.1947949636847	542446.4080661342
2572.6694143277455	212400.58636440718
2588.8340631129736	1665587.2810459582
2598.082805308519	192711.07773910806
2692.7232673671097	57857.5044144978
2707.7760460799277	26014.657361053403
2743.193378553492	153542.40907975295
2760.0420298545178	18880.267679587825
2783.74847852694	336956.76924627076
2807.2381971120703	2058315.492627602
2828.032290199869	177472.18953015795
2874.59657094543	1707931.271383411
2885.793098647781	143598.82584920505
2947.1518684716084	53681.93183005198
3045.4093561502186	198984.752568999
3074.4683802857044	889732.2116716632
3086.964487093749	110502.33822564335
3103.999863750488	674737.1231998553
3192.8475387914764	475471.60754286154
3209.4919288824763	54402.17812219886
3320.897193059112	1028978.649081834
3335.270701928127	35421.31301640533
3343.423682180583	21598.57514264588
3433.3236006741968	112399.06379826608
3449.3483949424376	528780.6018836027
3461.082416408013	22317.71355508009
3474.871020456491	295922.8877348202
3493.387177363734	6349.545149474403
3577.8125100633606	60195.22674046347
3636.5867350684184	51476.100774413106
3707.7113028431404	238737.84193943584
3718.4119404834537	361897.93268606195
3742.521795867569	2194549.6418980304
3757.779530300744	26140.102505578114
3764.2228186148045	71535.65374520891
3835.3703088271395	57190.18804698333
3908.028311959057	442738.6410009288
3930.767891399183	571246.1544503754
3948.9504585250893	271505.65873712243
3968.404049068822	145089.66011751565
3991.4131791931945	9036.67448169485
4138.971899515709	149592.33466370823
4161.307661817763	500050.5900047844
4244.599714842166	9574533.01368955
4265.845773443533	4631620.765205374
4285.86739578263	257153.94713849947
4342.157535366682	15796.088743853628
4487.153530140769	100592.90879797247
4500.132694020684	6538.46890554076
4636.370227455133	27768.610547927317
4661.3403272600235	463523.50658000546
4785.742967657894	553225.396920169
4804.971220177347	18058.44950630478
4959.4451289239805	15256.164958409243
4999.586269755517	5207.678582200272
5027.536560286294	40881.744999688315
5039.676100166003	55531.3053685675
5056.632010112096	231191.69375384718
5136.78152453566	586588.1558866773
5176.87662611123	17609734.289678197
5198.172914504696	305276.3814120661
5390.043397044185	7407.19676555167
5422.267769568034	28322.734199238635
5434.210702953384	59541.788181808784
5749.11083998647	105008766.01577406
5770.411913772189	4226188.451844082
5785.585844748634	1566944.4129793174
5936.917485929103	81712.96362903461
6054.062964382596	31598.318811003614
6091.725628823503	2120902.702163137
6112.008767457943	52019.17165563867
6249.95004054961	3744.9211330313096
6328.628882197565	804013.1716645008
6354.924643744683	117045.20422141143
6374.921915750764	129760.89039075404
6560.6868299737225	4704.545309108711
6643.983022357191	26950.511754986164
6950.352065951053	904172.0995725325
6972.016401109617	24769.5475335192
7271.687602925049	381574.5215702462
7436.178446824036	2449357.92806657
7457.679236313618	43532.209026202705
7929.324686452231	58853.25533697856
8322.06310188665	1706260.9555183435
8487.871916558965	115149620.86235753
8721.21004871432	313883.44312582223
8909.761927571504	5210.53387539523
8931.309423442712	3596.9229908770453
8974.198113487673	55166.672611666865
9323.324588527954	1078853.5570460132
9386.182694555388	1633.2798360993736
9570.003154080177	308151.3039554692
9995.893239213914	32408.464509465754
10054.502798155632	64550.14588911536
12087.040340778469	50574.83259353135
