m/z	Intensity
2005.022033587176	17611.945983551355
2009.7958134639168	143233.78126425328
2015.450996039942	21806.301379335702
2024.5563275710842	736331.0639296914
2029.1504885103216	45466.20832129533
2039.3708462614454	17987.51754261688
2045.0674570108793	541367.8353801206
2053.8312932123604	65937.57334188157
2069.5714938283822	296105.8978131035
2134.519569573917	1438533.0883337278
2181.365189590817	48036.170337046
2235.454726434514	18716.74329256527
2240.2821156489686	171285.34829383105
2253.299332434362	35064.27112916914
2270.0707344912644	4923.5923263615805
2400.741881305195	44995.839545525334
2481.108928948819	18531.277578318455
2570.706095806744	43658.498029399896
2574.283444501803	8315.523059097119
2580.378268796268	22673.891863468543
2589.152204110798	3872733.050670435
2598.7824816273305	200258.40535200475
2606.8213685818296	168645.6421314815
2775.4215369435356	35301.443107451625
2794.269441757607	32880.748867669055
2807.453216780649	6575449.834613464
2822.102815303849	13339.766139153744
2828.8033498719105	337954.5559819397
2845.4293444375407	9068.698713283757
2920.524771065316	1860591.946283833
3047.001286929679	2848159.6412926707
3056.7838505499894	47158.493391619086
3066.8314049617798	78585.57513527316
3190.637294119928	21126.051079171717
3217.9905231858606	576968.4501451058
3232.9907027424406	21602.3668227912
3241.8708399186307	37133.54825359466
3258.810920385087	34979.89929123341
3460.413135962873	52864.38837754684
3475.613526897577	2700921.201999209
3519.9898795888903	84216.7395388716
3636.7763272997026	572363.4093272407
3647.916240142855	21943.561902964262
3719.4137306999683	2105564.4268875355
3728.754787823057	86655.79266499451
3738.3828188380144	57799.58169805575
3822.8096847059346	30515.560769502834
3967.3172905775677	23033.600652054563
4161.324200999772	2753780.1974659557
4267.315508506323	53318494.43176646
4286.452967785111	2657226.267196973
4303.171841115164	173815.3097909924
4454.605267540328	46240.85585123872
4472.852889176176	36032.92910478159
4487.719111635622	1045713.3758954237
4508.150059601161	26341.57883680555
4664.347212570951	657337.9256870614
4786.1731978645985	3547565.1038695094
4806.543516890992	58944.55290021306
4827.47841303757	42832.71247393264
5136.845654366533	3293864.30048192
5177.150331512596	76049415.53554314
5198.119074367818	3899656.9433864607
5213.819262877333	482541.41369002813
5720.436767241226	232031.1570135092
5750.781747008283	8037320.3356796615
5771.854373280384	289015.98281760054
5788.511869910637	78593.88398072975
6092.802564034971	43790687.69437566
6113.670819388564	3374397.8454219233
6645.136971192539	413516.45152873994
6950.730517013394	24330739.411153432
7236.105525416741	43741.73042259714
7272.788952764342	2736171.7880965495
7290.973238357859	25563.427590345796
7437.523735674714	23292143.847070772
7931.834029162198	135713.84782013242
7948.281649724773	2254.200709076184
7970.774216641788	5971.010557415038
8322.240783632797	11477476.061406102
8489.959595033512	5582833.962126998
8975.410372084767	2808227.6391534987
9326.385992133772	2805722.0347661646
9570.127476896254	10837137.287793804
9998.800192715067	239743.30145956416
10050.787779012002	216334.49563009897
11214.94796495948	9851.598249002824
11235.299242791487	188.23445755897137
11287.852473555537	24903.580078569812
12087.565628540058	47966.459677885854
12134.963913806021	1919.5817618304898
