m/z	Intensity
2003.29716251919	49470.104725083525
2009.4782926462753	62673.86974011017
2012.7070097818184	91349.83039541391
2023.0158427399738	845450.853335232
2030.5112820796837	425111.88021943654
2042.559929274993	371661.2507607309
2067.309700943759	6640.473840330851
2125.4774324417263	145925.01463482942
2132.9523445771224	7973849.03417586
2142.5227153175583	96648.57693459616
2150.7926277901297	144908.39627996687
2215.901139965434	9208.0322942069
2243.3102986704466	28807.540891002445
2316.3586896251004	277008.5607985246
2399.900323602811	26670.299343171708
2423.7668991496516	521504.00921274
2477.97311827454	640863.2847495218
2568.9900314607967	84342.62162430158
2579.8730463980105	55122.12402861389
2587.8024146212083	6575943.873611562
2598.878091110661	262348.98634300946
2606.8365898516427	186769.00541010415
2766.825608096891	52977.624547810716
2773.456972983558	1798487.130308265
2786.347623539421	7435.678662854696
2805.858815544738	2740511.248247228
2819.2226517027807	12178.857058481532
2827.59117199024	157835.59170723468
2873.5582963408083	665604.6440628929
2884.584330559444	2038.0390299467056
2967.5031595464384	209610.04935831847
2990.917856812651	607806.0697579841
3045.0546326127587	9079262.59714653
3065.449965530285	259717.78791252713
3106.5284556992615	305933.6147479991
3130.4842903550693	149186.96381420354
3189.2515317216685	1605545.370382235
3215.139360457074	380067.2842288685
3258.5753656185	42566.746763685995
3320.774263169607	1923138.5200038077
3330.548663037682	575747.9663856921
3350.314190525387	977938.2002078354
3451.8693635992445	43683.863047457235
3473.8474017326453	7976475.867750268
3635.2513860849012	7838078.744044298
3653.3610273554914	57108.57526877071
3717.0991166087792	12388212.073092759
3760.295960613918	243654.62967379508
3862.525153514063	6950.8139240543405
3873.8129906727445	103537.96285016199
3963.5753404215334	202256.7630033093
4139.329810782846	663442.3964807595
4160.200554531132	16530318.71123892
4178.699426275009	402454.49674976
4243.231248843384	1835856.9215810183
4264.851739253035	40203944.73733871
4280.637005189294	1456339.109781651
4378.243343663384	146547.36796308064
4434.797790334625	160060.3426133797
4451.294484587882	1036683.2839522788
4461.808326447144	429078.10314094933
4485.8865360142745	5646772.998221116
4599.108240992375	458239.3858248438
4660.5479699852485	4335782.197947781
4695.839421956127	1465934.0383910548
4783.820454605288	10816382.7367304
4996.207106926824	2709252.5334655913
5025.937156778941	3995335.046546737
5133.480631994168	414543.78413388896
5174.939138957986	22283545.02260079
5196.325582917729	337850.5386161941
5212.8816767957705	81998.50162695104
5382.2015274528	263391.8138059967
5437.694227229448	59212.94385410088
5452.968617929421	32388.117817693845
5517.73380722916	305060.32005972695
5641.1988570245485	2204291.4551936667
5747.366061067408	7520083.383064242
5769.333472725398	177988.99174532024
5784.724184185221	353025.49681686406
6050.786349321587	674972.5416603906
6089.93567257731	26560106.24336198
6111.726816738719	976927.2373565056
6127.8021722038775	329938.12277899386
6208.613835957399	228501.28590169825
6304.118935459036	178657.98509461546
6326.408929222873	315979.8154831811
6347.065182915239	109795.9828927076
6567.386303196872	319440.9854110058
6641.499016604576	8603478.446049673
6730.047964004197	22968.760221926634
6948.108266891826	14540699.509372381
6970.631466142823	267227.04130503524
7270.202418668297	16150060.061996209
7434.309369535291	22442797.07857293
7456.181891401329	500772.935183957
7748.068686540262	38414.56588649949
7927.733616639311	151551.16140250838
7966.242968781503	30376.27266829012
8320.445940973816	41294250.39248409
8486.129396233518	10756414.136725781
8720.129980526694	26093.19359177089
8903.166957490632	1185528.8673682192
8926.109394172698	732572.5757675436
8971.088332090367	7202589.436833248
9199.2610544363	61041.1118610726
9321.082113695484	11467005.324984731
9391.448458365805	950273.1963456881
9567.421586215843	17024903.63538447
9992.822441479579	1628413.8486915051
10051.68526018554	3238040.4880081867
10763.42851397999	15159.807177265471
11035.741812880939	32033.754324888294
11282.282498710527	991306.6856240309
12080.74269171316	258652.3447241822
12414.38691876496	57971.89464094426
12606.985014883394	34911.8341242481
13130.004747704728	43971.44835905677
