m/z	Intensity
2006.4098942730648	255437.36210914355
2024.388830571826	2256.076185862432
2033.2392818143833	101609.4247075977
2040.4825997780463	14411.935222506145
2094.428517807534	3843.5712663039203
2119.973060324849	7940.878328007631
2134.5008602692656	72104.41358507157
2177.0519841496357	7299.7672314490455
2222.2144551299334	5230.800997893086
2264.2704876390353	38419.01290820441
2342.0099865117036	76786.84062758861
2360.1193874916835	74349.5752911728
2390.4567121065625	135389.9961732611
2414.202728172803	39510.73521064502
2428.0040628619063	6816972.389962372
2438.2142310721465	110679.01659791754
2446.664876014683	37490.391758996666
2457.3602711567455	186547.70182896906
2522.9264882650355	28559.59768519933
2609.315177968942	1249.2903366082965
2615.678430365196	106509.73567417264
2634.1217977148376	6823909.116674877
2779.650224961553	6577724.092953487
2801.678018063886	169917.09476556382
2827.300890452399	380716.9267186666
2835.601519722781	1686.4435562197714
2909.640947045877	73421.40733011073
2924.465997778775	101327.90872187825
2931.5271847468234	234202.83138501126
2938.75950812152	398433.1079889099
2945.5122887180632	495161.97408565925
2955.7783094632478	157189.408904005
2963.2854146989494	113649.47986540443
2983.4874561847123	354939.29102887475
3025.4998226242337	29618.66107777563
3039.541654669284	355115.39522180764
3048.976152030697	6603653.907246707
3058.5911731453584	105074.87323272595
3105.0542744409677	105671.49386304399
3167.0434303212387	252167.3001163545
3189.6213272738023	278813.5661340328
3201.1525062234305	377284.6253120905
3221.978088157875	99140.76817023469
3296.303527061597	832017.3679367363
3325.3022018343495	138283.22062433025
3425.163651188733	258485.25160275152
3513.5987208407073	3975874.3490008875
3525.077436925034	89488.72688922679
3539.608321577275	3334991.33965159
3552.559687827674	357791.3718308975
3574.4967732211603	110573.02797730056
3584.8170580566493	6545347.456698351
3595.96168622534	127508.61972158364
3666.0074875978253	152824.4571916955
3685.8324501902503	11697494.745853359
3763.6422114230386	311721.209835713
3855.5716660561484	20198.190862395226
3956.625906446232	37448.25307820936
4220.825507389904	281926.2364802899
4240.728261725779	7481571.321172841
4413.485629600776	178861.18014942983
4434.636066867851	1240855.5754185345
4444.930235660125	1837057.7061710155
4536.094133714641	536902.411410242
4544.685034241424	105697.16125872475
4573.041954004345	69763.18104878516
4657.413424944397	6997513.946727202
4784.690367458372	4551014.845513804
4802.448557141385	5770577.3073963905
4813.160884134947	180018.00818807265
4855.188857901474	82141701.42335266
4874.962179365233	2477900.2435158
4945.065352476617	3513064.1285934737
4989.253165128824	277783.3778732528
5267.539241917713	61479468.08068055
5286.716413306881	1201608.6536205146
5397.220576328336	36495.682983242456
5556.507326190763	46831.981027596485
5646.20126063095	4197730.310309672
5835.761642161	163242.14956020573
5848.946181367279	1193130.3476175014
5862.719822593404	3001528.4228131534
5876.6246458655505	4950512.727892811
5890.54593889702	4734066.961452486
5903.446441634689	165376.93974268422
5967.117779306391	3063986.5226181396
6097.59310476583	40713794.29919902
6117.638058830152	1505025.6270015996
6225.573398633154	72941.79205503476
6238.717017412972	2148.8725268750786
6321.804747900476	38844.31738290781
6607.243761420422	30171.883492450794
6817.871087690416	505957.8628645404
6859.796802274255	1585454.0242404111
7027.150123835818	12769298.868179735
7053.579684385261	729805.4153507225
7079.301617194376	6687034.149398989
7169.697043206862	19380547.359908305
7371.641580262164	21769427.13428495
8480.93757619717	8320750.751744616
8868.444648399429	1001116.7773418523
8888.796710809846	849057.5752824437
9070.443420195066	320476.708732406
9314.77321062425	7223229.645995054
9569.098389972705	3234560.359785555
9603.16922760205	6644714.896899296
9665.74052860941	258423.42270282985
9889.397758542516	4931916.9960482875
9976.999830453393	78650.06683570429
11289.523410774415	1305409.3199177086
12447.574496313566	12851.009983377458
13643.05329541614	2757.0448324098124
13713.74942026721	320274.8069385196
