m/z	Intensity
2007.281985145032	953789.2833600154
2026.3452843558346	120566.15014402191
2048.1452562595055	498756.23956687254
2057.3877329853467	95750.21150170015
2083.5964520125062	179532.0924073226
2090.03740095894	111856.99895575298
2105.976751910413	115548.89050997501
2119.973352970247	420178.6445145065
2153.4619785891286	178236.4913906698
2169.7806518971447	11297.051630495307
2182.585613982484	14933.659602569203
2199.3657640831725	194434.53855952428
2220.448984332924	432424.55366989976
2241.206693850759	598514.7288029224
2253.2946881672983	331421.7518787216
2259.13699067385	123091.24930190598
2281.292095494671	58319.086354275125
2306.1477185529916	3029617.6165227853
2314.3666394560555	70706.44074474511
2322.0941905225664	29140.169495290647
2327.8078436379883	175656.18850744906
2344.7730252960905	645779.6737025669
2388.848189873326	1174770.761405789
2426.235767741526	80444.86193515276
2469.0537115960005	48435.22154091468
2501.281669986828	12132.523775951242
2515.931425651722	88090.82602615522
2546.9486953095693	3775525.118071953
2562.186915644971	74718.96987332382
2569.785050160734	50104.72801799591
2585.8540238803807	120334.75879791577
2635.5163783467324	3060690.542928782
2650.9396605625184	696854.3949186256
2664.3945194350954	522273.1899725243
2674.003823969384	586152.3391758872
2754.649058974037	9395.674306658075
2763.8675926857245	93695.84364081589
2806.2963770625656	603373.1332088381
2847.1271734153	404421.48144455964
2862.5950022757806	19251.54849027966
2878.265676053224	680382.5881560829
2891.639545992072	89717.81887926548
2978.179191409156	25529779.086954713
3006.4867749350656	178685690.35958838
3017.6001035481277	7265079.990962953
3029.0641382319473	6711799.823769195
3045.3489580186683	41307841.749677055
3082.9613966268666	268209.27595300105
3151.801279358345	10132.365694553731
3177.2837473451714	14003.952104854105
3193.6226363681108	37949.36070223148
3231.9665153060228	7658.834834280445
3547.3121961686184	2113.28317698181
3766.524770830872	2836.0823558949783
3847.504091802001	11445.208362204176
3876.40053199514	1173030.8325768902
3899.1271967870716	48366.55143817715
3914.4090552054554	33980.40115644781
4047.0859222400277	2300.071808203276
4174.4114201651555	11716.522850898722
4192.747881267536	13264.279728018953
4307.055212226201	26204787.56501082
4328.6404779791665	547845.5322809488
4345.235607605438	1024848.8452783908
4387.657155471115	9262.316215468227
4452.876886495706	39996.36710873
4482.854744291213	115365.36777093419
4513.134705087432	219034.93564176725
4702.096154481949	77815.40096068732
4723.514344069752	31212.494813172005
4763.287004098925	5782.657635871903
4815.084618557097	111734.85657648976
4823.310726027559	156536.3545934678
4845.420549816254	107427.88698883278
4916.259330474183	162376.15403553983
4946.278845028094	10296.33515762951
5032.628378493459	25885165.520059943
5054.892378920302	2355333.734802996
5071.115243124308	6323338.288801108
5092.286637558602	281283.5772060645
5107.81891604498	86203.59595012174
5262.810203351962	130833.57013700885
5291.031022353554	356406.8423877581
5303.804167427374	8594217.403394686
5326.98790082048	342524.0527475574
5341.558221776842	103220.2483338801
5438.354146339007	2696394.810462435
5461.829788538641	40430.781150054885
5476.8052492577835	232079.87011875305
5525.3104713752755	16981514.471021123
5547.632119540145	1181621.5398477446
5563.3959256512635	3240125.269492549
5825.983464051876	9739.866317570437
5851.8867555939605	675589.671082292
5873.36345027652	586289.0646509877
5932.713847170448	884113.2661201749
5953.643776512103	277169.78589572856
6086.548728704473	108026.33497144809
6354.368365987506	5349023.952017072
6391.968277875884	11716.884800147194
6424.027431871263	459324.12229868985
6553.551709781201	232052.78643135275
6573.602619076504	1189589.5901494364
6594.53677606163	122811.59819383128
6611.966673304661	413664.10194812756
6818.460139400513	172428.85297271927
6843.626437092259	2413705.863732361
6888.619310581249	14521973.351032583
6911.545124501886	525872.2818342492
6926.642097073074	2031775.5116125175
7139.095394853973	2273.315451950577
7169.41753611175	121311.01744529534
7184.157721191324	31342.572178927792
7566.451616359655	391336.4669886251
7586.166110966481	2591.4660228851853
8091.276974378065	73853.02019849281
8150.210664707436	3339.253924352107
8380.941855860074	6337.608307365969
8890.917663136557	238034.41548923546
9175.891489783882	42860.21447940829
9625.976969387153	2234425.853342423
