m/z	Intensity
2005.436885441971	571.5086921751097
2009.2004522048528	1125.1936578280456
2013.9771895558317	1396.5754669188536
2021.3889685557913	2668.3830654314193
2125.891580922625	1984.1349647791144
2134.199245515537	64037.69555169876
2144.120368742214	322.39674309966995
2589.5912294657683	405578.8551847993
2774.9270929502295	19390.599855873927
2807.6577207852297	1856916.3079079785
2829.3985703460608	44541.3261472323
2845.939283489147	19735.490342559402
2880.6143183988793	41330.68821390812
2992.952561233202	9774.099086898066
3046.8631097886787	522122.7563226143
3191.1973883243154	17318.214199701186
3322.336909703798	2475.714526154821
3332.5472593730924	4445.43821079623
3352.0595598357604	19025.128068744278
3470.859666262498	12534.555501376808
3489.5315173136764	383928.7928957498
3617.485615940907	1979.877822750469
3637.451897270448	414382.5381016813
3702.3338851582425	1094.9128249462315
3719.147121585783	952954.6738768911
3762.6349297703023	18210.357164026344
3966.747036506621	2718.8144325952107
4161.91554202646	4771097.067042774
4267.085534737096	8382062.347866931
4287.491200779841	128383.84994465906
4453.690020076334	266301.10785673826
4465.410213411213	119794.25003099894
4488.39430875203	2039710.839184323
4602.164317246292	87425.562867244
4663.219004070021	240275.31576835565
4786.3278011962475	2067965.625072774
4999.2089286260325	600084.0180377183
5028.73725333762	1506209.2314047858
5137.393283261337	189555.75972953165
5177.57518116096	19326905.07909353
5198.8604226038215	256177.91292164547
5385.565121244186	120927.6795333953
5644.210173770051	1130821.0530085126
5762.021522462573	7911185.94798134
5784.588880783632	138248.16753966798
6050.5503237130815	54117.208919504206
6092.511377542545	14414983.959299209
6113.604922858738	248572.66047690468
6212.286981706331	45434.86295481178
6225.062428612952	1259.9139738022518
6570.70343796955	106194.6027827043
6645.3291912286995	78092.19465629767
6665.64346695242	412478.90927555994
6713.000136515122	11337.818799310093
6733.417504042224	3515.8909396162035
6978.838942361271	4359618.157256985
6999.53085201471	89089.94057092202
7273.10386633073	6692853.796504591
7437.384419422712	17343102.19183638
7680.867908210492	18171.77527540236
8322.942440074174	17327277.63571888
8907.348550148854	1000591.3825926799
8931.148541627263	247171.54945445672
8975.290658965378	5486073.281879344
9202.66931064806	170134.4416236994
9324.666359649178	760312.3556779455
9571.510688461092	5027488.971397767
9997.63182235558	1172250.9959939148
10055.76083190782	1306623.954859987
10768.164097394856	10942.58541152126
11287.96486170052	281457.670284406
