m/z	Intensity
2005.2279039099353	793844.1914746631
2014.0416667595318	60240.54359724253
2020.9851442993584	89096.61247628942
2025.913484748772	124748.04481955584
2033.0803898294687	901880.3801269234
2121.314367435987	16796.98230878566
2347.189500618638	1617113.527401941
2360.514647182141	686324.2309547563
2391.092787470568	1589591.084058953
2413.2338452043878	250980.68666228026
2428.5935971168146	25726160.046015047
2447.787553502571	73299.39788472846
2457.8964842889654	1112677.9286282645
2616.4809285071365	695364.3087496989
2634.5529355631825	18067525.08068547
2652.8417401629777	114301.40931785028
2780.2600676797397	6165769.082007345
2793.1742083781196	32447.075864314058
2802.2239663898495	120408.8956937142
2818.6141589747563	121167.92954025834
2827.9444328444783	2137043.129100912
2918.0400486048684	40896.41980960963
2925.5847277934704	722022.0729803016
2932.2451063924786	1711689.9417142938
2939.970867590639	3635414.031303211
2945.8329523357656	489355.71346564207
2957.003320830597	403195.9078303333
2963.9444675668506	787603.1919445557
3024.9646918228477	571856.7788033304
3049.8618215541333	18912127.92241548
3068.0404729997854	108604.25143618221
3110.7510952094276	931996.4021819575
3115.8593482834362	46343.042837866495
3190.78144200789	1102691.524075199
3197.736978322474	1537992.8430436584
3218.819320506881	1154590.5929661854
3292.2056836133743	1506515.7762161468
3302.80626105532	1531356.5229723018
3326.828065608019	638880.2386550589
3335.576967664388	110769.96975937547
3425.8058111622395	267330.24164052133
3500.702643060511	114064.13511792928
3521.0672053391436	14945602.021344958
3531.5837928948504	123636.92753683572
3540.6870389644664	7964537.279183407
3550.3385417341647	170094.5891089153
3575.1529133108215	1281814.278601558
3585.9296487705997	12383891.12156964
3666.181545119669	108885.54155033038
3687.0211785133743	13715323.872184258
3704.9046288055356	212057.7552040752
3723.563966708183	468161.71113857056
3764.982087695665	1498010.4337432391
3781.576561163297	72558.92220062947
3856.2372487391144	66961.30024834273
4143.511912077091	287516.4814638448
4223.109656321764	408400.35488027893
4242.24759673242	16574708.293383341
4416.635507061624	489765.1838378477
4436.206547879193	3049345.2524334034
4446.508672042571	4129015.8799454346
4537.642137877296	1736535.9702228631
4546.239621794047	334455.5642557802
4570.05148302667	1530881.453023728
4666.3309789866935	21978557.347978458
4786.534069643645	5871439.037909106
4796.819219885258	7712902.246961637
4828.783763493219	3594512.15145466
4856.983631806544	38556122.69538859
4872.476174462305	259305.00855567737
4939.122067251026	8609051.305186702
4954.956246261946	4657870.041663481
4973.567326065705	134334.81867555663
4991.046897515989	939674.5788281447
5004.203240390583	240220.26823053963
5232.3559982196575	118976.96405915689
5255.614192139286	196201.64692085912
5269.55028651837	13860583.243666176
5286.559850158966	483858.254444529
5518.983046417372	450157.29539973475
5538.177106149467	11269.970925368169
5558.635276264696	403746.96441555663
5648.512739907307	5734403.648792221
5678.443577221215	58889.03701246122
5785.9361365716195	45041.301149536586
5837.193381068549	72564.01340486197
5850.846582258608	1091044.6152373701
5865.090415396445	3109363.3503460307
5880.387323251599	7034939.981486344
5892.362694972139	1170816.6636335757
5905.272872212362	95411.57387663369
6064.218461446854	17211.785614389388
6100.151957987794	18321096.871087343
6119.978238061608	699169.0095112268
6214.148673766761	444836.1716097967
6243.998631371114	24685.777578023994
6326.216048841205	183793.46910217582
6584.738909910455	25499.401241799045
6608.386787262868	288885.0153198041
6798.724497882293	187752.8740268176
6820.893804703621	1261637.374139686
6855.520156160206	6741061.543630922
7043.060075940122	15252553.123804618
7066.002382634179	150023.7440911036
7082.41258484084	7217108.469112988
7151.289442007797	1969720.6337272318
7172.75470267478	8238611.995008366
7335.347895909535	84102.11041794045
7375.120872759303	7652906.923066918
7448.641111102775	768736.8731843678
7463.2851887879715	127308.52757856644
7990.924125175762	6975.929361158077
8485.214980614091	10998753.115487913
8873.476153863849	1840556.236665839
8893.138431903148	1018172.0753331075
9075.652878710594	988340.7023300305
9333.678663851992	19492690.3658816
9575.043784779633	2118771.3948751613
9593.70402799887	3671243.6970093665
9656.429314328487	865617.7042857223
9878.770690739431	9391383.212218313
9909.374327041865	2472489.9260696275
11038.842565851202	10323.36978693032
11118.301170288056	28480.82677013464
11295.771975924994	2025745.961618534
11570.827590483224	4708.450618562202
12426.551699692933	130503.82069896486
12638.58656612979	2376.15015382767
13207.20470310343	2530.412495639676
13714.239832573445	2223887.1379819107
14907.39030773545	3023.7338889028956
