m/z	Intensity
2000.1010939272117	31584.74231684119
2004.7348680597297	11499.445083913137
2008.0287748853107	25614.57741453922
2010.5178023178996	40418.915101839375
2015.1636203670967	41104.31082226816
2022.7835690091624	48769.381201602584
2027.5786802051252	53370.937674397894
2033.3944455382705	70867.36829727012
2098.880021999217	32089.001552628517
2102.525601820169	22693.440945270893
2116.518121635485	60729.03213367956
2138.6001271772498	8142.428825812239
2251.7971927037656	6398.244051905624
2377.5628396461066	194745.67892903462
2462.163137243017	4160.17315817873
2534.548631730957	7993.197105517234
2541.126111640339	417099.03169799625
2590.079653383759	232984.61811133835
2599.2530529603923	17999.928051520543
2807.9532291138107	954579.5330408193
2881.834448415197	58930.055022024826
2959.123667178221	78714.90837127533
3053.2539400985406	74620.89456914831
3062.714804692716	21141.6604481259
3101.038894374138	44848.12447916101
3142.292737366255	263446.7075449709
3148.6895885204826	99513.36448835445
3400.264256385439	75866.88677093857
3469.042525736837	63373.83167890558
3538.509448113317	8639.23297680822
3634.4949314078012	97286.21034283418
3768.0656030380687	2097561.802979858
3803.431277108808	3605452.122026516
3811.7657184126965	4656202.451463413
3977.246171862449	1819371.8202993295
3996.672150508478	218680.4538055376
4002.366755496159	42172.2463484154
4011.7717168998593	4129454.9729143763
4035.3800751601216	637455.4858070263
4098.354049400698	6220827.960305077
4120.577564020581	770174.080511599
4226.447644652236	6308137.733964606
4250.28714625018	620330.4963134397
4267.916636787414	2642172.9394851234
4498.205637745117	46564.24142685334
4508.478135033059	73466.46144856198
4538.152651846043	28759.05086935989
4650.657204636742	132772.54720586952
4754.185879649468	5078913.295549932
4775.422460436249	575001.6444222442
4815.121273712972	183598.6880422631
5035.869614702719	154327.99461185958
5043.860210302113	41737.275670197385
5178.077368374964	4622599.583780193
5203.811427033914	187768.96725934438
5575.043307528938	463909.4394917247
5589.059024163876	28656.2538802589
5606.013476070731	19282.393966236305
5621.980824528927	35027.89623496079
5635.942714969491	31424.82438713873
5916.854107499537	2714007.8699436933
5929.443687336787	82668.96782380939
5942.509395101217	963482.8627639472
6107.45449956094	1463520.5157793888
6119.54072023848	169076.20502648008
6284.528347899946	15994031.706101622
6664.754670463624	52245.77899604415
6933.270541468917	968461.4761186328
6963.919999761522	28346.77450081324
7075.448911271206	39496.58452460451
7189.263482676094	34809.672200319845
7437.337580828175	285763.409927579
7606.27951337341	16857077.125794757
7621.600933193522	8194368.298574776
8336.334922342063	63684.515485545926
8353.74602836692	159056.59756196913
8393.159288091225	17200.398495876714
8549.79705648708	99969.18229312467
8570.485848533921	33711.039641959134
8990.650286656455	40595.922957172406
9296.882040172679	246816.85943190614
9629.142529915578	284727.8855790601
10082.637323879537	3071.9951177991306
11148.123140147385	709267.7246224891
11217.793944653038	26332.523602960773
12203.038586282217	11836.295936180844
12477.444473293914	9418.452238703907
12497.736860295376	1163.0846972360332
12587.320260120558	6333.386900847995
15205.179945392934	24785.379215910823
