m/z	Intensity
2014.9259685987774	25156.349734181036
2018.3614411379401	9315.688733747811
2032.267837022658	56750.03665508621
2070.5176964507104	6760.715032531258
2077.6224112306445	3993.613660439087
2082.8904726919222	1633.9184429425925
2090.290681307594	94097.04758613158
2101.6218946190425	4712.0700726643045
2110.4332662078514	8995.571096379254
2143.7789815928854	5512.855177397343
2152.330225855689	2101.155522836331
2210.055565906521	2078.2474050005135
2218.949833477808	66605.21919427204
2228.286795026268	1960.8627779325625
2234.3096082011334	17965.958677373605
2299.442336463752	1670.0144922848885
2312.6965915448836	27516.834753876108
2324.83156831413	3783.0316946824832
2353.924953417844	27778.533429909978
2364.270723362267	2407.0972667239816
2371.058768132366	73597.36150176392
2389.1344721577707	2236.6737947086513
2413.022867049412	1433.100189567699
2473.0026604652344	15851.426803868499
2489.964880783696	41198.597475899966
2504.582241464209	30057.955214032634
2527.531078182274	14809.78145326159
2540.292052790206	1214.6544439232275
2573.5144314104155	2739.779759816753
2589.9011960080934	5882.367332877345
2693.5161901029546	7642.783395211858
2745.6141528675503	12936.719475352602
2759.8591478704952	4261.743226338688
2785.371349239369	78915.45763562786
2797.3383682379267	1703.6213315303949
2801.6241916121367	4277.308394763344
3002.400651448449	9847.538187359349
3088.9902464670186	29102.80521787954
3106.188346737982	826398.3688316349
3121.5901236402724	150619.8059355208
3143.6707512330277	59131.8450877017
3223.7372153883216	34564.49169205934
3356.1446715787984	579745.716620223
3399.2107775431537	37479.11354205484
3430.855789502378	280021.22810601676
3445.6325469875483	60287.38342755666
4305.384364776746	96875.25776101257
4426.799770245172	457734.0785650457
4609.185545757468	81745.6788610706
5627.986165141821	130756.33796979283
5974.588157062123	1927203.5149232792
6000.820683100083	2970038.4066085867
6210.2668960632745	12613996.23288884
6267.968934321091	228285.06748277938
6444.241342643482	2270740.2519288813
6795.460698330916	3739950.3509088955
6856.062439673916	3267595.6939786836
7005.792944949232	310173.03034051426
7070.2240342717905	34141.78178271684
7140.526203481717	60883.08163923634
7207.609939246281	22016.67041659817
7224.429880556667	591959.1485002042
7512.848052137544	843551.6172436157
7547.8636457668035	629069.5034352251
7578.781275004905	117491.16503827351
7954.45432194535	63263.72244240755
8307.464785860137	41619.29222456821
8465.024122339893	10699.980962341684
8524.334663132338	49538.394936215256
8848.810367105421	1615509.6631328117
9213.43927180694	306318.1098864689
9247.306453614983	8204.367613943863
9955.200994403958	17651.514780354886
9994.90231863796	5377.439573696391
10145.581324408491	11456.84235644138
10489.460532258754	18351.778027010507
10506.674239854647	3051.10640176606
10755.05858455874	26575.099966090616
11004.61370266291	56971.80742071602
11244.938640208647	20992.074283804188
12087.957857469723	1012.1923582429007
12114.359755867696	5997.198079508147
12414.034225658857	16171.658313915315
19948.456763512455	3274.345120615032
