m/z	Intensity
2002.4213954856496	45478.16878784407
2010.95524920791	358239.62787248
2016.9464804061522	57578.31426545352
2022.3394621318016	84608.15357206516
2026.5239754586055	24807.189515956285
2030.1044880347738	104002.05173915284
2035.5826978307916	11558.922036473283
2098.803399907937	548081.9509884965
2106.0941157051207	36775.833644286264
2139.336286009256	138420.84731938143
2167.388235540245	22056.756510850428
2183.4098386600103	5318062.143254765
2190.354474950763	20716.967615273126
2193.233765351014	87115.2596239355
2200.6161813813624	67530.10433765934
2237.9271977946782	175299.90177293457
2263.6890917867613	27884.204080123876
2277.4126936586836	30695.310233540957
2548.91819574852	859258.3659677999
2556.421181907493	89621.67229733562
2675.4075565362687	163696.39313645946
2691.4924566900286	8781143.780032655
2703.0223269546436	267219.93650541827
2835.8691175666318	12138436.941046564
2849.3050442298263	80774.70519679679
2857.237513151987	226888.21626385426
2960.465177668212	41636.4174963242
3128.3823283358943	4014623.26294231
3137.8702048793543	267196.35255162115
3147.7090730665727	53344.87872520975
3158.5749071776713	3536772.368557447
3168.783907558992	113413.28031379357
3178.586513418072	123445.33026205379
3580.1420264733015	4004168.9858532036
3638.2671249165433	439185.8738670317
3936.4780440477425	2606790.2376460605
4185.2690637362	1464119.8390798406
4365.335918542443	61743299.77606321
4384.782780653489	2386645.9106479012
4497.44097765307	190789.46640099882
4614.584589499862	213227.15172258523
4778.025430940518	7883514.489171625
5096.827292198212	6866704.212472382
5116.980223843539	111519.1434431994
5150.728577585752	489416.20887347305
5381.3763500718505	61693866.96906763
6255.624121210517	19809183.409929078
6276.40363267198	646786.4621390937
6297.336634878945	978336.0909361589
6316.039233831952	6575883.767691088
7159.044499574127	13425217.574131269
7274.495556882701	895436.650989529
7871.857034979363	5536754.306304468
8332.366686017318	120342.43309048912
8369.514946524678	1540810.7952519201
8876.347346130167	1486925.7875148156
8894.304690302632	84718.53039120586
8992.896561974701	1209979.155316587
9226.402340881188	1139925.7549084483
9554.02724682301	19086622.767391115
10304.086305700108	1399877.8429047554
