m/z	Intensity
2002.568093783385	107716.99037563303
2011.374006772074	81095.34088393564
2015.0095481423436	40392.08581367531
2019.390016529188	100980.43601795872
2029.1789699161325	844679.1757059043
2042.8554482180273	68204.97358177009
2088.135454637972	2674943.155063365
2100.7019784283175	104514.46699137472
2107.7226329141026	224754.22040818437
2131.3479446188917	782444.9944189219
2140.154612718259	518718.06390861573
2215.4265525677292	1931023.279627387
2231.629307289946	1749567.8112479039
2294.5862312819054	42996.69115205666
2309.9935110434053	509738.17114041606
2321.2574746798246	255494.9342871665
2327.9131673977818	23667.187743036342
2351.938000950595	904428.1223650667
2368.193453689564	2356847.2588462746
2384.724705992081	503016.30222843797
2469.734590566648	1184010.6337818967
2486.765567938001	3050566.1327355313
2501.302918934393	1350665.9663992494
2525.67626085046	235547.72445626426
2568.8421139451757	241654.06947608216
2586.745042472526	3031599.2996155526
2598.0519838511423	112872.89626809413
2688.5393147400823	95183.35513333876
2705.2147288364395	7735.956833353503
2740.4480365277923	58206.6366594128
2773.2220482143557	61783.31105985097
2781.9208206990697	476770.8068456712
2805.3165954156852	3257607.8597854185
2826.177357072012	82493.14582565732
2965.8618099416485	24283.22078462902
2970.2761270235474	30957.156152806827
3043.669070481649	1272884.3919849193
3053.0305290057895	25841.599478080803
3070.466109056024	33830.92646125119
3101.724552329595	646641.533891715
3116.282238419815	49540.98030171571
3136.0816089793366	31475.023827775705
3319.431130221373	255146.023379906
3431.8882031325256	31371.958319820274
3445.6146323474863	20455.366929621767
3472.972822649593	1216467.1021303101
3483.769259647237	27810.244575024793
3494.6711540202873	20786.120088090953
3592.565240730774	128962.9138670723
3672.690672104305	426898.7579874145
3682.3359712282404	51519.452481817396
3702.577489062614	51689.44353660071
3716.5600188078997	1017777.1794894018
3734.8775738625222	49123.73068394537
3856.995959994567	5010.846488271825
4067.3159488331776	2430212.1991380253
4139.7895638363925	15278.601496115118
4159.120729374414	1566398.602153555
4264.18914667522	48897707.89927767
4284.10290456245	1601841.968306655
4301.01195014218	69109.53662399782
4485.188992164436	339309.87521374255
4508.33148532944	13189.314493611917
4658.672901096569	436854.42992807477
4707.035270941267	1192635.747551745
4783.004141880335	2270452.011091761
4855.293503100645	77519.72775921425
4958.085662966933	159868.2644717049
4995.87621394117	22718.29306551913
5025.935375849129	94413.06894154307
5132.981155441506	1430810.750299203
5174.129158501587	48023033.885766104
5194.656615106935	1216946.9996610468
5421.152011361979	6598.071516629331
5547.941004893685	12850.473768636859
5648.871005880619	68939.16310057766
5693.618254096194	18063.733614136305
5715.717751480481	6052.327951405002
6089.290858236129	27319688.416925482
6110.150537178314	978741.4181738568
6263.459246908345	7883.656297582449
6370.312671586164	13552.422430848519
6640.177405749181	800258.3777960549
6947.120895496871	17301645.064536363
7344.345371375489	2184890.9786020545
7391.871956886144	46187.4925960423
7433.470259647636	9411255.320843602
7453.665446499571	99780.26506965216
7926.784701262926	42452.796738144636
8135.6110252980125	42359578.828224294
8282.298775364028	74708.72668197396
8318.7991404286	4397145.510508954
8485.356936942131	12145294.09363239
8507.347993482512	94645.58859346682
8526.041985444266	84937.49286190241
8544.75649389987	834544.0882903354
8971.328043048095	952320.3778353985
9320.297780695795	2976326.9808654585
9415.567990699927	14563051.14907209
9566.718341809132	3042490.2400016263
9994.962246196656	33218.79707463969
10053.100839862978	73229.86778200632
12065.764558254596	30094.453551987062
