m/z	Intensity
2000.9063981340144	59394.508049801974
2008.2306884199072	517145.50409605034
2015.029359797954	68207.83493366993
2021.9070046256816	822656.5887619902
2030.0133528815013	9936.323209355396
2040.1690943832068	315649.31809968996
2065.7375238323584	76546.0175874373
2070.8566568790375	707352.4852660659
2080.4293216791616	1106400.5609935173
2089.4751951647545	783420.3500178817
2093.7994617489726	61443.753559130986
2110.8654034575698	2886597.586040907
2121.4976641051244	223191.29629029043
2128.1390816209346	156671.5422106525
2171.071751825791	3683641.591719478
2199.063620500188	227041574.1517121
2209.2805226624478	9832995.622610271
2222.279507965541	43271603.401510574
2238.5818594621464	132603234.6467732
2260.5775017657234	7625089.559760259
2276.661404501259	7807661.368768432
2287.4874617885953	30037498.725592814
2298.6989665265255	3806925.4830264742
2305.828175771308	32535426.530345026
2327.0648303649	30361703.044206556
2344.9817570129912	20103879.246789936
2365.8865122148877	880071.4594876299
2383.072723656268	683185.9644849664
2403.778276262182	143178.24763797925
2421.02747231876	33264.21445213002
2469.638377774748	8001.023624635618
2491.6147365198094	2666.689269013611
2500.9879196421566	25715.203006678246
2517.452159349594	21928.957296743276
2546.6028259604814	1148977.7250510992
2581.103592932478	154048.12051985887
2635.0616494621577	48561761.720679685
2649.4108314181503	1683847.5256600624
2657.915241812509	3848361.8415188827
2674.033555458484	23583971.00794035
2696.0420076465284	1287975.741366311
2712.1190192854237	2222165.1435249867
2734.1263725417657	804344.253032889
2750.4737886446806	124636.07929709846
2755.6711329060595	508239.47499107703
2772.477844566005	404009.9345386875
2788.7808277390877	152006.04227902088
2815.0764898981665	11672.052096398354
2848.1396101145406	6252.192732157786
2878.4157388045287	51361.050684010195
2918.0059036998637	33429.771405606756
2978.3895862951053	1227873.4320509303
3006.467548397956	42650336.66511015
3018.6590825918574	2257324.9876738237
3029.0578027059682	2669499.8375792284
3045.2691289020904	22100540.28539866
3067.006942682137	518975.69381705864
3083.06936237177	973689.5221813484
3105.52686285121	145309.59644880472
3121.521998379831	152560.90556996854
3142.940803610571	103546.71898556303
3159.2005885617455	26234.588187914036
3164.4328420255097	22468.5162396596
3179.6477846230805	25070.071622348143
3379.4537821710037	3403.501269161374
3419.443407709829	5408.409082816553
3445.029833418216	2985.3898605243617
3478.496726887325	1433.9220419459357
3517.7310632594485	3422.4522788237873
3659.779520174307	80956.82187263285
3682.513167226526	36432.74122547606
3699.0162569036547	407481.62690099835
3720.314884971863	18994.223277195895
3737.911636016656	51781.92475129705
3758.8617018325135	7081.2232528953045
3773.2296902678268	20095.515215591146
3847.8078237398745	7953.275044163127
3876.2547779670654	482522.09224331577
3914.378321729413	13466.617485642055
3972.3390858061507	5973.702651197501
4027.9630535604515	2182.0050182380464
4165.324117022636	3127.1610867274217
4177.731671818874	30888.14158349798
4306.957884998596	10411966.806968177
4324.803924300764	348843.31691611285
4344.961919453515	676037.4160848965
4484.867155244002	5960262.651309814
4508.517793031487	1295333.2642376518
4524.756897939608	27833013.674426872
4547.500205798862	7892571.545421805
4563.910691427156	17210125.60663929
4585.329161348855	3906273.0767237023
4602.011324082429	2566381.117344536
4623.518907048339	395482.3551040589
4640.986006938716	203365.31490872178
4813.510666567927	18803.94217486863
4822.990807952265	12332.310947684855
5033.061646874163	2125831.6358485688
5056.19309225261	114121.49280020363
5071.251626871896	523092.9862831447
5094.5776871203025	10988.199492733367
5107.86960199654	21833.619200364545
5264.366661305709	453372.2068442709
5290.096883754689	315335.16323400434
5304.1877993067565	6817676.773308539
5326.509361190814	208133.6208341784
5341.964892310373	273940.86775247625
5525.607151671142	7244560.7321283305
5548.501157596525	334161.0143886842
5563.827438457818	1777018.5972898905
5845.724607246416	91305.55442234241
5875.022154341158	122574.84803377434
5891.599005894172	4910.817738628972
5918.008904189928	6095.185215116922
5932.102920075121	48914.01651475162
6111.804261087356	2807.160818249904
6317.426850157581	52086.550562525845
6354.938986813182	1741783.515656299
6384.644891647221	47417.01725053844
6424.64120346448	117066.0388948329
6552.788275867935	50000.79738169844
6590.626245131269	8955.780404334948
6842.76601965499	903126.6287747936
6889.650378116483	3647475.686944889
6927.323080922457	1158289.9795807344
7131.035041570673	1776.5743639098444
7168.2174656128045	68694.41299158751
7420.0793484282785	183854.18433599646
7525.426408083259	462042.34070228884
7546.402400901373	149762.942041164
7566.232613480323	81926.4994870185
8031.257543697355	3079.3901130823288
8056.293925499779	1626.5833302218111
8090.951317006704	49816.261209844015
8893.02668512179	17529.991245391542
9150.613091843283	3436.9086947520573
9179.4927592639	10392.59629718312
9626.392208341671	244139.83497709784
15046.60470428491	445852.57729471044
15086.027370532267	143121.3627345786
