m/z	Intensity
2006.6455974858325	24188.18093701494
2013.372694711272	57221.05862154281
2017.4817518325067	7164.461630302194
2022.9445147722668	439801.92552728544
2032.2008129797362	47826.835933423456
2041.8172315386043	60413.35323855248
2043.7161059443501	36198.09179734741
2068.754764943764	65095.96149469438
2132.5726718781134	1121464.3409771263
2170.084380519279	254252.71685435457
2179.8811866042142	37962.52120942379
2252.1375061721865	29558.89499248429
2267.1873667308782	82252.6811962131
2315.5970671701543	32993.272181629596
2400.4784714311804	60711.63510884038
2464.6393315663313	140721.18370070463
2478.4394849930723	27508.761331861744
2559.9992684230983	13365.091661763028
2567.4447066545144	32531.797594791635
2572.997824536052	48326.26129859079
2587.555596633918	5812713.117930952
2598.1758144512582	55604.177682504276
2605.982903952181	95427.00908890722
2774.0595769934685	104722.56455093414
2796.628572724696	17131.42158260568
2805.4433435615156	5824856.638501803
2827.2617031614855	39401.611152299665
2842.120864395981	13106.037607318318
2881.5329519781067	592032.2941465054
2920.8920441627197	201283.5384555001
3011.023063738174	36698.345130716894
3045.123533517757	3993707.817412718
3055.150596463751	37199.07513843934
3063.449864473455	20739.782896589066
3067.271307902193	28791.319307377253
3189.5439578977566	92065.88701960108
3215.527380722281	1070027.1599681128
3230.4345598033638	34278.13035629747
3242.214247331095	47328.33981378626
3320.8610066696156	26362.60762904375
3451.829068021547	47690.68406027724
3457.561607257902	19272.752141690224
3473.814890775894	4424484.277363595
3494.007701536658	14373.401689644252
3517.8179300657366	175777.2003021587
3673.009123630791	1077176.678762833
3684.3850228612514	23349.46726822967
3704.6319789824024	45058.28441463157
3717.154405145673	2653254.659195412
3739.4176899551235	4105.289864980661
3820.4126790871965	217636.20372993257
3835.7306978711536	11848.299652175929
3963.344594517642	100099.50291165603
4068.317290216263	971490.7133556373
4138.771733559508	61850.90348204552
4159.648583209422	3201623.474808074
4265.11462380116	44047800.32926455
4284.146411813649	958058.1925552257
4452.031250527157	36930.14932338966
4486.136105696282	963253.2886016145
4510.490012866208	6651.962570318393
4660.660862654575	264302.42532058037
4697.405086854727	242732.16032973444
4784.186998734124	6307168.353152931
4914.060896564749	72606.73701545245
4928.903011057442	5113053.364222577
4947.98845888694	70023.17211383153
5135.278468957299	4209467.423386965
5175.895521740784	81335113.87726252
5197.075292974716	942351.0198045628
5649.358762731765	96031.52807042864
5717.228818815287	87485.62168056707
5942.687180472816	27083.597592433598
6090.7299571344165	53003077.06070642
6111.591908264018	568265.4204602789
6364.717354908163	10608.195884896955
6641.6750532273045	188257.7875232115
6715.493666246255	16570.903633518756
6948.900089752791	30642341.731287275
7346.814087921966	3153450.229562286
7435.306162673734	18328834.000582084
7730.851153202496	6488.248239023694
7929.344017023424	128580.86786466202
8137.389768524509	5130078.688993908
8320.596116339551	9504924.160240768
8723.371829775653	1728.3212004394472
8906.933622631483	30731.62186650787
8972.619564399662	1567533.2755818234
9321.75583573189	710091.5879230648
9362.36349281405	9066.586274273455
9394.622290766458	677107.4952040452
9569.073935927256	10804131.30072433
9996.165846877328	136376.88985638926
10050.99768017461	89231.27233586521
11288.703923156456	31162.039035662965
12067.232022300614	171283.61325329132
