m/z	Intensity
2003.3966531811252	69731.77619161345
2012.001458551794	46595.32025621358
2021.5015334500733	479425.0866166491
2036.9784136582696	826650.4769462836
2046.6050770940178	25273.627896940336
2060.338448139683	255512.7302667751
2069.0645522010873	391057.90800907934
2081.640632289827	133017.38768798712
2091.2349145462654	159898.8954672625
2112.006268126195	169895.38303097722
2120.6337186769683	827645.4593160022
2132.8802691024835	1044850.9617070154
2142.1751202850064	24165.94106387242
2168.1545209719134	889663.1106940191
2184.5325198132123	91868.07365983535
2191.7611720616896	241558.52052063047
2209.003517860841	1334348.4897815755
2224.048699234348	281684.84394287027
2233.8944496932677	30940.228640789304
2315.392078210802	5562.606192914646
2328.477423088031	18540.43447962234
2390.201036049362	3791.5259931880546
2422.731608613014	122319.31303209707
2433.15526697692	15699.001177174188
2477.686771349916	84467.23481397386
2502.3925051687343	9031.080952143482
2509.151703963183	16872.175210113863
2534.9953384551936	92229.04786405402
2549.898339233714	28411.999153352033
2587.6903625440277	1883842.7964177902
2599.0745310190596	125653.2801361087
2608.5676538232515	144990.44369934578
2633.6849278414434	1256954.8669762379
2650.1104468081744	579912.3926692429
2678.3761831161246	75749.13146678603
2695.251814229194	14877.146967484028
2773.546519553802	238706.0390426516
2805.8775877419403	1652775.2517036302
2827.854839853229	876378.1446897823
2843.753949678037	37216.42563307189
2873.3531584136786	4076594.5424183356
2884.6233110165085	236536.03242264778
2894.139571548321	105466.27038182104
2905.369506458066	38615.97719482753
2955.806242997538	12041.456146600325
2966.8281836920546	72028.17135134195
2977.297560267223	13970.367509358823
2990.0000053418216	124953.21697573201
3045.052817586808	2004991.5760515938
3055.4933289519904	99294.65157691143
3065.5363527765567	77497.31109879297
3106.625790907442	120527.30513585325
3132.351133565456	11830.488157823005
3162.9902874637582	284340.5892597544
3174.7297486796006	56423.983405055005
3188.7780281757127	455725.81708630855
3320.8432502578135	348109.5988841433
3330.3604618482223	164584.93458853106
3350.217251671103	357512.9824622
3454.7061554808233	45273.362221105264
3474.045342386327	2094421.841110183
3485.1964599639196	53760.376930049686
3635.4044881759437	3898188.1405106625
3646.4490299210593	99359.61500215837
3717.2746429678377	4628293.421345908
3728.0763279286525	161366.23023232733
3741.6463577392583	2428285.624223579
3761.219468334859	263918.2477793299
3780.474640894696	40076.40543583645
3834.167566865712	176556.73864118784
3858.1733271158487	26903.146244302476
3873.938639193374	62448.06610702342
3904.8156419861402	17330.945687843272
3920.018295600891	5285.951722901008
3963.4417871525425	145062.5783825917
4105.811429658805	19196.442039287296
4139.5276141680315	224770.41627884068
4160.307342906692	9347349.909502571
4243.262362541719	35958053.428805105
4254.117427607342	1576037.6896987264
