m/z	Intensity
2005.9105438774845	2223109.838270424
2013.0376947795157	364698.2762692146
2022.4702834708528	582039.9418663789
2029.6267668728458	3566230.6785588525
2038.1499714804384	26321.43358227765
2045.741145820471	1182634.7640570134
2216.8112711018775	359942.3714611476
2229.824563647031	4464272.376997269
2296.540356489094	546075.2434945926
2312.813889865077	9173805.27805044
2330.6652764397068	2762107.1826485377
2351.2028452862237	1768140.6295882547
2369.201490549683	1051548.6977158778
2489.6987738636612	198634.58136584115
3101.9146360140358	1983584.228633035
3236.1619357888	90395.91226596723
3333.299117310745	1236837.434850213
3372.817495694125	1150918.6709817732
3381.4468477217056	1604054.8684526135
3444.361373345216	5017011.133527565
3464.990844405024	381637.6396292541
3483.645442948142	183858.78706759342
3499.421442285145	843204.738898501
3608.77866769273	341324.3777553513
4405.247549235498	27251.642214636297
4723.801674467638	105947.85227976496
4772.792514939124	70323.02311243734
4895.535719893176	78357.84987297143
4964.9399131411565	14915.115842250181
5012.719643105697	55364.293975683264
5197.688485065344	93567.17863705919
5208.940812757877	131238.36336590818
5490.2014980486665	179761.5234548133
5553.844765352002	19096.433445921495
5750.386846989642	149747.21762102938
5778.401204539544	16516.954225862795
5790.7216940816725	9517.912174069665
5808.655435779683	11844.598961477117
6063.80712570265	2064556.7992621828
6201.232706379102	3895142.4783276133
6222.39345919189	77485.75328457775
6238.968887335344	83849.69780030951
6365.423320713049	97645.45822145994
6393.456730520534	41386.49560208384
6471.650492765284	928416.267779565
6508.384231193534	39458.25355195421
6531.516828500878	798339.758517003
6571.824029631796	94286.32713138803
6630.318718725472	19121.356030454834
6781.888423850913	14011.286943192912
6845.775537805216	33606.613613310175
6900.489507599984	1643012.544149783
6928.302698848923	2034707.409372824
6965.181880743798	34806.17674244584
6997.26484566376	3165955.246763446
7036.591452559172	172276.22221848642
7141.409648645026	134211.41574137958
7216.135350324433	1940432.347283187
7254.538296270262	71428.89130735802
7436.43610664855	3871.868182799975
7548.480202061894	94371.28583020887
8805.8300474744	2927.6066843041444
9542.981975471914	22651.39454586817
