m/z	Intensity
2012.9387684966769	167642.7758731229
2021.7674257713902	18741227.33008302
2036.9085149049383	20216513.90297139
2061.565126736997	4176931.3417157563
2068.724863795151	2355858.883178601
2075.9653778954607	340881.39344882674
2081.369836394908	3497699.8607825157
2112.4266430091047	2381896.5572901093
2120.9868540738844	26534939.81156012
2167.8184820740676	18409390.328546982
2183.56603958684	3140462.863964815
2209.092239499248	11805770.748103054
2226.0505239147797	32789790.82224925
2367.554304308861	78666.8871836203
2488.1310087473094	524071.8403987445
2550.9441769128257	272949.45051060105
2593.331039484713	37631565.27709629
2610.9355781378026	3658352.4173613642
2634.5266037598926	1074537.9700426457
2650.7248978165476	12115732.184760004
2660.777291880368	12437405.435881985
2692.5277545907315	2987628.9262993443
2964.819517844741	7046363.459469744
3082.304293146075	311099.6595692416
3090.9740881313205	16099619.321942726
3102.329884302488	124187.64152456078
3128.544018753384	613240.1418091642
3158.8308322076587	118963.51113079293
3179.103093940521	520789.37898038875
3185.8749238982923	3117646.0076074256
3240.73601333879	62737.80859584894
3376.7543937202613	60288.23958366344
3383.9080172578124	964023.3485675277
3467.955709319225	422051.94293943
3547.580649822509	8231765.084052069
3567.2696114254445	5612169.266244323
3580.2762167322408	3050712.306875813
3638.238979118575	898781.8271668875
3650.014296012577	477391.9321793807
3657.9960777854594	426458.3947983206
3673.076353374616	5069532.040496382
3814.3638188432346	6124506.252607961
3834.314096389902	163228.29396377044
3903.6591888465914	412758.38660599483
3938.800205058062	2480935.5908254273
4071.4548166738796	227652.79815944692
4169.8921669615265	195571.81804031134
4176.483534192949	44348.12367140711
4185.894934361756	958245.7372758449
4301.429110838375	8262112.591628342
4327.25115730149	1406585.4844953404
4339.301532835486	118245.55108061648
4366.129117253639	4305096.850389214
4453.213829176198	138423311.10293055
4468.747688620958	2503959.575131563
4490.942737583126	4236000.633572401
4598.061175126049	134662.6053311529
4615.374369123096	276909.4891249457
4623.4309843610345	4028001.3428933667
4738.097356128873	6109328.257604945
4769.962341352475	25257767.807218775
4900.170629685911	2210402.3982032235
4907.525909246975	300527.30695739714
4959.907009322601	1024768.2256959567
4995.477123575974	266007.3430893972
5066.8918157935095	3658010.451773601
5187.546962855844	175336236.6153276
5203.229254968622	3634117.6851285547
5225.6580915796	7805028.275000098
5323.07868732304	54444143.69952215
5339.951153334294	1513975.0519702926
5360.365181980826	784331.2679534975
5383.239901183652	9220698.18586681
5475.336843904372	2854592.533332381
5498.566579922668	1722096.04639308
5602.529575355336	74248.58561851317
5613.991217972795	14210.242738356226
5728.002557334556	294225.5607904775
5818.182528905923	545834.1603719426
5890.280858197493	324206.29612145724
5930.771271568455	20512823.645197306
5968.03829967964	113724.92986554628
6183.231873646003	54048519.9866836
6203.778949403341	673988.0496638451
6220.572509549254	872069.9922040075
6258.025556629402	2534603.306062021
6318.589769458765	782717.450696368
6372.8558019970305	11381788.484773628
6397.675259468107	592853.4852623984
6412.926531748265	787703.9059994966
6503.1213188823895	223497.6822396351
6695.710077265026	10738.934835392214
6724.840777622605	257408.70711669003
6794.047709479944	32148.821769337097
6810.630840225133	8482.597951891237
6848.203046166883	298098.0563908942
7096.521542092076	13769137.195091773
7135.887139028425	9989929.07445675
7161.133183280568	5319099.569091145
7277.531965436987	2102973.3081672513
7318.550994466444	1274963.6786490327
7347.332903436582	8487567.63701993
7494.427698430744	1067042.3128381565
7629.999171030329	8278830.527130778
7655.447443761727	19940.27387561267
7669.107261128217	338246.37429823325
7689.7513961526765	20272.686643323737
7809.557203698634	599673.8899039723
7879.993692134684	3549238.0372048244
8144.035256556115	330405.03630780865
8172.631940866703	16987.16290488789
8356.782665264242	90294.29824294483
8373.250908179121	164021.6954972554
8647.87545123245	4369.397791750851
8880.91543156638	1106496.140260009
8997.814456079697	112591.10263435429
9247.031197874365	6830260.083315904
9540.938664716536	22978493.480907556
9772.283702688064	14425.493801920456
9817.279544733447	832521.5981878925
9920.57933319317	428276.79460215225
10134.842189925292	982581.3926644912
10191.870718241096	9955.208398041676
10273.530687051873	83554.78265646486
10301.838370022284	126552.12624624764
10405.813347263638	1689858.8073970035
10750.098849079068	115418.50550428797
10951.569814444245	362403.4059617379
10996.839914150118	241777.5626494311
