m/z	Intensity
2002.4953285884833	1086964.329256474
2008.6769316013622	50438.39289372167
2011.4348451688168	202855.25463377347
2020.4617106932144	1743972.4021058357
2023.7001310589974	63421.98686336007
2027.8193654181935	29662.541504227498
2035.5965254343566	1388815.8709186078
2042.1679634970935	121170.52492296568
2058.5407800240496	3324686.304053895
2073.8856102802424	164759.9758936748
2106.811687150551	876480.6143481579
2118.258970518488	2947538.2064145063
2130.914508021428	3017974.950047099
2141.663162282688	1112519.2260338867
2163.1718113528555	100130.41056560978
2165.126125383518	124042.96116907662
2189.418889509794	2507337.197592484
2206.511508522359	9579015.61075677
2222.3972665492383	984623.2926184939
2226.3599108518665	184041.62937518113
2231.2473085553984	156487.66212743227
2251.348782521384	162586.97002840205
2533.4666960560567	429971.3951671963
2585.8420323701016	15747454.075656947
2596.6872118397728	1790686.3346142962
2605.8698455045833	1155473.046781919
2632.283221318576	5340125.37855869
2647.778266103144	3451115.038300793
2675.8770700346317	66361.55321690626
2694.536234699836	405694.78893951874
2803.958395415898	7236462.887427443
2825.6894202144563	818895.3040087293
2843.342641279174	291647.49767443934
2898.5704456458384	614239.9139594373
2917.0977611805547	543643.6911374081
3034.788619113875	20075.073120427594
3043.3905854110258	7182802.54533169
3054.2430791550173	996682.6655040677
3062.291341199328	542626.7400142534
3073.676515245169	251873.77475502685
3101.6051584898173	178716.07816856843
3188.012386294941	544807.2936655045
3318.941451478879	479906.34439834685
3329.9278469121728	29340.55082037138
3452.152638821238	97299.1702315317
3472.192398479123	6815037.57947696
3482.809537475382	584851.9852657019
3491.1376168957713	803563.4528605737
3654.4344820030815	100207.76252480556
3671.14216416349	2721527.702513524
3694.17744677123	187793.15685044514
3715.729849163667	5059186.155757106
3725.888460128702	310089.7264201578
3736.152645679479	241372.4309777532
3856.5098650999153	267553.09671346296
3891.060909242084	616202.956601917
3905.018227122885	32584.87979649314
3913.648645945382	1274277.2939477516
3929.6212244498197	1364664.7277741954
3950.5285067347895	419011.7530095478
3962.7028142721097	166134.2457834985
3972.24770943638	54455.875046951056
4066.510093074439	2470566.2540051
4077.7119060285186	375557.96592535445
4158.490819705585	5508507.895490118
4169.0434903077685	292186.74842429964
4178.639614407483	200774.20976340887
4263.443615899256	65584512.309360474
4284.630413163932	9797151.723442914
4301.0469411168915	5283881.088182299
4322.820063249351	564012.7143983229
4451.409372938075	191473.6446856443
4463.429682623388	363780.62697536463
4484.805648529803	3009217.093091796
4495.462482426493	284705.66339885374
4503.111015395539	84441.51377467459
4659.494961058237	4526087.278477737
4669.742055852396	236972.24459372647
4678.255692338359	100276.88729411992
4688.728852899396	98181.91791549386
4695.203419637623	208486.85097438912
4782.787893507001	6231341.598212675
4793.273475120594	559119.8861988045
4802.00290219525	389396.69734381494
4813.654492067598	695573.0314257387
4823.9654208141	43488.44767970359
4831.679784166716	286451.41776117135
4995.847455004694	519504.8597676197
5025.0528685213	1261749.8398078934
5132.616806006255	3597032.007189785
5173.543715174733	110586385.19734311
5194.933193745168	16952122.65502794
5212.249855935946	8675081.210242437
5233.284957152275	679829.9514673081
5472.68224516114	124227.29751269554
5647.538030212208	242637.12731951856
5670.223818291491	39732.55213262046
5715.7318115715525	46602.338405151924
5774.411630744968	70553.46923193676
5792.896176305526	79031.62385656097
5823.42590639986	16860.78336587153
6088.802075418769	51351133.69149865
6109.6589928443955	6559264.872005952
6127.615067940258	3745239.936356915
6148.891243411467	642899.6744331847
6640.470904963989	2728302.4871860268
6661.39419626871	256723.23891450037
6714.030817363074	33843.262925567964
6731.7454885128445	57320.58137785994
6946.892264220479	22924001.56829931
6968.041998461573	1694086.6544383452
6986.088438644031	967095.5706524047
7344.330313365841	4818485.243694425
7433.576224596552	18206871.543121245
7454.6764510679795	1376484.8162859501
7470.229471557299	401163.6590702364
7493.069885974866	258972.36404319562
7926.981487903812	449363.71517145133
7947.967672324284	51189.30039354866
8135.385022494781	7096129.409812024
8156.645103654738	697621.9613023845
8319.374688995274	19829925.861787435
8971.43809713454	9841969.787394308
9320.377469473744	7885354.801072561
9340.812084748894	306071.5236535891
9390.46985683198	345568.3130376557
9567.21645909888	18765136.47435734
9994.531484432806	236987.85142626916
10017.944248520456	16559.849993836506
10051.309637616772	1001866.9788730489
10105.684409318472	15280.029930898494
10864.653659295978	4090.080052334545
11295.465515911075	38352.629994851915
12064.926547774692	146316.39999884125
12627.028275804178	6598.991435738737
