m/z	Intensity
2003.4465016826416	50311.42982492131
2006.604374317192	80081.3845523828
2009.8320024514412	102989.12238435153
2018.788772217362	182858.61681610876
2022.6334837918998	49691.56820373789
2029.252239762258	467092.7471575696
2140.9945631105716	35014.102069675835
2231.070152464835	33630.58491041323
2585.154569668319	352167.47413556755
2593.3242787174318	358321.6467598312
2597.528677109777	266453.59949350916
2604.186224715891	71614.40753202667
2608.6293235842704	188326.19069795462
2707.413694155736	152202.9067222883
2803.9007124522773	15883.980038491361
2818.0614365337083	3735652.9375427407
2829.3837710890325	384550.87663518736
2838.489959642988	175869.98888761675
3041.7827230171238	172687.06836027
3045.342283621283	39406.76085542899
3062.5069717062174	2028269.479777493
3083.7181898864173	24072.120147676767
3231.5162586335064	119450.81366272389
3468.222014716294	31077.43811502731
3483.0835633832558	61302.79462113192
3488.487583767197	178654.73669687798
3495.7586049097667	195821.80060701794
3508.0122904199575	155102.6954504449
3668.443155753963	289113.60662846913
3686.550958557397	37879.69926037652
3711.921926991896	479709.2967927155
3730.503170720572	66811.22687248717
3736.6460789326143	68678.20212119175
3748.9470558924377	30847.091803314644
3910.417735296019	8388052.782253954
3931.2760576236838	4905190.83087324
3947.851813660117	5303364.524269194
3968.62054657131	771176.0866564908
4078.454486933055	2331320.3739659362
4154.4118287764295	725179.5971065824
4175.134510455311	887561.4197846794
4188.427967206357	74411.04129488433
4260.009700285541	6320811.223649699
4283.644956470022	6786257.676870771
4300.454856312457	2700895.0000880673
4319.466976579872	320543.0075913624
4480.302026990464	704229.4844153222
4493.8711791424585	32917.209730038005
4499.002642742321	23438.435523589236
4508.770565941133	119960.69479796808
4526.419900751558	36995.50644854042
4688.6645751813685	195672.55682137937
4709.853966912733	32954.481707269384
4777.4417272816845	661484.9262572065
4799.350297883128	20739.699058180173
4813.08161835023	316963.7737796085
4825.685893472865	102975.42572576147
4921.638053770845	153259.57397793967
4952.00159739142	1282540.5973980208
4971.237818615689	68305.69324924464
5019.278899084081	105451.43345740484
5169.318328153777	3805413.006223024
5188.107031956434	3813275.8258531457
5196.973294495222	8762729.558646515
5641.819888258873	191494.13592646085
5670.144517920709	70125.37493070382
6082.793278874371	4607163.760872516
6117.13069381639	15691576.16196379
6136.980181822442	2424694.487907055
6634.619585076026	1263717.877729879
6670.478579920616	81932.36477336008
6679.7956744930625	39716.766791151495
6705.082603183338	489995.36802553025
6940.0638352709775	1924226.0852584247
6979.62082064403	12864151.207788646
7337.350113769887	4029074.9738175143
7426.304199016461	5962149.098333757
7465.536003089309	17563085.03490025
8127.173827358123	2586661.903659815
8157.231862672429	21934869.228019316
8311.363501179465	3800328.6401498
8328.745655101025	11531.006484976795
8352.315787590667	8096692.042212063
8894.27860636622	1179207.302091612
8917.643353587448	320359.25774830754
8962.191835687117	4261813.916626182
8979.103862533855	590788.229397533
9190.19497945201	153056.59257193902
9311.712765787135	705374.6642729355
9383.378538957553	2050156.15924966
9404.029656503488	102972.9519018964
9437.235273225635	776271.0644134494
9458.675186299404	392520.0625749273
9557.729466183582	2358880.171801471
9582.830706587672	44621.1532013633
9611.64220786671	2344585.9453707226
9982.929639266446	1209577.4897826412
10041.785622179881	5494108.013987695
10434.849545546283	457557.9896529739
10819.06529314639	1035794.1369082148
10859.839058953592	30444.70879929747
10878.611352693088	71551.84619857684
11284.383253591197	602637.861312105
11340.080803615147	635510.3428144149
11388.067945978753	11478.503638096869
11557.627377052202	138891.71034816015
11604.29404130583	95812.44260629168
11877.109198673503	95826.96711398227
12052.893366858198	99116.16149563713
12126.311334921047	268181.39511890383
12334.900699133745	3810.74513496268
12433.587304694624	159645.1635064961
12465.229959948223	3550.3970467009826
12594.896918390132	724129.6562984671
12673.661038596414	28841.60281154321
12711.527955121228	3902.2488426268346
13146.58385283342	109510.78998257864
13272.82275680452	206789.6394536281
13407.482218765028	103546.12079215828
13964.794387493112	14844.957523836607
15326.716710546205	1776.5492098245
