m/z	Intensity
2003.9838363006088	183162.1317596694
2007.276582951807	158201.04850900226
2010.9084548824908	188502.47014871173
2027.2249417058329	4048528.8967159204
2042.1831303329232	520057.3273848213
2214.2337711987625	744461.4460778122
2226.961292356506	4453726.220769684
2252.953068514537	90864.48712066987
2264.862806350436	480619.26071301784
2293.301209852327	2099841.23369635
2309.713802727435	6133044.981420106
2328.863379789698	1458350.770959161
2349.1827902439463	1666405.3759121383
2367.034674477151	1151712.210711259
2446.8310553287274	234558.68241612785
2450.469336560544	508451.3700802548
2486.102933385578	1302108.1499480554
2557.9141051183556	190269.4431671491
2599.0583935683167	104021.54500569447
2811.453963983936	41718.64503823056
2965.8782122305697	285561.46663225966
3013.0517058482606	1483761.450734369
3082.718373563183	2759932.554265486
3101.1576562531914	726517.0111319674
3137.0244738155934	62683.66995854827
3294.2561654624224	2409609.3244277807
3318.84673535849	4095741.8959673634
3334.4247344341106	139650799.154915
3372.657840642718	10511736.225543106
3379.7199619046783	1679832.8285329298
3397.8886274889337	803755.7402538871
3413.738492145384	5180922.374897476
3437.538452933141	2878974.4053123933
3456.0380832059086	148325.23936977645
3478.745662884838	323843.1876756402
3494.5166751970196	2794251.3775439025
3531.246356575771	79807.25539608375
3651.6492555251843	30870.324414964176
3840.63973410985	825246.899071577
3875.029874054203	2570125.0039784843
3911.919182562719	15646.767632827668
3954.831578859028	13064.543121622239
3982.2441300687155	1913494.0009956849
4020.0196227519923	82570.67085677986
4141.848455701747	96434.76565856147
4420.44243680369	38102.321514831325
4620.179976884633	566162.4340160022
4641.214223886499	35994.84972183416
4846.5555427914405	36689.82010071864
5312.376695917014	42617.776450871046
5424.736392711869	334210.4141809375
5445.31188952715	81007.6820021134
5800.597033432657	18693.191118227023
6027.798139373351	43212768.88924116
6047.035532902206	967648.1699308222
6064.901229494843	518878.35139599483
6125.583349287835	209067.26401740045
6151.329381284137	1963839.261124583
6166.284462558128	30968281.987774476
6186.331494959231	1110305.0275576855
6203.57432698479	2188385.027500401
6326.258800782848	123647.77871476943
6403.951876462439	43396.74675268728
6440.507390984029	4079789.4564977144
6476.321638584135	54982.83792173611
6570.487218403091	92146.48523095853
6635.352929689012	944898.1050444823
6721.803066748615	534631.2818516472
6761.7210035258995	123478583.56649029
6787.780484232452	375752.18480930297
6799.28233015249	4317327.134976365
6839.801610077435	909331.7241784872
6877.0811385946545	63854550.88699394
6898.001930224868	392195.4168801479
6915.085857510936	5912806.033944376
6955.322513774327	317805.0364683981
7270.410526666214	220335.01196087434
7304.098452222507	1159088.9008660703
7384.854539285301	162888.87721458697
7418.677024776076	381865.72681656387
8435.07352283133	146967.5721104187
8468.31846702168	5827.271984429409
9242.196909372278	1846660.6646231778
9694.051345021355	401995.3749432734
9779.48303615091	15899.262008536258
10849.677501776914	224470.63323797414
13719.409170116478	3712.657227358033
