m/z	Intensity
2005.389734754073	109846.93779786075
2024.7247970295132	61573.01527400823
2033.513364611421	8421.483657737554
2098.0402680663356	4375.936594293057
2124.036391062143	1917.9933013181114
2132.7604383725993	386292.2927995526
2144.350815834742	52047.944321717325
2308.832147958521	1372.1588950835621
2436.459169091406	1993.8363064611706
2569.801300630144	12591.45627163935
2587.863909928843	1242080.6313686136
2599.2521134947547	61239.35266229616
2609.438542198032	35563.7101698616
2787.0025235965113	19311.22570613298
2805.6526815784127	3492014.090580529
2819.581499237601	28905.661416109906
2827.71591981728	313620.92053007294
2844.099948647179	48269.03722822576
2872.9059930559247	5495.214004824983
3044.5655140941585	599346.1902916484
3055.423315083096	43147.70026491291
3187.9869990237457	4195.54075303912
3321.1165616001554	14443.925949745213
3329.9443471080576	2143.9426287866186
3348.0692533869774	7632.136218301598
3473.3130880157246	779033.5189120008
3494.6620154906773	23626.713593220968
3634.8886959476913	539908.4162171042
3658.4523303334217	14413.409172339103
3716.6879700177806	852067.8307313474
3727.675527168212	56757.19124778344
3759.3550886576513	12246.002998832497
3905.588183864578	2759.237593513774
3923.5229428524535	5155.418015353544
3960.176801388391	2770.5416852456683
4159.058375786395	1706642.4528564531
4264.441552396378	26992591.040689006
4285.833603777576	2835964.446115808
4302.84795424137	423865.8376812341
4450.78301447304	17554.70103070488
4484.990874194824	855295.6135531055
4659.63349370787	390061.1448308165
4671.935181868716	82925.13625066266
4694.427567575245	47587.71271196323
4782.861172224549	1513718.6158852412
4995.56176526755	111564.0776418244
5006.599664799061	16346.51343000786
5024.987770260385	472738.1099676792
5133.013097513377	663263.4413868283
5174.061670285283	31376955.517124724
5195.458553898363	2814131.9474204555
5213.106294365276	445935.5687252211
5639.879013850865	74426.28536225179
5746.094890968155	2588694.982474484
5767.5025616828825	295383.5280205521
6088.591820081744	13606273.942080267
6110.275727711367	1564023.720317627
6128.473001156864	456301.701662511
6324.817766930412	7214.671827501476
6639.5620354117245	427306.14577474294
6661.959963094759	56730.4289592025
6946.179421057423	4269599.750445325
6967.584879655034	330314.44313565776
6987.015941568197	70953.55133313908
7267.90397442241	2355418.5677968347
7288.902220400547	106961.17881734137
7432.467708248653	5781683.291416926
7454.220472112155	448109.99591130955
7926.385937009908	1240.4152995948325
8317.513286463463	6231659.699360235
8483.539418287079	198307.23797496606
8502.487822536359	5864.115714971382
8967.853968544785	1378111.0677346915
9317.987438784874	2032878.9114414004
9564.428157542034	1712441.2253380073
9989.10924349611	98563.260098176
10048.596636960468	218902.09957098158
