m/z	Intensity
2005.9432243649962	626127.0408453585
2015.2997040246269	18639.68487833697
2024.2726878969422	236052.48035648407
2028.868079251843	35777.04262915651
2034.2810925062024	23681.58212196928
2038.0744925279432	19928.14407198844
2041.667929369198	21886.01248809015
2098.2178765941617	535326.608704383
2133.3644711888023	3630447.2387220385
2143.986227712466	146663.8112310736
2152.126544753822	83801.34141367459
2181.1948125662357	20228.037435372506
2259.8537969722092	15122.008161196844
2316.3654068277024	99460.55610554483
2532.213867486095	6044.155855733629
2580.0283354165895	57340.38600491487
2588.3463785908384	3640777.0139488154
2599.2793428954315	191801.96287401754
2607.091760073467	96389.47798729481
2617.0657540647753	53665.53467162577
2674.669305115554	14853.623557401677
2690.219208918902	73769.13000659735
2703.472064097398	7603.69831326632
2774.01864534461	37060.64900303583
2787.317565029095	14182.650545141278
2806.371188425795	1352940.1689290004
2818.631447415056	38714.767486761186
2828.762286014663	169439.25036252572
2843.47227559645	14041.052001219852
2874.535716305088	443345.3356690401
2885.572779166172	34256.31456597324
2901.561524045819	10999.246072922459
2920.189768166996	70124.72939646363
2990.8638863267306	5438.6244451228595
3045.9565647614595	2319383.709285599
3056.3216690346553	149378.0054197734
3065.6237569671803	72012.66719624693
3075.1064686758655	13578.447682823455
3107.490695125083	40368.76273444966
3190.210780261392	146182.59987802687
3198.4406707806907	29376.087677714255
3321.603735644728	170323.70777838514
3347.8704287627197	15619.158557321942
3372.845499842594	10538.842361973964
3475.089660385363	2517357.849705458
3485.096722197353	114941.08613732056
3494.6744405479208	75779.44581675464
3636.2954842800154	289879.68815211765
3647.347763673029	56747.73882500652
3718.497793933512	846003.5586452339
3728.5741423653853	60054.11531654445
3739.857478039569	32270.477992757733
3759.1611072238748	47452.33733498594
3884.9101776136326	20334.9095025692
3964.8492835057677	52054.15634894668
4012.537842040133	6791.6430350766195
4035.29692761533	34463.65219718423
4141.165473750345	40092.774098742244
4161.186596079798	1290504.8953903425
4244.883111893823	1009090.1660159203
4266.427708883522	28756158.996708173
4287.830240198178	2366401.298092572
4304.852926883994	661219.4396064364
4487.789068782566	202480.1193929707
4662.428454382927	1343244.484293187
4672.992296938731	48962.61712067502
4785.724724572525	1187740.1683693987
4796.843129134717	71880.24405182268
4999.074239509885	8261.29177566709
5028.092349591236	17709.82747130794
5038.636148859706	18888.862558556557
5135.856028544264	97085.20436628327
5176.92651635659	16033894.217698416
5198.659530058385	986153.7315569292
5215.341495068418	270148.26372631337
5749.6062953785895	7853570.219793677
5771.368134545792	401285.6665716867
5788.14476753152	188822.97099777331
5809.063986545567	8727.084839262316
6044.349897331916	49145.45783364836
6092.529998104197	7040443.194176191
6114.461257135103	458154.397807665
6131.141260705466	94560.4305763444
6329.9677750589435	36082.94425020347
6353.997079176653	7078.368926908318
6644.186290404348	131644.24550672516
6951.239249714919	2618221.285938052
6973.53549681123	102216.05785299132
7273.419321748592	44924.66207445981
7437.569810036412	589834.0892149524
7479.834882367078	1250.5630727621976
8323.82925245078	227499.39202645305
8489.546031193344	707162.4403014199
9324.936888083472	370941.33832743
9572.560746694126	84366.80543225804
