m/z	Intensity
2002.940745149526	193659.1854298821
2008.183059670794	12407.445458389939
2013.6342534300668	61433.128098324654
2018.41853693839	170000.45933690085
2029.356043025751	965846.6663683689
2088.5314610078503	1318198.5576448478
2108.3996405642497	394144.1011439512
2132.4487723880225	606951.3760890746
2142.231640173739	131650.77202162513
2215.998864999035	1037853.6047927275
2227.812660073121	98639.2020261414
2232.986639043862	457951.50509758084
2307.9266287884	8323.374375792118
2311.893706634905	141940.45987777715
2323.16431593696	186985.14204842158
2351.824625666197	495702.56850979547
2369.032103634031	1075417.5531785383
2385.7891486323324	138042.35812192844
2470.982389795111	727467.1546188104
2487.571588903103	2150473.0623804475
2502.339112303683	1490655.381620913
2508.7995523633635	32721.026523725435
2525.5150026417855	717244.320622975
2570.208701828485	185540.01877824226
2587.20348879706	1567576.3754858419
2596.677732571355	206523.19818455543
2610.5381564587246	15749.942484021336
2691.9831784545877	56403.797934062466
2741.9693314150113	73861.0220753285
2774.837351309827	102118.07163186838
2782.0360182654968	590466.338745511
2805.436472784104	1380919.9664602857
2827.897339925012	254464.76001164576
2873.4095174340487	448645.46053557994
3044.6655085639163	626557.14250249
3072.05397172529	136538.7512980174
3085.5440960716714	32325.628597851974
3102.2393367170703	996871.0350417276
3117.0521976717096	78064.5643890169
3123.8427315502363	43119.02168232549
3137.950356089227	10796.306247998975
3189.4416899444377	23640.7585637928
3319.9168322390474	293817.9560895787
3447.4539057198726	7972.253553098564
3474.0281408862234	496984.1295168265
3634.711321453156	83432.84454915942
3706.814873053344	53053.96154504089
3716.872556315713	522502.398228973
3728.0433784732063	68258.30862441735
3736.8453175065574	161564.48003834937
3906.5230583526186	64547.21621484018
4139.038512707326	30572.42890955397
4159.339216746867	710685.3097594173
4169.605099321085	33852.509015823525
4242.895812545883	5647564.717664235
4254.340927329234	287667.31250146497
4264.527304253631	10589498.231769014
4285.2313202317555	1147525.4247638641
4303.523831836175	107259.28578805855
4480.3507372205095	235104.52385105766
4660.532770147651	580477.3391737433
4671.399205586677	32700.763117712348
4681.764845384912	15590.748119874932
4692.553184738159	31596.16648031859
4783.769204416928	336247.33385956514
4793.531341132877	45954.544956118225
4995.847994656981	8465.585185292704
5026.763649786632	69226.69605735251
5036.877037147709	23058.751747883365
5056.600695261606	21551.321531278387
5134.375132042099	61874.913015426115
5174.672397281283	7115586.57459457
5196.070014445847	397629.4757734302
5214.151821457293	90515.99238887339
5421.310788833495	5735.748979884183
5431.149758011385	3687.6664811059554
5439.1159006136195	13727.175794099914
5549.35415697445	12798.639997557795
5747.065333636704	22331414.518907
5768.588266004288	1682706.3683718538
5785.356135581048	554056.4848887261
5805.5783101970455	50088.370108256786
5935.280688819144	26098.003911136337
6042.360540891594	14904.028983946642
6089.465088559171	3778512.911737397
6110.446115213058	319767.2507297777
6130.640648349482	84612.68324917735
6326.537495753791	352475.0033853736
6357.1330028206985	486960.0098334419
6614.802912364142	2110.9502881234657
6640.7046777464075	298237.8122077392
6671.314246782002	27723.62125033044
6700.151417383023	1686.819070498205
6947.590686303015	817729.6227233013
6970.50127895902	76335.11911479771
7268.443872170286	149475.78803471848
7296.491344121255	21331.926201186194
7433.527165052615	1177375.2726682497
7453.466912873514	58332.77536400588
7467.985322582639	31072.623117535808
7855.875050064022	1526.2350738713712
7926.398720066075	2369.5719226625442
8319.159143172896	697652.433281669
8485.059265185042	22556753.545000896
8506.777036295432	670431.6105295962
8718.19328584993	105851.9703956737
8758.034947413196	10384.792405080932
8948.665199705049	31634.353550725496
9319.99387165114	573450.7897937518
9342.029142995158	34095.42958682815
9566.161264108243	117273.16278202109
9608.776042694932	20743.19239149227
10021.044027003933	1511.731278509455
10053.671227940644	8578.26502937112
12073.6910831664	407.1779801428357
