m/z	Intensity
2013.849692489377	18030.594457266365
2020.1873152781955	12806.535971200505
2023.7650453435	8170.933158593003
2029.3742654491348	13024.719840137108
2033.5693503769105	9055.91191908747
2062.3744175660936	3400.8663346827843
2067.695523974986	5370.87630238112
2073.9805125563926	6663.139727771844
2081.987155626729	2874.2716905872467
2100.1100975811346	10897.278750447249
2109.545758357877	5170.284350146869
2134.718435570307	324114.5764372095
2145.135230766446	23527.770355758286
2152.302778800675	22195.178387177897
2212.473705870961	2598.4308063527524
2261.393316833917	1760.3356515728528
2273.116279338789	3401.4756676508564
2306.015299640399	9675.268009799747
2315.829955858354	1204.0899188037781
2321.106712920477	1170.125205754594
2335.957112251414	1304.2020997092952
2348.7445036583717	2937.259982116252
2384.822865048494	4414.387623547924
2402.597230896625	5236.105223784481
2478.4634338393694	23062.23631063318
2489.237228008037	3376.6663416261854
2571.0899457058968	18554.08249546581
2589.849715669688	1075857.3281378185
2600.9392464004145	20475.045016963755
2610.058009758975	12745.069729519251
2660.9997768177213	3387.105029651279
2674.258516012921	7127.976158900592
2686.849820748899	6636.207922865406
2690.975618324209	4727.1439298221085
2707.5104612112946	4643.125131556724
2775.105189689567	1063.0061716312423
2789.675547175463	4154.4745668863725
2807.9421422924315	1184011.4963146697
2823.8745916309144	12181.890491998496
2829.7810216638427	64291.86668769313
2845.374816836365	18390.060629811866
2874.758854349125	3750.0052104057277
3047.5993385484303	1091907.725788461
3068.9353832975526	12868.109514308035
3080.172849119986	3216.2018126027883
3192.065296954045	22110.682206862402
3255.651847235927	1299.133755312165
3315.3691442534196	2822.1744527840174
3326.529149418672	8474.81465936382
3349.252923654845	5247.29318621403
3368.393699852849	10844.792751977766
3476.678433473937	1140337.2742546345
3638.7397455432942	167615.98294777563
3720.055918276882	1014918.6277289962
3763.3990192405736	3714.930783669862
3932.9714707208873	8315.43334463895
4042.4622724264473	5029.45542385636
4163.040008775751	1625956.4688410934
4236.784375849304	59216.07208536077
4268.012842520022	36588837.75381698
4289.124927222245	2450869.9648569752
4306.446149837526	283888.54191400844
4465.41248899868	10614.114889828466
4489.420433720015	324306.57801768754
4664.300736992235	364086.4698851121
4680.205912203307	12116.906994389663
4787.728591633551	1407509.5845673387
4797.497762639576	63226.31759035462
5031.217266208319	62851.52451591659
5137.940851591329	953823.8597414783
5178.912656908738	40256647.71936943
5200.433861528724	2476249.8886580095
5216.468516225405	395165.32602604904
5645.641881756973	2051.0855352158296
5721.696390064657	26756.22500328448
5751.8280217087195	3458891.42471481
5772.568034877522	206767.7399063925
5791.060323642902	59121.289724755545
6094.2397748025305	26589812.02979284
6115.470254827809	2232862.9702440132
6645.741189432501	412820.0144890407
6667.052611973553	45079.518379981426
6953.21300889601	15335930.493148135
7275.190393670965	1252910.72272597
7295.948626715157	25365.058081416893
7438.976459416533	14601134.89082753
7931.9120023903615	30533.744078895263
8324.792348872745	10701824.885347567
8492.32121428459	653577.5039673581
8977.59043415324	1096802.0698190012
9327.866884548503	3521437.6900657113
9573.185377135467	8811988.659624603
10051.238257005769	247757.42036035217
12085.366718448593	658.4435085416185
