m/z	Intensity
2004.5173264156122	70251.40287602639
2011.5138226821712	39051.721963967044
2013.8711540344773	14075.320723752762
2018.994684085258	6941.519975117433
2021.3563935691966	32428.978028829788
2030.0052586958357	247957.1077673092
2037.3848639251187	9261.14959981153
2043.691809624344	19565.47066393341
2046.8828983911355	21392.328233985078
2089.2797489334193	262288.1180842518
2112.0553031069085	29567.249028697333
2132.8737969414287	277804.0959800283
2142.93907883928	43655.17509994064
2216.9567166184534	410708.56319546606
2232.535234027324	286389.4633349463
2255.4348569569242	13873.36034797161
2314.2060973024104	46148.38417002758
2322.5913425578183	7877.444954307253
2330.339453304682	24287.82609567066
2352.0591174502188	191487.05862665715
2369.2735407419423	421261.4938941817
2385.9640344672002	70760.8924666203
2471.7878069960966	357371.45513178717
2480.902228666411	30940.300841154472
2488.011140083106	731340.2977503767
2501.5085480237585	447273.5091760847
2526.650471920604	77160.53752055365
2571.522290510244	43902.67348773434
2587.7636642792318	1565316.7099879086
2598.696182305418	88821.95633318886
2608.4248027841963	121995.82736749179
2741.5794872314755	68615.12547990777
2774.0614468556164	69863.77307954429
2780.7866256463785	266254.8066985983
2794.261409483538	20588.58866411726
2806.098443307052	441482.6970879548
2872.9769336052436	214298.02601692957
3045.3585099896895	587814.1009476316
3057.300335642703	77892.21076816077
3086.673249418401	21872.826675089338
3103.1265503017466	525492.8996163709
3113.0865348462085	10596.513334478033
3118.952803940692	23622.80959413461
3125.49600844154	68866.87010957664
3140.285351375785	19914.15998287709
3321.5184754917623	15633.412314665042
3460.1615026386835	20031.924707113263
3474.394090067498	616304.8082973381
3484.2236314572356	79322.73837300413
3635.776674352572	449235.35853227
3708.1905933040584	38484.19272777116
3717.246772957195	1010840.877610325
3726.8638814272094	63850.99624038361
3740.348706323608	247231.38144647997
3757.814150570635	15870.028428426176
3859.8227094624676	31923.124841997298
4160.0894222115785	1920738.5599778336
4171.6203119399015	49853.45120686792
4243.291989386377	4366611.976861108
4265.128229783413	16259446.607737802
4285.742741466514	1541018.5646025892
4301.777787281948	95016.92306158014
4485.768463887847	536716.7004393018
4495.426462247618	93976.80891135414
4504.893315812851	43877.92515441002
4660.79148230401	520351.71250856115
4670.328194302951	85613.24138693603
4682.956235178691	32129.961317424197
4696.424360817516	122402.93699776122
4784.2828085020965	909174.8814554926
4793.737080714329	115381.5648287416
4816.215355145054	39795.73324344968
4958.7415033105035	223060.37408904405
4996.873068978231	105005.98091628033
5004.092097166309	13387.061218611307
5026.31261336992	456981.71263795096
5036.642209327536	55019.580754529554
5133.742364077117	230699.37948459503
5175.455362284521	19435136.263538048
5196.862162529993	1100632.8280184283
5214.626499437493	279660.3237953962
5442.228012324662	8636.14259670271
5747.756491564105	21556499.95697555
5769.6304260583465	1411441.0400886934
5785.720553126563	647750.3539064827
5805.95051299727	88443.47243142287
6090.299229856406	8806819.304172939
6112.345420070786	704207.1518548658
6128.201030855708	189860.40379547307
6327.472258066967	262877.50954910205
6349.46471352399	180733.05834156138
6642.019387669086	525572.1581287264
6662.590563736358	29897.75737259516
6948.544471278968	3367821.5089620026
6970.085947623394	188817.16669243108
7270.55809718058	1351502.8497868516
7286.82460022063	48749.08290164199
7434.688286423851	6355837.290408445
7456.970008474641	254208.17922257297
7930.314571968547	5585.408929532299
8319.750533429762	8000640.654969559
8486.54520371606	23206603.098310467
8507.71864362784	733627.8607458324
8719.922597550869	62431.81865040306
8930.200045460035	36213.626350325976
8972.385518445551	1277171.8083286001
9010.822209458338	34304.66597310823
9321.418203438063	1964542.3353745306
9342.592264758849	213255.86789339993
9567.985500531639	1344757.3635172562
9589.584636267928	48633.08780378257
9992.135404286351	50625.6567977783
10051.801887267473	564054.3523238294
