m/z	Intensity
2006.131472083361	11760.025349134306
2011.1758405072972	11718.179167644637
2014.6769874855802	13426.64958260178
2024.5909307880495	78748.56114890685
2030.6727012757226	60887.21439762678
2036.1540931471693	8108.924877472284
2043.8811606727886	640635.725911816
2052.710587995534	1017.3976628897872
2070.08512407234	54942.51017373318
2081.4349538114225	22644.710094285838
2089.796177323547	6380.443461011874
2115.601592855132	34542.268413654085
2121.680203511835	21777.013384984515
2134.0022330837505	2889174.504017049
2150.4639070185954	3477.4095573112413
2170.4831798573414	13933.728532316889
2179.7217899718344	56509.423878449445
2213.9763871301443	17008.023384180553
2237.339717788718	8412.431924981363
2253.1258626035574	23697.145350004434
2286.8018611838406	2772.394357795966
2316.3920206281146	74342.14400904614
2324.2714446477953	17952.221455031224
2332.30919427836	4680.866042996872
2348.7172231378704	2704.976826719292
2364.5259588896333	2169.6692634810456
2399.535930227643	21275.04140535778
2423.9300024945683	88898.53235121613
2459.59869133675	9242.957037682214
2466.0780228932317	9672.282152215448
2479.1369756893077	85303.35984027505
2488.9351039822923	8053.4286622387835
2518.5207450557086	2522.3553461739216
2569.9934445765784	16552.174847438106
2589.2008553081196	1816999.1296441432
2597.7604356244274	12744.593363481203
2602.1986268385554	15407.995149041706
2607.79001031492	71344.8535828396
2774.8424668812313	417192.5805741219
2807.2688729111205	1714715.174434657
2829.496670722122	919217.9173054405
2842.363348995283	18770.92062387935
2874.7784362086436	2082397.10897534
2893.87975034466	5780.17210647367
2905.840078201418	13850.548121938553
2921.1496007549895	77637.16453094929
2968.87291787472	18367.014024073593
2979.840078774021	18036.829779753287
2991.484061548061	43275.69319418404
3013.0276246308495	9421.678442725795
3046.481789572134	3557189.7950841314
3107.9176414562357	129968.04289806155
3114.949215661597	22074.56963418818
3125.930980598054	2579.5513828332055
3131.63905756119	4697.849329085112
3164.5615452865454	213743.98849150323
3178.083299139659	27531.122682745598
3190.023239984824	378856.10948621767
3216.948679845981	909802.2649163846
3230.325891383234	4129.132811524472
3241.081818957273	2956.455021597481
3259.904867275638	26691.436041181118
3321.9751193685506	631663.139070092
3331.929496659863	98825.90746757781
3351.7091622935773	174943.24677458726
3455.5423166969013	63860.3822760418
3475.2426570835255	2554580.4258363596
3519.795420783095	154660.96388655526
3627.9882962368088	17026.08909756349
3636.580539099746	1279547.1723037842
3700.5702791718986	2583.9224161429397
3718.667947235375	3950566.7680152683
3743.0504666072975	1080440.7277548122
3762.2640545147815	41363.04105426764
3822.0552592824474	127421.75003709948
3835.891571635357	189630.04522901375
3858.9765715039944	15020.663098572577
3876.989834726245	5530.305103982673
3884.2817075728467	3256.333028757406
3951.9147936149507	34956.0672218358
3965.416958095674	65325.570165871126
4141.59171767814	46755.53996315016
4161.704232087362	6284741.3167185085
4180.506928608363	90903.99960392261
4244.596662735359	37140176.53653909
4266.721729190298	33783293.93126269
4284.58106842429	1023134.8986287799
4360.84982812549	570204.1848257446
4380.096639496082	17006.00352125959
4453.4007004924215	80157.70613054551
4464.323438741805	91137.27937232984
4487.616377630769	993427.6316487197
4662.298192082847	4805503.144939411
4697.61420400462	269936.2262923407
4785.760463669838	4878642.222719124
4845.74586625664	14649.896660087608
4998.404778835306	494278.8033727312
5027.943644521327	793531.1100393897
5055.862088110637	275337.9118242245
5134.918100544243	73781.41439993083
5176.943353199348	13329606.183012595
5198.777607484316	261159.29216988184
5379.83780444003	1566.3525055714135
5438.776913427568	14117.586762897523
5483.692037911297	30882.51123813407
5520.537609720012	51066.302988375755
5643.420429195417	250623.02568285866
5655.489673697361	18753.377822954742
5749.434993790939	37992178.49212858
5770.7334894329915	635643.1400476114
5787.047143394406	334367.2336009448
6044.311607317874	99887.63572090644
6053.7657305078565	38415.206945290745
6092.241757300914	16220081.597308964
6113.57873013883	380631.9568334931
6329.238690125643	2562938.212007041
6355.053250533996	338373.1530073861
6501.118060286971	1584.485966355379
6643.70399022554	2439812.8151075775
6667.455301447869	27693.458216582007
6842.967904574564	12175.024876783695
6950.520935095067	6167412.31655666
7272.7077231807925	1920180.2751491289
7436.6677166012205	8421328.902013345
7929.621594926084	24613.14517035773
7965.7440149030435	1433.138719447829
8322.308025622428	7893597.401442685
8488.647482117654	124395626.14355305
8721.8210325243	1021527.5571907132
8928.634450371774	47816.56323374888
8974.495579394668	239882.47943324552
9324.154878743364	3633335.2844620845
9395.150413525893	17315.635699919352
9570.807345614141	1497851.2073081958
9996.050785248442	30673.260540972216
10053.899674237793	38304.403475052626
