m/z	Intensity
2003.1100928850497	19990.467315108508
2005.8644270821146	11290.754982742008
2012.4556249148911	109216.53806011038
2021.9578468429572	72504.40311025424
2026.8186773335967	41007.66618624271
2031.1443147026903	67630.3083695939
2036.9641508436482	34416.623499369634
2132.8766485605	3910514.5197653044
2143.3533194886827	98069.32336903861
2152.6719933822023	57604.299814249796
2213.877276989497	14636.833064887842
2315.4093773529894	25851.287596678718
2424.756110766442	105510.03028967125
2478.096797847933	140111.4862431961
2587.8166419974336	3916071.9015677487
2606.474785850824	145753.92423668414
2773.9357243284508	561694.4300037365
2789.7637790931585	77374.35466971602
2805.557385429333	4472653.179861599
2819.483074573017	100335.21730046722
2827.1369531911864	174768.67031272256
2842.7958357831626	221529.48016908017
2968.3156078113666	103737.23170995146
2990.511114880256	148005.61393957157
3045.160848170598	3858634.5002550497
3054.856285582915	149073.17355937487
3065.5639887109382	248761.69321566567
3131.2950414096376	32297.31349022473
3189.582925318156	526368.8546737332
3196.87489005085	61694.52700642303
3320.901474674987	1934597.9356800222
3331.0260226964647	318031.3395118887
3341.9466158282066	88852.57096234718
3351.0607623345736	644526.1856656262
3455.751042909005	31378.79870912332
3474.033981636737	4397772.516117824
3635.3208582391503	10383935.109129358
3717.107907888388	6425842.114539094
3727.1776941922867	68434.325087171
3736.8941937485492	179832.1008490273
3759.76855542736	245594.93214916618
3856.994423390637	28446.193577717982
3874.440088285002	593018.7590854475
3936.9866860967663	18526.31370505922
3948.386888146047	268993.9835367108
4141.331709265174	599669.251019985
4161.247133741321	13826948.200468756
4179.561072813967	622183.2643100355
4233.96304766612	104992.98055181636
4264.675873940197	66477405.775576584
4285.180012417888	2420185.100539687
4301.500634279732	397398.8736993985
4451.684108824271	2131164.8244338823
4462.5029489290655	639866.0462412281
4472.532101010524	125074.82480683418
4486.390817538856	5470573.04929835
4599.762172757638	2291144.6752417563
4660.9214201926625	1824493.1532956837
4674.248055103344	284553.3963359426
4696.432837662055	1702197.6277275847
4709.398215692112	113206.4532696617
4765.1665494043955	95106.43483766305
4784.036505743108	7355095.037909851
4996.930482747693	2595882.744355163
5026.4607801999955	7061984.608050955
5132.974193865375	672072.4117270143
5174.553748845497	27288306.014661252
5195.406424531244	499904.4592293478
5211.317164304674	62971.85917025091
5382.985672507587	2594258.589140291
5519.246334915295	583966.2156441895
5641.759126550209	3887032.077428251
5746.719200444276	2565673.5412986656
5785.458353333282	229134.42302097
5793.907059876411	162090.9728429725
5903.840035483826	452197.4250875374
6048.2507854162695	189337.702336761
6089.513670064918	21693396.241426878
6110.725529411479	538376.2365506917
6209.650040988149	1223469.469913889
6231.306825364376	172891.72506895178
6304.959764182489	1856482.8251768493
6322.48610057005	130178.69605464065
6568.341534332514	680775.837314411
6641.141596415195	8579008.542464178
6665.007439650181	185043.06535314038
6709.671542698686	431262.1596801303
6730.582247922963	795089.2836789868
6947.855795998219	6426465.922518637
7012.667939341202	401115.3426863857
7047.265075124881	35497.94695669248
7064.658626685236	549851.1778960982
7269.807113239753	17554133.673641708
7433.969824135537	18723654.233386338
7675.498026403846	573596.9271957726
7715.381239116052	134126.27337036806
7731.732884385771	107565.50745666902
7749.686849757625	788919.8572813179
7892.201832746845	18091.60921541055
7919.284933677518	7503.489305043642
7977.610379991533	267263.5663676377
8321.924696773067	27800139.062821906
8514.799709412735	130282.31845166312
8903.638499372706	3590158.5187814925
8924.180048280374	308149.03596827644
8971.018008973868	3706447.595463448
9199.705351571427	2321473.606623559
9321.57392898546	2058267.0533768865
9353.182143356787	13544.525434924433
9368.86107599628	6876.363875540574
9391.677016338701	845867.8746875164
9491.548914176441	28705.705176190822
9567.569998374502	6039959.5320625305
9995.231052819665	1827318.1850911987
10051.11360980666	3903998.873389114
10315.634973692571	1928.9644262144868
10765.280505110166	1118857.0033286586
11042.289129112249	144285.70083295798
11285.48589640148	2450339.292411968
11474.684372328906	88875.91737698426
11572.45589790612	2327559.1009069947
11805.571562384544	18473.93731957863
12080.39539773558	17660.197860294666
12418.170092983155	999249.463475543
12459.50508471032	35680.995072995705
12609.014510892543	4370561.276301835
13138.459571422556	596160.3830559656
13426.209558411128	523858.10298038577
13463.093870654431	108085.79158948228
14027.760863116446	172486.77957772338
14093.058266312186	98665.45233756932
15345.412011806702	14858.879621246484
15945.974967964321	2211.880931055267
