m/z	Intensity
2003.4827443019813	102809.5303237103
2008.7298663544846	118153.34015728734
2012.703401686656	84238.14517438326
2015.5344123278785	38262.01827748097
2018.9072572539374	105394.42867265965
2022.0127649821031	89979.44663156285
2029.5163180812342	450590.115200509
2033.1039975267306	172347.98599584508
2039.8818324383856	48108.008538942406
2097.260939363129	430393.8706040265
2124.9332759257886	35711.77491894089
2132.27846562554	10610130.349152016
2144.154493629048	262958.30668109335
2315.616127608508	501902.7804052158
2423.0777581546313	691222.653097656
2476.974995332996	403377.33001326903
2587.3119316897723	17155505.000857476
2607.213172880828	249645.5352749303
2688.9823103620656	137258.96942429885
2772.725709050283	2485017.42849445
2782.0657853056996	50346.64928443827
2786.107458595937	111222.87544491717
2805.5642376271594	4414531.960251685
2818.705933799138	198250.58232094278
2828.1230702214903	1280319.0354725423
2873.4312211843726	1782745.7069845109
2967.090836262715	430208.8196817265
2974.2127175921187	238733.00217385087
2990.124437433422	1018917.6535858565
3044.7407046875564	8711464.14287267
3053.53181751376	324185.0356678368
3064.9958404641166	693831.4389338314
3106.0423759111104	915164.4642860095
3129.9442159763403	280101.4138781829
3189.039332251474	2075710.2435090651
3320.7343296184904	3584622.0204865015
3330.5216734425476	1231363.228300033
3350.2265002913314	1843183.5004700741
3363.8018382018568	90707.13648315267
3451.9163598764544	27115.452427618096
3473.835286422578	15728910.440334354
3635.365429238509	16896148.23723354
3717.323845523218	14399774.539026132
3741.4464103968626	3704310.8815090815
3760.026979426711	1645957.0379711522
3832.4846282043336	207777.9908497413
3855.485112854003	576398.0842835718
3864.9099909890015	129885.51706436826
3874.3463747995193	2644833.9185348945
3904.6013509476893	339294.19070322753
4139.756813659596	1392196.334973815
4160.850173234453	22813297.635141473
4179.56930363527	384287.37550449796
4243.411198128974	13066734.135489818
4265.257100534759	50361975.50615954
4282.243453522498	2976784.4382286617
4359.1493641276875	236213.7358722006
4378.507633473646	401686.2002324242
4437.940312032981	230128.27257970875
4451.758693282851	3809611.004437648
4462.788729516467	1453026.7844586344
4486.298020368514	12675873.961525414
4599.981930237247	2579737.8181560985
4661.099257343928	7587308.384229888
4671.358909756976	134895.34629963432
4696.645655726188	2903529.030720559
4708.59316848058	301639.1338556885
4784.336156874828	12476555.162528714
4997.231888900699	4565400.351699369
5026.685104633847	7831171.092589089
5134.487886930734	327450.7451443431
5175.681518853982	30612177.657245036
5196.123522098814	1450519.4829149104
5213.135080234863	96623.6147335973
5318.96437731132	80520.43351877535
5363.419607434435	42782.69059866987
5383.347069241822	2676892.8189224484
5439.030389725176	204943.52715650358
5519.632896443992	1039795.6671597122
5534.9305897409395	69412.94163111343
5642.720010167068	4251547.979953262
5748.132263330274	12012478.092319436
5770.586732822159	201569.03370406426
5786.228082747182	326761.55121068214
5794.342512193378	203625.83651519124
5904.270688301843	37688.954632510584
6042.520585358209	471206.92377117835
6091.186388596346	19019558.167169187
6110.190781307867	964989.18038838
6150.879534270203	170634.95280840842
6210.508657637102	1598575.8357043983
6231.476446652238	108701.35854984244
6305.559397391125	2783831.975184191
6327.6426464587885	1718047.4454115464
6342.107165792116	205530.1528937681
6569.331853956908	1650592.94787633
6642.942241068898	7510179.698101272
6667.692814034786	105245.10406367386
6711.055538883941	451256.21275757835
6731.742117652578	1421082.9412870407
6842.111224665624	432383.7000563837
6911.110623959573	49983.14614831454
6949.996654362124	11425017.587038063
6969.29250070795	275111.24300351716
6998.537717426122	494686.3945845262
7066.67799160571	457512.4793522497
7272.310989550187	17420586.769306947
7436.4019642924495	21806540.92485022
7677.940920648994	91251.72304388147
7712.328216955988	669508.4618144732
7751.287583248098	3707390.1336767823
7929.49110674607	165334.94277196692
7979.321691114421	503199.66593092226
8323.871039482288	41749313.51830451
8488.702733084547	51178289.64246105
8721.789336858741	947220.8894925038
8906.222133091042	5697441.410637786
8927.921755198802	1254117.5766329772
8974.530179527992	6916272.440314388
9202.763504565812	1754898.5333191166
9324.62514475024	19506438.930089828
9395.389730298502	2773477.2056772383
9571.487726213756	15503554.988034423
9997.549752545596	4241910.390034948
10055.902394818344	8749763.220919272
10326.38944892657	10509.407427992737
10770.157686508195	2794791.6074509784
10879.699223575526	89890.20845736095
11041.657319211183	1064754.1002975164
11287.476327303148	4845763.074393439
11480.253803384932	27213.17975490426
11575.881060408572	1886178.8645469814
11949.546703514095	12809.683877018784
12086.206223266583	1739044.3019882157
12307.977220978592	186581.8884645269
12382.237510934556	44370.82414524442
12424.724409964005	1404323.295610958
12613.610785638333	5370808.6514786165
13141.600965018915	976056.2238461945
13336.533592625992	67543.47965888499
13416.961255514974	218324.13387994477
13463.625978674536	236050.20443581152
13674.619732405112	131843.530014145
13993.830868336996	105644.85128114623
14136.507643917406	156294.78443935674
15123.536869966742	26179.576406983968
15352.692591992505	6781.146676024804
15962.89886783113	4891.8224730221555
