m/z	Intensity
2013.253432783851	19348456.96550132
2028.440297783471	269975.7123538907
2037.2409415362965	2595391.8338334793
2051.0895846929257	106739.5493160381
2091.612063890979	363770.18145868735
2098.9660916241714	402054.9978306405
2111.9184449398113	31162.55102649932
2114.886549630115	16920.639658815104
2120.759865406583	68902.30719820358
2147.6732606027726	37819.670791251054
2157.983904976448	58223.56827548203
2169.2282531360984	6966.471534220507
2185.4124844137405	637991.8720730551
2199.402972441653	78405.81024317142
2236.100752734234	12528.947012185843
2244.415602154904	15221.591898216542
2248.6856130463407	107849.09015381944
2262.448335302603	311813.419004855
2281.198597091627	198100.469104375
2286.5802837083415	82522.16102655005
2294.0533813302554	38543.677052935025
2302.7633872926235	22587.16093164179
2319.509721490171	1559293.3815920746
2363.6845136304037	1624898.1995501767
2396.280492348594	5648559.7664531125
2406.3605977799725	22417.162516059354
2425.1052348551243	541907.2900679337
2435.2457221741065	159514.74940930845
2443.403032599042	210961.1142608171
2452.5405413255694	47168.44957118236
2459.1628688417663	155682.74400306746
2482.5983560317936	1300304.185055534
2508.4004769565286	70008.72614721453
2528.97209531185	132814.1552599606
2575.622551218042	54010.90349396505
2582.637815509837	32880.867929983324
2587.2945009270943	8870.834240637148
2593.3315237742595	473339.581980669
2611.254618271373	14123.40378473813
2654.0886767484844	625956.2741598487
2669.5042514950474	2986745.513670987
2681.9310572608074	703959.0293417866
2699.0650330579733	255964.67065593303
2741.5096924318254	15259279.046413708
2752.2119822967834	252402.1848377675
2763.8033453239364	65185.184751349625
2780.5630362787037	1057039.8741037888
2812.9601068592588	91008.82966204768
2873.0835219902992	296078.4160485236
2882.1044730564545	172202.99876412863
2966.463919083285	225840.96083156028
2979.3170381891196	2546423.3872277215
2999.4299633894675	69241.26138012204
3050.4643838807046	55482708.706114076
3065.825405254408	67777.95222194027
3074.7274973449794	1885643.9819869592
3088.146552724092	966569.40358112
3129.502916303244	13107767.223291356
3151.127052288996	48991.10756372357
3166.739151035801	685786.8704411474
3193.0712952343347	126528.45576601429
3226.843414483212	26298.980346700984
3240.4191013007467	9717.551824057246
3269.8879212834777	426822.9009271198
3284.672352867322	1019596.9212162918
3317.6268197855643	50870.1253160368
3323.0775196108475	18268.908713311605
3367.45406648755	2854644.03677655
3381.6713227762752	1267329.4471916195
3394.256268981448	474920.9118729307
3401.345573030076	469040.3227275738
3431.9754271139	123780.69346072721
3472.8223413248234	38884.23258824324
3507.2386823152096	161989.69934078187
3518.6297521367933	358222.751607741
3552.376805928715	196766.18873449508
3600.6860788827958	548858.5510792863
3664.848459263156	106898.21875759137
3696.7313152777347	23994.48728215678
3712.084133837617	138296.27664689938
3720.6882819738275	219790.17860379227
3728.3855223117516	2838454.908295869
3783.689474396864	7709579.950563813
3795.6131150556657	1022454.9467646199
3805.4248748338528	219953.5099379817
3823.4150486563567	211985.79564431618
3829.638005788344	455215.66632348916
3932.152844348849	477857.05859399657
3958.7488544141406	2915114.038032433
3997.3868558594777	15588.04850786716
4042.3198216901455	621878.4906740051
4065.359136360687	254926.63109200378
4129.947336315737	12727.750632245386
4152.363848424906	84351.22626886163
4201.7574795597875	435573.9340725519
4223.977427928352	116000.83636451165
4234.132303329993	16796.23259782202
4244.201552446418	1355838.0059974946
4266.337151405538	254969.77254768222
4278.899666143183	41811.71659000426
4336.747123875622	1979273.1079183447
4360.014689207174	258465.3863524915
4374.700252539141	11649.078871538291
4382.549275335315	42099.04660677622
4499.215054618662	4038811.9360658852
4507.275748509172	106494.53196801987
4515.0409798706705	7982.736218506572
4523.317795393466	246814.26833688418
4535.140520581679	44635.18027478219
4564.308352925258	21820000.288412757
4584.720465997786	212266.4621024086
4610.37611150264	4771404.660921351
4667.9526914526905	366008.6022276995
4684.688984007879	577629.2098944433
4724.441604640038	238256.23009696577
4731.565337606653	256238.74063350956
4812.2594082725	233623.29868658393
4820.178700146075	32587.40461399877
4845.020707623424	144504.76903937245
4906.563643512419	1081496.9304338705
4951.681360535753	74085.24208439031
5013.151701478599	66037.44689046893
5026.449287993708	724724.1069569626
5087.095371885864	139339.01822145336
5145.412185140652	54432.529515636
5176.261483494161	391053.982951002
5193.343641294467	31457.626951692917
5239.432132163666	2637070.453708433
5286.815904940902	37662.3863696799
5337.593698289717	541047.611627013
5370.773419157428	69897.17159016676
5385.087732844902	51269.74577910637
5399.531427057132	48283.78868584095
5485.042893581858	905228.2537927956
5547.939684299793	20347.802192972445
5611.64493981434	16131.853681375333
5748.339940205298	11663873.874510068
5780.2590346545285	438703.875884561
5826.2402563546	125390.8291330497
5935.510571229037	315939.5182517667
5969.336443375425	1083127.7414501456
5984.6591352315545	1271719.897309311
6001.280882073399	870675.1758351013
6014.082526473193	414885.8843712213
6039.493358533964	249937.60175542848
6108.1824294436865	1273299.4194397822
6151.207295096637	6350878.179241693
6295.594920690009	39131.592635320354
6305.129299210575	99378.41018953995
6368.836244121799	79731.96368196918
6414.8121357633545	1131132.3264585806
6530.657281904195	418359.78583435796
6577.699639111464	454492.15534306027
6610.375711621892	201605.29055914498
6645.580546888606	332636.4672133864
6683.333623303487	600616.0010926108
6789.0667597036745	3115823.252980768
6804.787740506953	134276.52046156072
6819.782910642884	96736.74807811812
7003.776412922362	1970842.286452854
7014.587061690229	41449.260849047234
7038.500608908466	3509920.633343768
7087.334582513798	9946833.170043768
7267.70885615641	390950.6351507823
7442.316572560227	4159129.793423123
7456.960773308485	462092.7604540028
7615.458755970299	56437.07791187625
7731.992958951994	50097.54754548896
7867.38087898268	7922332.398115981
7918.738219107506	73557.41482964513
8088.12001659357	344176.64267434884
8331.91103688162	1625.409513817689
8373.490169742923	130507.80546003745
8448.262179664101	3699.259028120454
8487.501829730567	124008.93698771844
8722.885620881867	35089.24628979262
8766.13080573372	38000.06149016512
8852.094347589898	241939.99092698592
9002.613784078249	776724.0427671042
9018.29160241228	149013.40873101066
9033.554930363587	406622.6839979356
9173.806476423679	410307.60200710496
9598.83665820437	29781.020459261174
10007.038341735295	1359.5935166256372
10030.483394133813	4383.281009083238
10153.71737902467	1828.7341228983964
10177.485004229622	23787.769012491273
10353.648413118473	3398.098118902601
10384.991990152825	12594.372678553318
10625.370354057932	5545.930066682236
10688.145362457644	7440.166729970041
10796.613283045748	13010.2122399464
11123.560719089191	2628.5633116584895
11226.413740062739	85173.02693462135
11774.320511576037	74948.16171024062
11969.820681154384	570888.8514075765
12021.786907793263	50909.61527230111
12214.011809939446	1393707.933699436
12600.338717118462	2187.6722443293424
12974.54535269617	924.7656939568501
14004.825592257277	279156.54019746324
14171.456760058116	9136919.00697915
14536.082779684562	15332.77772700278
15751.454366680353	656717.6857634148
