m/z	Intensity
2007.5297094162947	764980.4632065903
2011.5636294187468	62244.674058593475
2020.7221709904577	127643.85863564433
2024.9042916797405	8569.637977812301
2027.2670753851899	22918.674889664428
2029.7663733592606	21393.913342540443
2037.2058116229296	163458.21177227455
2098.997356301333	9155.830923286409
2134.0482019965143	4094861.872616573
2145.2174045603247	298625.05439382343
2153.0044785188297	35101.34371994835
2182.3316536971524	16852.25759542739
2186.3971870745695	39251.31147150225
2202.556378760036	22929.62579483781
2315.892854612646	65660.18383310566
2424.6080617697116	66927.71143929215
2466.512564303249	40847.08044739733
2470.0146005414663	15975.949770265386
2478.817895478115	132922.6948693939
2588.80663592165	7678942.554138664
2599.959764373073	767324.7017126671
2610.2939207536515	237235.65302437052
2616.734407191653	91468.04806115536
2690.1256222654856	97569.07548955684
2705.3156898821444	49595.74265077091
2774.081726677539	304130.2300855901
2788.9522193017824	54473.0970226686
2806.8810639838402	5232124.792128499
2818.9717114431005	90896.9842651963
2829.3330119222287	1433966.2629600088
2844.910600536889	20779.197582481458
2874.585632222333	3307378.973712235
2885.934742080976	551466.6599482233
2896.2568423814055	33898.65376701427
2905.869698677852	25289.934161081033
2991.297227835648	74065.0515170283
3046.0938600061604	3677524.6102877776
3056.86410077256	453911.8975551226
3065.909182769442	235284.78874983257
3107.655221784756	253510.43923634852
3164.093171732012	260169.70744609414
3178.5356764372127	23718.426859862775
3189.7914719270793	872873.0321109507
3321.656980574718	726924.0032350898
3332.037631460389	250458.2152898887
3338.70707915138	9031.010948089155
3351.1108873088683	276058.3079405107
3359.363893805612	27939.116265909543
3383.3986302403464	35986.90567653299
3454.0774339099107	48189.02155342667
3474.9991628791895	3403813.4750898425
3485.52798873589	343937.45755641145
3492.171985306272	130953.33671872564
3636.231532949996	2767534.694462204
3647.273385778995	336411.27959257114
3658.1505547967977	133768.95465304825
3666.591500053149	26838.45424331118
3718.173021491748	4416854.162053554
3729.0637383027047	296805.0478887273
3741.162828525248	642451.1493924585
3760.911632927105	248931.869505336
3906.9809741518825	129783.45498242766
3926.88016809577	43108.707423888234
3964.752344984921	97796.32316441338
4141.672074027762	176184.11358298492
4160.804973220681	5094176.057936676
4170.969098286693	202828.28299373866
4243.930588077519	11350222.673835486
4255.271788289069	1200002.2830744835
4265.844440737897	30314884.906741727
4287.421903353085	3520094.757644207
4303.837502127907	53883.49502308
4359.6078763229125	307728.2271655689
4452.388886765555	189256.8896127256
4463.604288639821	179004.8706289269
4486.780610388708	2194526.9898295
4497.335141224421	109271.11091584335
4516.566127507326	8117.960217327283
4661.4407195616495	4647018.945215799
4672.198601497005	351465.8099469632
4696.526257258199	210118.04975873308
4784.815613453179	3085326.123176969
4795.5071288705185	274192.28047484194
4805.378812819629	104295.11444365703
4815.57287013553	50617.08796520531
4997.413556870599	659674.3156508913
5007.278550274804	33489.49270272266
5026.931382705669	1054052.1802759857
5037.038335813201	52725.782676791365
5054.296762785823	121067.44312465444
5134.903933241519	567550.3164796813
5175.824293728115	37496667.27890202
5197.642806076411	3434048.342916037
5215.7155358042255	547779.2745973272
5363.732936591242	11886.360243708179
5384.5127878278045	4813.487852292412
5439.679663194594	90186.60609784076
5641.73492530571	333486.227107877
5748.123334835619	47464773.80125933
5769.862030099294	4933655.113593119
5789.01689218661	1288655.659157336
5935.538754940158	5781.211009171509
6043.017079160552	76714.8100111273
6090.678601976273	15408481.732739449
6112.351522499012	1532289.049011242
6131.713899355967	271660.2831343079
6303.065894349356	129495.34973555915
6327.498910562377	2233935.5916011604
6350.186348242772	430352.58910712565
6373.6327752393	255167.56857197394
6641.971075254303	1626201.2131578769
6664.725190163993	141702.58328288916
6948.683476840134	6700437.2110583335
6970.579138232417	548416.6010048313
6990.001201689647	125653.1155132017
7270.500752362068	4137231.2235106784
7292.256932764864	251596.6960478641
7314.302146946685	140689.66046895518
7434.72299724531	11905815.861610314
7456.723331678423	922165.8314467303
7475.773354462886	316950.0721830991
7489.78477623895	12223.329071599313
7793.144064849411	16251.76106850807
7810.630478025643	24289.454964982913
7927.840895059897	279892.68758041086
7948.285355447697	15314.638340028647
7973.844472522492	11428.30962448349
8319.966793613035	8463559.613146622
8341.458340450172	345059.7036901015
8485.904289044904	40788998.82504639
8507.885630651848	3337975.3520884383
8527.402305205967	1338999.1265830668
8546.525382336053	317827.90342121327
8718.616589237414	1371005.4886506798
8741.037319199695	435359.3451609034
8905.297821875367	59043.32938583052
8925.548239415491	148069.3716595854
8971.515389913639	3331331.3023302485
9320.611444477252	10610688.329686454
9343.212924426613	847294.93060013
9385.88241799802	181281.1406636031
9567.358725923747	3803120.7290173285
9588.641703811023	230318.45641296924
9991.963329589678	293796.887253114
10050.667058653637	977624.7862773773
11279.636883574787	62670.4880805398
12078.74371538978	63360.20829844633
