m/z	Intensity
1999.9724728295387	88522.80735523092
2012.6118930039163	27619.977500037567
2022.2525794004723	45788.8370142563
2029.7517890973488	77877.90193019027
2045.266984685689	1499.2254864924917
2079.622040425261	3440.5314837243864
2089.558938155916	79430.29729110701
2119.511734188578	92732.42066684738
2131.8990399314275	325775.5657260044
2145.6432421969325	28377.67059171696
2154.412546016759	7657.880479425205
2191.0032919843907	6465.0959864164315
2210.57847637942	5349.672121335325
2285.8729583638383	471190.0642529047
2294.995906120434	149736.62348109356
2304.929627762673	4862.607226713517
2314.1626913464247	13656.688902820148
2327.6847972183455	118191.11136364368
2368.8527158174234	3876.845392136614
2380.8486591874635	5007.420058718407
2424.7727036991605	1845724.2535963086
2434.3906343433	649014.123948682
2476.9356906641005	19514.29988281664
2512.5460466686395	6064.687388735239
2586.742602880242	502909.16595931305
2599.5835368639746	21179.527906798994
2691.6839557501744	10933.875222309234
2715.6439337316365	33648.39190830463
2772.2531905006936	513052.43285399274
2805.385928346677	285467.83457511716
2827.6103692124548	4940347.633245557
2872.7245351773945	4596300.828007104
2884.8045326146457	181719.31680964265
2904.104359221791	191461.40275999918
2967.0483335262616	154171.29242458998
2989.902910092177	171853.04353431202
3044.2337396752773	1650561.894549502
3065.554529787511	117403.70036125912
3072.9553381614655	149734.9535369169
3106.076603473451	488849.3595398715
3122.4102542806654	243514.18759911245
3162.629826935328	251295.77788179077
3176.6575050919623	82578.51460472384
3186.9867931332187	1744651.547792169
3250.769287598745	319193.57671248075
3283.026516276132	17251.59106250545
3319.765698579982	329496.21258033393
3329.7185942904575	138772.00040770927
3350.0165701008927	708999.0455396029
3363.3216729062146	27666.683680506772
3382.2375306197487	9693.16847601315
3448.992975566796	63408.171216562354
3473.4535498131113	665668.4831040906
3485.7605577886466	7980.304463477351
3497.1128788177443	17160.662176865422
3532.35099440681	28173.80850196178
3587.5169537366714	156520.91027946514
3635.1422704656516	1470935.8172178548
3649.5455084268074	61948.09204043853
3665.8854291089056	9423.80826865076
3682.170766154421	50652.70726126582
3716.5881111336253	1306607.7616721948
3727.851750904162	13038.021245360102
3741.4273383664404	2829302.8375558048
3760.088039458169	538411.1216040788
3789.6905850684893	33513.588676653075
3835.473912476568	395106.49781453464
3855.299314282511	145847.31171191164
3873.9612378083566	75586.14513273431
3904.007820157235	56235.39584707289
3925.9840828966726	169491.5434611871
3946.8903746672486	8687.15813263718
3986.4051487825927	31341.354748817947
4099.304378888381	1777887.6365703226
4139.283289381348	633096.5944364656
4160.168355730886	9850461.957892451
4243.158614686134	149957477.54330897
4264.009742169198	2058870.2329387178
4359.215480606282	7775737.812638447
4377.469086369191	401727.80786260444
4436.456822019154	353092.045279425
4451.666016227722	1727001.2817881678
4462.78917278268	195633.18903353662
4472.0188844799495	93645.84001447262
4486.484530541665	3501997.7213629554
4599.792463972607	2782063.317214159
4661.074395595138	8817419.245978229
4696.289409239753	94686.54522337535
4709.670840405277	323428.9168093898
4763.697720951875	166219.17057653578
4784.543361228334	1897867.2601219157
4798.777664617496	409355.1409780424
4997.200355427128	2411776.7960558836
5026.847511986595	6924192.897730956
5076.561238233191	155974.3441073032
5117.0666529552645	629867.8991259829
5159.457899022396	119147.41597595382
5175.750641265674	2117468.833932736
5318.066784405826	580499.7919981179
5383.504141329196	3548327.1950278743
5398.492226298822	44553.79067558694
5439.374081791847	1604665.9705243781
5500.874688534978	260423.32140604782
5524.500680736476	1256947.8725119755
5579.189552431634	121932.68186806145
5642.488037104486	3781558.1994756036
5660.429176203629	307277.2655889231
5675.006119825986	73237.68689919975
5748.513420502528	39833781.544931315
5770.156164483797	755861.7708055009
5786.015297398902	2153659.7085678
5857.823046301747	345098.9388329776
5904.326114755967	132981.55229547393
6047.389393378818	17295.73554524654
6090.654036964593	4320104.974081321
6151.3658918052015	24215979.774370134
6210.604394206764	1813075.7528277987
6232.62539676326	1013180.2169282726
6247.446353173764	1331392.9232864433
6306.071806687179	3115973.584259085
6326.470347387085	1605264.4085604164
6359.224402982835	499776.43588039285
6375.872844803009	4691390.878332212
6504.153256966872	1058559.264027612
6569.68499737072	4155476.3627407392
6633.589077383567	110379.18682444951
6655.367330815896	988456.8066541821
6668.475928511147	417158.69854312064
6711.690539508849	754783.850678511
6732.364898499979	1228960.9372292878
6836.958226595476	107889.18162094965
6883.080288445431	116849.02865606036
6950.238936993668	274907.2447860865
6999.880015262896	1980140.7793026145
7048.68957341978	119779.06200209146
7066.847608880184	1134930.4767438006
7272.735037916011	2366016.4386710357
7436.725581959453	1579373.82937923
7483.91583865541	836289.6368413304
7543.7653639036525	202500.36600557697
7677.7199845203	4461072.2819917565
7715.776050861773	518946.6296015015
7751.150874172927	1064697.241525737
7856.962491890088	324295.16449707764
7893.859302972118	163206.69114088066
7979.036570752755	1899509.6755575854
8252.711791572841	390355.3738426211
8322.810134676336	12397052.44747755
8489.18524925712	301183426.11485976
8722.40919981826	5259938.560608184
8752.714701107116	148540.78489234473
8788.278253664734	379836.3295395349
8882.240869966345	179928.32390809027
8906.447019954443	327497.2969657466
8975.565487357515	241316.14381484367
9086.82519416658	112024.28214726898
9203.089503934552	771621.2403875608
9326.034928589193	2348512.6783723007
9487.62451357629	403419.6494682849
9573.491937520303	625195.4070358942
9600.386452691744	135895.15872305675
9997.972717434306	322705.62520408165
10056.138821213644	2288197.0495913276
10324.625213225594	117382.68519538538
10503.991507537945	12770.643436340586
10769.47194381815	1263076.38168958
10881.44501838757	99186.1000572751
11050.253768329236	118274.07338775118
11163.831972979622	5828.037306613603
11287.397461598643	669691.4002980283
11480.694154940893	7178.521706526441
11575.939169694913	1169199.8853812336
11946.084358545506	4247.964268754523
12087.586945741527	18717.264447277572
12304.233188578672	8955308.114977092
12422.059076148636	120835.693427616
12461.905959782618	141902.55178974554
12613.332884629788	2005193.095867571
13139.944933301414	163219.06990879658
13312.910411342622	296727.1249376696
13425.022703601544	101778.68812367634
14001.869669203834	14566.133461862944
14124.509871626771	7179.9351050055175
15080.428069342779	760.7488577201871
15352.971956537245	106591.23549385801
15957.291904015023	4067.6052099808235
