m/z	Intensity
2003.6244185955259	65355.76495226886
2007.6548858089475	219299.1175538392
2015.1892599329067	11709.410359250905
2023.3449324101543	134915.6822648716
2029.1515390734253	22172.71707210353
2033.883988940292	67266.03882719146
2043.3654251447401	4400.851222857951
2100.510823921779	59863.521910861105
2135.7863166612933	841358.7807524132
2147.864972786524	7348.750547052807
2263.4544493728663	17649.24547317995
2325.7476191516917	15205.122431250555
2427.3824503193982	111839.54520611852
2478.1934833185333	16009.612564414358
2588.5630590059454	3691463.1613429687
2609.438840093226	38089.65154386902
2692.457075395662	19103.404787697735
2774.4046076755476	229700.79337704604
2789.594584066559	55986.227237732535
2808.878853298226	2144962.594197173
2820.497231300411	25418.212838458207
2830.303927156725	187380.05584945704
2848.6873176482454	16562.163823212897
2877.500326156617	48623.782443429234
2886.680190129069	4879.56676772894
2990.1817880272743	60768.72280514291
3049.3630308664015	1605746.606631181
3066.4496693387996	81086.72107881507
3107.786159237561	14938.246193654732
3190.950461914551	147678.4397464941
3200.956446755299	7412.523580208728
3323.5469826540025	109643.36477198996
3331.160929591639	80234.22363889376
3352.4915865407606	234774.81536835118
3364.8353943507873	19349.666303387065
3475.270137319974	1793478.4223383218
3494.1300489233254	44046.1137902727
3638.2465653271342	2756215.2754789
3657.2709107288806	81122.6573412151
3719.396909426098	3158629.374433102
3762.1475395121042	168378.1111746869
3909.383206410798	156803.4159260115
3931.829871640132	54402.98396903423
3941.9000390664432	11002.713876891228
3953.30331577661	147254.81484385362
4144.076645517898	192203.243026976
4162.3463409998985	7564274.059743619
4269.769452531064	23675261.46165355
4288.117395123242	1394680.1046817987
4308.768929243153	227794.45712562726
4457.02161444428	1277182.1346998415
4474.864048850991	15106.190731153129
4487.7165941092735	4609019.674021497
4601.166043287717	502026.67936521355
4662.312917684202	1442224.3494161381
4697.611444928135	530700.0012704289
4785.610014380887	5598055.941570371
4998.568646346521	1548903.5151133959
5027.880612053271	3399725.193944825
5137.703541222299	916931.153370784
5176.697069901686	36451545.467801005
5198.087388170406	2052332.9499908946
5214.646476526334	462043.74721596966
5390.051727319791	935636.7833631189
5643.715818977271	1880817.0179197984
5752.296579926721	4933011.785863057
5770.626890488487	103205.98743729963
5793.09557243891	711343.7419218429
6093.375645919505	14750918.63428553
6114.234859051509	698701.8683384764
6209.842524998807	225330.23909827162
6313.340747394266	939710.2948635136
6571.0857368447905	611199.1855561136
6645.342390465697	1966062.2371218866
6718.663770256775	70601.63448137739
6730.471900211816	100647.78597782721
6739.704215352693	66875.91497061326
6950.917369772555	7884687.937871962
6996.135291452039	264038.7542516815
7073.884668823819	13371.609861531168
7273.463393199031	17035118.084531765
7438.643736794004	18903370.711705152
7684.105264727836	120928.90391684194
7757.384497483777	92976.57802105081
7986.009454788638	142944.67017834968
8324.083804153355	21184065.500836145
8488.285012317703	810421.2837606228
8909.909863249573	4100321.884671148
8973.31032902133	6422921.835549859
9209.860832140403	463948.542216131
9322.916604837827	2991249.3085954143
9394.308315457152	382176.9976075995
9570.016668152202	7037864.5099983495
10004.779294276635	1493600.7125023857
10056.155743005866	2362631.050147515
10776.002426323645	561079.0928164483
11287.830040697856	689669.3246396766
11583.604922585508	457203.8112512683
12083.8541849188	10272.851238512461
12430.084043721383	49719.15528245898
12620.614931399361	1130941.7818260712
13153.380293743787	10578.969909889209
13435.278598275961	7787.0785202839415
