m/z	Intensity
2002.162067631486	39662.717560398894
2008.407522047271	325577.9108567321
2023.3553440016467	352388.49516881106
2086.5769660447054	381927.17577457515
2094.530894425053	23302.581330475627
2099.612857364152	307119.7423046302
2106.6278186399113	531923.7878137608
2166.8669603845296	39273.72507176942
2170.079348588471	34650.17482991042
2184.2841772517454	12923746.04317992
2202.897156244986	141887.9144056774
2261.919373512784	17787.521459054613
2388.3838302549675	254407.848775706
2426.20347981754	9152.409408689811
2532.0034756872456	14341.19787859213
2549.7679745749588	300870.13280977577
2594.3363313157392	44678.373990551285
2625.133838891162	107254.06719915474
2672.833678394053	336019.0665475545
2692.2517373620426	11907319.22314079
2705.8861956883356	449334.75957833923
2790.871574229402	404164.7528872486
2803.5619932342393	191471.4872916642
2819.7840276068305	15885.916236702222
2836.6119334876503	2328926.6271067113
2851.6476930737754	27154.626874775124
2875.803660331841	56942.96960759916
2951.8967827612496	2631.313846154675
2960.2134538035093	624036.5209078753
2999.3435344054487	95968.46172131444
3008.0557215746785	9982.259938618261
3129.0875977597198	13574740.348941728
3141.095140334599	286158.9876391409
3149.5056858326957	164396.71813252545
3159.3602989299984	10950035.076091008
3178.7774881310143	221200.7308086598
3186.137757186046	443859.22957359935
3207.1654654329895	93644.82244986016
3365.946609730911	8152.784060065487
3380.9281926608032	116561.05553463608
3434.76819174898	491591.891426132
3561.243351824913	38623.08443641764
3581.0489911157333	2694651.2362388573
3599.469838915268	34621.058472835706
3638.35266882493	1918947.4203764035
3652.2058601734825	176810.99255673762
3665.63137978679	16955.725934729973
3673.9893874523336	3320.4080649446287
3817.4390682166054	30425.27395586014
3937.149685441864	5369415.678045165
4185.704413205765	3739939.2959097866
4199.104380156309	217126.64705519893
4366.032321746504	74825320.0990138
4381.802094046632	2708991.2972644875
4403.768303156076	712808.1481662788
4439.468117503353	3442972.105811489
4498.215151972351	631173.6891593765
4614.32055322301	214333.39061503595
4627.573178663913	24297.604377605625
4778.54485560131	12362806.274704605
5070.23039887784	385426.5735291121
5097.711076884335	866126.273942239
5151.172972452109	2971854.504879454
5341.033755382403	551606.5675023478
5382.322397769773	31324330.010219894
5398.948482708753	1120930.3168347173
5726.522689297836	203103.34285889773
5760.846456259407	4967.45184167284
5924.650018835546	8656.121118569743
6256.298756071107	42840989.47045957
6280.757998830072	1659484.4816901262
6296.812997226492	1011431.4944796922
6317.059555071382	14542704.788522847
6412.413504599548	205369.53892214908
6826.596804131081	2895.586569089948
6859.8442231332765	5001.616872260964
7159.659674553734	5979412.130536125
7275.086699676345	4069090.9885655744
7872.319714180142	6387051.445289793
8370.14013343251	5190684.642426945
8876.721346683513	8988512.581471432
8994.950468271121	1632736.6363764186
9227.70368854791	380383.0078949565
9554.829115057519	27714858.610146962
10139.310047376508	310605.4463389753
10300.618129371296	3082644.092824398
11450.330188526945	10572.940492423631
