m/z	Intensity
2005.2476765643999	138514.37345500596
2020.9981831433133	394405.1848261974
2030.1130416514338	616849.5152472672
2045.2822000890333	42224.3928756884
2089.6194817327337	1136948.9281821544
2111.552772794903	330391.6966383893
2133.739164911822	584995.6245510506
2143.79907285113	44901.09337468443
2217.635227720917	1254436.85343377
2228.882213117679	62668.90822826102
2233.630028308676	505509.1444218383
2278.019484296927	35595.14698482615
2297.1772364241533	44097.90392642153
2313.23938520883	249712.34041144207
2324.1473231286304	192619.22929121082
2335.3708989452684	2678.1406339470796
2353.2393018624575	352514.2227356327
2370.00712979108	860414.4665042881
2387.0543652949495	252467.94926180723
2472.3862942407554	325755.7702259294
2479.4030794175815	29010.160464706445
2488.898995619473	1100073.166624567
2503.289486837503	280167.73108112294
2510.049309336954	8571.81478204021
2527.1395706987564	357416.0656837018
2541.1862654573965	111469.25303991084
2571.1457343578013	107573.71265827162
2588.5187141757033	742584.9217874036
2598.832919015721	96951.65879555001
2693.829287773636	54449.8803730109
2743.8132815246468	26827.62078917987
2775.177937222078	60699.61559634064
2783.482248020299	194521.71967162893
2806.8797981603993	1571142.522584581
2829.0186396883682	179553.38954143738
2875.1658088174254	538184.84877506
2885.7131949316645	21746.346706503784
2941.3427694060633	11025.755857976364
3029.208514853521	5269.763223966188
3046.406888949518	416561.627141245
3055.3560156551825	29447.737251323808
3106.733726917233	343208.8868824098
3126.3309931721424	29331.42798153109
3164.1912235000163	10119.467092171773
3189.5579705005175	50032.93089031148
3210.944303114592	53562.52478704543
3322.059924510846	95952.19708441588
3332.7904266418914	22410.59777917102
3352.6527229928915	26631.79165002642
3475.5416407223497	301145.23596038966
3636.1972446609175	140954.99217867013
3654.040171350029	3032.5239818799105
3707.0088798168576	84176.90015994138
3718.800971298453	392868.86715604237
3729.9704109339723	35449.33640543029
3911.709833673516	11187.97713157867
3966.12978757245	22080.621785877833
4139.942288650055	48927.33067346143
4162.1728883247815	1009871.6215849213
4244.845953610302	1608540.436039472
4266.964082681957	6957628.730795346
4286.978474108919	287396.9619000306
4361.755946677122	32066.522444846356
4487.788329236226	178574.89072235543
4663.130145725015	3043590.0242742957
4786.041867155005	910361.371409084
4998.7248229616525	67089.20487957679
5010.717403903836	27647.21677383154
5028.573642758211	330129.78947967064
5050.512140629368	7517.70526226284
5136.055488190849	8788.44679021104
5177.747114813997	4705221.198106994
5199.142884788986	183536.78029623698
5218.415122083507	6010.711057753932
5437.73983347231	1463.9948523863304
5750.649645997512	45193875.23221824
5772.5129721163075	3499642.8232722245
5789.508411207657	1019563.4283204634
6046.271300012682	109995.56186263775
6093.841424676127	6405350.431931638
6114.939257331622	427479.1427491494
6131.726300940363	69140.35775244402
6308.843315416525	59625.77180546777
6331.145331961545	845821.3600592933
6352.769251945075	139311.64159159074
6376.705959162276	208428.66079509372
6645.9153089423435	747045.4992231501
6684.617873108604	1949.7274161009564
6952.551381159537	2259837.277786139
6973.582084082286	109131.86483445056
6990.128488254253	3748.7479085368823
7047.94341722004	8752.30687049012
7273.777457959943	601665.2690967954
7318.242225717843	22754.667457827367
7438.857436858456	2374746.4251027247
7459.833226195661	113640.03182181841
7932.379235695845	210275.20896111507
8325.133883085025	2878555.4420069656
8490.61476535068	9927895.245778542
8511.916098059944	328718.4611600437
8724.014995582136	340363.88689123746
8975.923282037267	201342.6451118155
9326.503363506132	13323496.955784276
9572.661327506583	1548072.777446361
10011.152913897306	21304.088287948667
10056.685466770605	49636.078067250084
12085.584756395094	8928.793539870423
