m/z	Intensity
2002.7198313177312	79206.24667149957
2013.810807522749	73025.16146866095
2040.6218610846875	6881.044452288019
2061.9531524070494	135857.15999188347
2069.0427447298134	11533.087608713557
2086.6144013889557	247826.24345134804
2107.3577605892847	802419.2669437005
2121.3588049782056	183327.8083075714
2138.59580353349	49940.98615392606
2161.4777520529165	17952.65414575604
2177.8265505649433	18849.845916735794
2190.5146652406124	376771.9458309907
2262.3490398594754	16709.97224404483
2277.8571039680887	402341.20466801553
2292.843520247391	523751.9211335118
2309.680875749782	16330.322710499886
2323.6867529777714	30895.280906931162
2329.909087943335	5670.6754850967
2339.2581902113093	33046.6030611911
2356.99295407509	14611.160996649603
2417.60035433323	166413.32104105
2433.112870267018	1024320.875314989
2449.1945870181025	234139.83378906222
2456.3259800102496	52564.38423589707
2469.054453999785	71880.42692864929
2486.8248588081524	19939.71933902349
2517.7376988800984	5572.804636010016
2811.142838843812	25860.098948915118
2829.6234852553785	101621.67591524363
2966.8893576160813	11967.47396609604
2983.3339448187126	230487.53829529748
2997.442015051793	6284.67736923774
3020.479825911566	5751.230364143514
3111.3373087211553	52364.80720305635
3309.677891828386	121685.87256680384
3320.9917448875617	252138.44031902423
3337.3488023596906	1342988.5508480323
3353.3985953075644	170498.79971809327
3483.5370593624034	264979.85374992946
3699.1553740211502	1106560.5215749852
3833.9183243506627	185719.45153738285
3848.885720356673	12702.77509763782
3872.651510189969	3039.637674954127
4433.359229481932	16326.316188354007
4722.252740690659	8302.09284093773
4887.562801316222	6849.169773298259
5005.608679310377	4622.745323805062
5026.111116020273	4343.54936527983
5548.6025404596185	1493678.7802359397
5555.420127409827	525222.6780343808
6030.233636931877	17857.360298069892
6219.575549478778	238345.86481508712
6517.368225124772	2679.985084280367
6616.674999295127	108936.9274654141
6641.343979748167	15434.07182891505
6681.375714367686	32515.013738693462
6964.715520960988	699574.6347870892
7659.7023558197725	26809.84179582595
7825.470911594816	4982.935353827992
7890.622972127632	4396.6341090942315
11093.953347673778	9854913.44956124
