m/z	Intensity
2030.8250369182656	2609.5483170499233
2133.711014543961	34915.56409955003
2588.201814095163	639759.5072495351
2773.5142239369056	37309.07404734544
2780.946053232069	1903.8135952126772
2806.082021927626	205498.58790956
2828.2186262898604	26659.850890955033
2874.0394608392494	264824.54262500297
2990.3665081340964	9320.584331403317
3045.337342456593	1226269.1246736236
3055.44614059546	61162.54267881388
3190.0792372974875	36636.97055025815
3320.522233105994	5468.63285632383
3332.2032442724512	6389.644108784461
3350.5881513434247	15753.09132678933
3474.5057139970277	729411.1976793155
3636.2297749036366	605734.1386128785
3718.1968605368556	1175437.7587226422
3761.5009830319023	19207.15949711
4142.508334015542	120859.83979376433
4160.778125405944	6358342.817615617
4244.711352923573	4140468.7866862086
4265.850115415659	6899930.887092049
4286.255584949906	140328.08653452908
4452.853734337006	138321.46190171334
4464.774896403131	67525.95505674621
4487.35846040563	2131734.901627267
4601.334386106156	27615.828541227213
4661.674796706479	385772.146816985
4785.402716002345	3513080.931267252
4998.080377502073	773164.13508698
5027.396611309373	1376722.0088976831
5134.870342313761	532838.9036041138
5176.3429911102885	31502174.51740703
5197.844895895807	819699.3115914165
5383.676250029673	13806.25072533455
5643.438718659859	1043273.6687749007
5749.193808721157	19972602.2638279
5771.055260744527	433406.4266451005
5787.592707014067	93760.15577497869
6051.207673637264	109799.50663359676
6091.771464039865	20536854.7517817
6113.687677850987	827378.0142997752
6303.529558207728	14854.434799415221
6571.460040971033	37886.06125998846
6644.143427450786	113162.36305680814
6950.501553577037	6498091.695464409
7272.077834365077	7002778.657504645
7436.886635438022	17042389.828305203
8322.401741557122	20785683.520339124
8489.935751588853	24636400.30410312
8907.860458254012	223539.8838504737
8975.103036296534	4115710.7090341942
9201.071050689245	7744.773458322338
9324.812415113644	742321.0853008904
9571.398613009736	4748451.398150468
9998.325402992581	502074.8238597357
10056.012937824677	569957.9562256911
11286.490230407953	39575.976965867885
