m/z	Intensity
2003.0939378767962	60689.96136139178
2021.2569141115907	11075.869902331762
2026.2492274246044	9978.075208061076
2038.0121719237368	9493.803115259874
2063.683469858747	35822.94963912366
2076.1010280713635	18625.36217386328
2098.5052770071015	74415.18438845022
2146.661186841124	810181.0330326463
2159.0468218771853	44200.73037932432
2282.4261168234702	7663360.19083011
2301.5955858109096	160009.9253618752
2347.7985797127003	393338.7018606509
2433.3636765971573	2754.285077333096
2445.06603078584	222160.13861197187
2517.2238083087045	5726.925714107834
2530.4835729853176	2664.519044167367
2593.2557676734123	50261.42880884928
2618.7488158868114	2670671.8481521634
2628.119821352734	49389.68897334794
2651.929459856031	1324754.2237849745
2671.349003936547	10765.506372056523
2694.341173227275	39175.14207615068
2704.7041939705246	23019.782620105467
2724.941896565298	101801.26237558393
2787.136731505994	66605.50327182688
2802.0409036359883	90829.14919144246
2823.116938416456	993839.7920796716
2841.553297547933	248042.88000230963
2902.875566742074	7658.097783048016
2944.717518279974	122815.13148640108
2953.6760300985493	7079.678138845446
2997.523094444764	5334684.2810773365
3012.484934775813	250283.53746472773
3034.0062083517787	15811.426588929688
3044.5886978001718	4228.385721322966
3199.0872033306105	405993.34468117444
3219.1363240325927	418321.35556946305
3238.0532565810563	5009907.134745784
3383.4411265782674	24885.84956565366
3396.8006279158776	475062.5549929047
3435.3668089329108	1104449.533739662
3453.673875659809	28555.18955834367
3479.6331904554063	12575.830797618997
3492.383418580329	3860.4877875185275
3555.2323548030254	2943.795016422827
3584.8015554396397	143051.5992964398
3594.505344646078	881.8330760447268
3682.6116756048177	6935.396148512494
3776.3912379043877	944511.9977931776
3878.9116084874713	6572.667834501308
3906.3260449300533	2410481.7773455787
3923.0276861814286	347638.9345968062
3938.1649134414142	32949.754889384225
4007.8297927026433	10365.01120451003
4045.513927885502	246264.04632861598
4066.334491773735	57125.99627395333
4082.9910893814517	83492.55686487898
4199.179908202117	3911.132794265998
4291.811154260076	18565160.499258254
4307.446369363665	272429.30935469107
4329.324225205568	210058.61839917555
4462.857114483805	942226.2343548606
4564.413757398223	175257994.75618947
4585.004354383011	4578186.215252261
4602.995548411279	11498479.404131934
4696.459880891063	16697387.212048713
4711.88840004867	789537.0700200124
4735.181812611194	845633.5218415154
4828.6171734458285	241621.97985077286
4845.72247684725	1514.2473803312873
4890.505605196168	2144697.3622508696
5085.805286514838	6261.38669424512
5101.752970679888	20292.776989967115
5237.502220025856	36963608.86063921
5257.7084253104285	1747443.6822441998
5275.447998043392	1090451.6966348384
5303.806084346105	4967193.755589047
5888.426885167638	78627.37445526487
6348.051513996414	5909.056242593122
6397.494523300157	787447.4934265149
6437.259220615924	741255.3162487261
6476.181606648075	28005519.121176526
6500.220057051787	297890.1568388184
6512.679558153165	221638.74687699357
6792.772833531809	510237.08386966883
6828.415982089414	1016.1873354752586
6870.11753720361	729651.4148525785
7168.503055768572	12029.223645070771
7551.740230597154	77331.21778581571
8089.032871787788	2179.880634292846
9033.623697053366	15318.521062694897
9653.82679730597	56264.634997940826
