m/z	Intensity
2000.2679540884928	197430.9367793018
2005.7798596747884	132208.920976447
2013.6575380141999	21203.67586746109
2017.2311400358628	97132.71916483491
2021.1455049444992	15193.180592810084
2026.145203183595	113998.23590031215
2030.6772844992493	31243.75983941021
2093.7645316462463	293567.2326430958
2128.614004940326	2845505.3176612523
2312.7341465883214	75643.45970149976
2419.6112823499957	84686.54222664621
2473.693668492847	53484.18188912416
2569.8523274114045	16349.84113584791
2576.0994004330664	72005.49293362017
2583.6517035209026	6819229.207982081
2602.4658936648298	86108.37090616413
2685.87237887065	37055.979390383494
2769.171600144548	304282.41355476715
2801.7502780170175	3548196.702345261
2814.8829057690887	18726.314316840304
2824.2137392290947	582597.5839088238
2869.4901937698296	3827518.5462755864
2880.926024696761	108191.37019066184
2986.67740615414	146932.55947438668
3041.096076820294	4040999.3025970384
3050.6283787284315	96335.25542861437
3103.364498746708	92802.62900806814
3138.772982094817	147385.43718775315
3158.662455248104	58367.75370459529
3184.5448783388306	799233.5825350537
3316.751984090297	556454.3946617008
3326.7932338348173	141254.64792733116
3346.921263270915	215545.07535734237
3449.4422546670066	64736.27263498901
3470.291298974605	4954676.99864801
3610.769942203588	25532.797049365217
3614.9226130530988	12811.047024130745
3631.647671714729	5140602.724195052
3713.655031287036	6227953.324856061
3737.6736231757304	179086.51466967748
3756.336680939327	121803.35501891818
3900.370159952044	18223.98783503926
4156.963637595833	11336829.97430759
4240.169949319819	11926475.756042903
4261.909228915036	27450683.011803746
4282.033153050384	1226723.03949815
4356.061184990832	703502.346419958
4374.518315935832	9835.251543804687
4448.536688824019	469578.44474376325
4460.665958288719	254431.93754526455
4483.16372406668	4334571.718657965
4658.005055209722	8270587.511464341
4693.4363930731615	613465.6548553075
4781.40766506946	10186462.095783817
4994.236595857861	1663909.936516839
5013.041061881425	31108.220532021565
5024.000037666112	1786815.9935272199
5131.772996463891	681290.7492204108
5172.955308484667	36013834.81286638
5193.283474591708	448381.19873534946
5383.208790928208	7180.392778091011
5437.672449988917	167721.61070410337
5466.061913445753	177843.06334864293
5640.206623135974	873031.0009103086
5745.708197659994	52404544.67462468
5767.929558206644	1218590.8669005863
5782.653413150285	609093.4385726838
6041.316013369719	447310.0578678943
6089.038825977084	15908573.325338168
6111.561585586955	443977.38856665697
6301.821954042296	468435.63029184076
6326.4068396297735	1437517.0603067537
6351.159280785381	110009.54626603433
6372.842323776483	252712.42362238865
6502.626477247513	14457.45627152423
6567.3397056196845	56854.27995641613
6640.938157800314	1580642.5777439803
6664.949020757516	31928.702460912453
6948.068583085544	10017105.048422538
7270.591290397071	8962563.954982305
7434.9201791066325	16261099.33326105
7806.994547933699	33060.01581865318
7851.647053574316	6036.2559574896
7929.961585240297	142728.37965777933
8322.156369098346	17129361.42874554
8488.076306995612	50669753.62243634
8721.292072129027	2966672.3556793216
8907.135032442393	343131.7348202987
8930.538645772756	238039.54317486222
8973.880710657379	3103537.535641262
9324.539390821616	17169995.677957285
9571.104264980415	7864887.401809595
9997.904021624317	820977.4813153542
10055.504007565904	881843.5606840218
10881.625643871797	10341.412210355264
11289.114872427097	336614.2070022209
12089.874513762228	223261.0988320207
