m/z	Intensity
2002.1676736445472	34987.10130425361
2008.41617008216	14724.453722911836
2011.5777155384153	5454.48059893328
2015.0111415268996	47866.63977724126
2020.8074710665257	16497.019946518998
2024.6538116826719	11472.008061104414
2028.9768681786745	17366.123867477327
2035.1993390807625	18451.999697568048
2039.6013933353443	10483.550567270335
2062.909454364279	30392.017586276852
2074.3056269751587	15675.245297637775
2080.1181291145335	15232.757945687212
2100.3540196269882	77401.6086580471
2104.6882758936754	23715.640917250043
2123.7291032644766	2951.280529184679
2128.225830369364	13101.497977375831
2135.1531581352347	13605.27521619148
2151.0591400222224	4771.912580369328
2170.5178093375434	6048.861788056054
2178.4938776682593	13484.946435996899
2185.8531977932334	250571.82713063422
2231.8288451433664	3343.9390940927196
2246.9521883985694	8012.177320742897
2258.6312489854095	4196.726614813592
2264.5535308592584	41971.887528013
2285.8088272682694	17576.06177833439
2310.840347326367	16689.49637195441
2317.6973496799387	6298.943660971315
2360.874892311889	8889.26508904851
2368.681866805173	9598.027445469068
2385.140442508148	15450.313318741288
2388.2190211208626	22655.230218272205
2418.966421889424	28494.70894931364
2486.1357787536367	10781.902706428911
2581.8249491321862	6585.398482750776
2596.6361596610996	9127.487326358372
2644.2549860035547	22499.25647376215
2666.211969587231	15356.390493786821
2675.982522048024	111626.57590697524
2693.863738891585	2194002.6913025575
2706.025757652718	25436.097718594683
2773.4855122972745	43693.427383837145
2785.82575599144	11241.326891619343
2791.3719481961307	273387.3710503123
2801.9249082030515	25124.240448406406
2821.735485267726	7567.3920077035955
2861.405481152204	362064.3398571743
2870.96426889511	6028.804572981014
2877.882222394046	18159.0721598011
2953.2244205592565	42610.86438777041
2959.9958281913146	73921.79614660237
2968.000966993007	10556.186420254751
3138.9422522046125	38394.583847161426
3148.869309780919	2762088.202496138
3182.467676642427	146487.28598983304
3194.0741934583716	17397.661141044322
3428.9714843370834	366850.0535272732
3440.666675490847	97496.91175902297
3570.2692555712756	20263.74344521729
3582.5619845283272	3686644.51508162
3624.5333519651367	3984189.1822339287
3818.2833164298	9253.383192094292
3854.9925374390864	540676.0103844448
3873.3663156157504	2245250.7940237885
3958.7126504443086	32907.28951960243
4157.019836711476	7734378.852885252
4186.577134476319	8954239.967775593
4369.8879341842085	21815683.207277756
4385.970417323148	247899.58258951418
4421.4159537191845	85767.45776787226
4439.892011736967	3225794.1157555003
4450.695843782297	340795.55206014414
4498.670446639404	102941.50821957763
4549.128290841324	28111.703215308393
4571.418888524197	613988.0424942916
4599.053487992863	60118.070531415724
4740.8513891958055	11614033.531576216
4772.516198269879	12264686.326490978
4928.733766079657	211599.36559850938
5041.766655630604	675296.3909783985
5144.990097794584	13794027.030339615
5285.957328830825	903557.0602872549
5346.234124629782	1426103.8315098598
5386.021219796365	43775395.9755902
5611.757083317612	375840.27006412053
5695.12555480182	46327.18544437348
5726.533017684944	2208229.4161917795
5920.138849266209	82645.20031246422
5940.589997824858	2491771.6036026045
6027.405716250092	102038.8721868974
6160.1054024919495	722900.4640753154
6295.559445020776	51455148.74944647
6387.559866603519	764669.8495149402
6508.158115787633	84628.7312921467
6543.671480851087	15104.502416420532
6598.646118285786	65260.41437709482
6686.323178255825	34172.077448042124
6844.780789207074	29047.646122732196
6861.921720131363	38842.74718273488
7162.310091739188	39972858.32393997
7204.9110755040965	404754.59092913475
7247.510645748041	39478644.82218366
7389.083293774721	217839.21761821822
7708.709047301174	4936418.540741816
7744.450034833683	8984921.651918791
8058.116908361605	17894.18763167636
8312.22031423348	49860416.04493876
8371.419724260197	9446599.215378758
8878.28856470117	20464632.991878215
8997.012602025043	85806.13344884494
9096.337013631175	305570.92687477235
9141.325648661581	1679199.897869771
9197.501664984075	600520.9453361329
9480.524677499012	30817317.377734847
9542.861094123386	17425750.312666338
9856.713392934867	303240.61447266245
10032.969374789689	4038.257322358482
10080.064042536751	187312.22201518097
10288.10361828074	13293208.731401742
11221.950365642308	81461.74038795155
11452.154100950675	512015.0283346952
11877.348411399973	1256925.3665515347
12238.980387562004	2819.7869321895782
12764.37527015263	2240.7128767932245
