m/z	Intensity
2003.0266421524118	27154.475082012592
2014.7317534250615	12131.455386335143
2017.562234192077	43739.63259836497
2024.106890140388	201508.8565453821
2030.6621438264756	84975.09974324849
2036.279692187394	88425.20481671442
2043.1938123764542	142363.62972416845
2054.6753531671466	49108.58265048438
2070.216218436312	11071.485024021264
2134.5597925242478	468289.80116017826
2170.7006203058754	126621.67702879477
2180.8519907544405	8346.428526812
2250.010953936226	16827.049706858816
2479.934218062976	32467.505630822296
2577.670720689869	17196.515973626534
2590.1829150740764	1736210.1911857997
2600.199175522139	205664.8539376086
2608.3947375817165	104087.93583930751
2773.9072330368836	3962.9595184494665
2808.161457652762	782414.5201886381
2830.954668908089	17198.546472913265
2877.1394983776354	164007.7673788429
2881.5690529595613	169435.35594015347
3048.023543161666	992498.3170553279
3055.48574658069	10980.776558098842
3059.2202695494752	36933.891350116224
3068.275567449692	53254.18681593724
3192.38304818707	46061.65275463448
3217.4487201593656	644376.8700594732
3241.757800378422	249567.80531475454
3255.188198889854	17017.105992536774
3262.0423917628673	16760.824044646222
3478.009310887785	895249.12078327
3487.575463270215	31931.94175289623
3518.489100418779	89790.32984066133
3632.3728874109797	31534.316238805288
3638.6171430645545	128573.07841160847
3719.0904565013025	611718.9488903647
3732.007524241259	94657.49625574783
3761.0377421865173	37704.78573859274
3824.910251694894	37098.70577390556
4140.355823445682	14643.926827406063
4146.828935584352	6596.775620979688
4164.9224308647845	912079.9232281843
4181.502295753562	27086.449009777058
4248.738078768101	1844014.8340397559
4269.11144802835	14375601.382222014
4288.943765704711	1517351.2687341939
4491.70570806752	124788.87288183445
4666.386864674699	883393.5854560867
4684.654596897462	21372.414190760865
4789.192053192958	1199924.9651080817
4799.896412297029	142700.65558697016
4823.217046297493	55801.23157685928
5141.747282220137	580390.1359446888
5180.996682668985	26256977.74514485
5202.192788785075	1603746.8763377625
5214.974576398278	211106.65355313243
5428.248909219429	16293.637113812292
5443.519784550371	27240.129433581005
5754.0110359056835	32310899.407646652
5774.636438349013	3387419.5083592837
6095.357074764001	11468573.476381285
6118.697978377615	274231.0050646209
6333.4008199655045	207994.0579363344
6352.646078863349	18847.053887243605
6361.860653776854	9487.28691523612
6370.602716188317	40769.55316226576
6644.3390897887275	18707.685920757838
6955.8418681572675	4923700.854713882
7275.376451024212	218500.2504916202
7440.03519768444	3684367.1768882875
7934.100160688397	107815.92307397697
8326.811127016745	1321458.9623805557
8496.537222399917	12430034.454891142
8728.86746037159	28167.897941185394
8758.620700750089	2140.727692433584
8977.836470177566	140799.8165054142
9008.865410973878	6957.03794044905
9330.215752284119	1730437.1494321325
9571.693336795433	2021386.3772345067
10072.33731212754	3726.3339359742167
12092.851726178875	18608.21037871436
