m/z	Intensity
2002.8251289324933	342808.42621041916
2012.1052289105116	140450.21149909147
2020.1923168162705	2582406.895596385
2028.0928436722647	64287.180696748874
2035.805623441948	4363847.658990477
2044.0080086979522	209158.11206903314
2059.7129003224713	2229761.255907367
2067.417271329141	1338593.0683702219
2074.9309160788735	228108.36795081623
2080.061669668192	441310.19334077183
2090.6166778003176	373905.6983236872
2111.8758041566634	406657.5621512332
2119.4697344573283	6186276.185543812
2131.5097810994853	3383234.053488412
2142.055429206044	78196.51447827766
2166.9261617594407	7274326.2905341955
2177.208775791899	40719.64555680047
2182.1839251689603	219641.19723582966
2189.9733527689245	2968927.2693484165
2206.7217863909823	5905312.498689214
2222.684817460117	746021.6988003476
2233.3824420593437	298430.64373300155
2250.7229482373164	19702.983650603182
2312.520171794582	94175.70519552662
2367.626162674397	37409.121301523635
2470.3017560240496	29262.615521380998
2533.2855692878593	364669.03793984314
2568.6867842959564	223797.50300115062
2586.670340248922	11172630.850703996
2597.0622372836806	306688.205959427
2608.3947375817165	363798.2767211494
2632.3656995395163	5634058.019104589
2648.3300139079793	2655149.5075155147
2675.5102396708453	337674.65383917536
2692.22762809516	90661.34910052027
2804.6629869993662	5845703.283415638
2826.9631963565917	213016.5619484529
2842.3058052280553	17175.54337261407
2856.08548463846	25558.893474339307
2865.9599923377477	39271.700828972025
2872.391582254676	443037.8419280789
2883.341828802736	24082.00994810371
2919.479475408099	12490.557638463331
3022.3077182055	30987.57054822411
3043.964623719441	6548680.862603558
3053.163194520105	190584.72338584153
3064.0370190883195	88198.21885116886
3187.890111182117	347730.66354571085
3195.6911922984045	23127.085059928173
3355.540357043913	16375.315723777845
3453.004765104163	283094.7251835306
3473.0542558821076	6639287.719588704
3483.1450558253637	74283.6911366764
3493.339202646146	89379.52025933412
3634.1822646790833	119176.41002924541
3715.9790534411845	2006306.1138570015
3743.8448822870064	47742.63745725439
3756.8048298098465	12872.761435102657
3865.9551798628904	14561.018358155427
3962.8619914921087	48831.11323179219
4139.486686128044	119853.54944910486
4158.531993876422	4147076.8411198743
4264.111545299765	78040081.57800394
4284.718184319195	4331728.057855677
4302.125213805999	71346.07624071452
4485.069210733246	238229.5595358304
4659.520052603549	1818032.1251203546
4669.668320235021	57059.02703673957
4783.065812798095	7575607.387570256
4793.347666665701	47743.17738479181
5132.925980579231	6258654.085243975
5174.084876314661	124624556.62559967
5195.375035872801	4911302.830543749
5209.556649918917	593289.9107843379
5716.955602913117	290151.932218854
5746.613128518342	37664635.43054221
5768.593135318627	1415925.8607599952
5784.449284837383	309875.21418701456
5939.46424468417	697217.6524994372
5958.796963203605	107892.05676210308
6048.575621182957	1263340.5250910257
6089.265294669607	69939911.99170123
6111.186490318956	4171545.23916572
6326.594279054585	6554.906281663774
6340.330530220433	10526.534599316896
6350.971419085248	2669.0069841242694
6359.825692673981	3269.569069784536
6640.669335234629	75972.5357790383
6712.90427401496	86163.20995072486
6947.207333240103	43319112.77647872
6968.490494698202	514396.4507551019
7268.848899431765	365854.31699599745
7432.916572736106	7878696.694324534
7454.801015797221	92057.34461970459
7488.402324540105	5470.754858273959
7716.890762284819	6446.51966887769
7732.720540064575	18660.676587799946
7748.302304287987	5600.954092451432
7926.882546809938	202049.30061383368
7949.615770292805	4295.939757499787
8317.63743105906	10568296.652911948
8485.334782379763	5603588.536565867
8915.797453030824	3466.10142913456
8968.595081291758	287877.7608932766
9319.055950155642	5536730.024612993
9342.687841389743	125214.85386795262
9566.26102952139	22690228.3185087
10352.321659183055	4167.781144777032
12076.68228389552	255901.23585167204
