m/z	Intensity
2002.3549708412677	279549.3366352568
2013.1152279055866	156932.12032427182
2021.1368669126653	867353.6236819194
2029.2420663736848	204465.31681262027
2036.2119647018803	2643051.192134745
2043.8722980476311	108219.82017548152
2061.0073197139145	746278.3117505321
2068.714108973641	797595.518924448
2074.999284452133	38473.05915886059
2079.78786953641	489729.09143856115
2110.841324150793	102789.39782802365
2120.022551930093	2781520.432758087
2132.341386139772	6740347.984609038
2167.4851335567046	4322332.264611958
2178.399491751046	25946.65751147461
2182.885106601238	316620.1828879536
2190.3947982549794	319782.16333772516
2207.779497169692	1800858.78873421
2223.5340204443946	596717.6277137023
2315.335891102156	638853.5941362382
2390.1730920644077	59581.74347335893
2408.258104944375	21955.111505308843
2423.6026792416837	199255.18191149252
2477.916570386284	684312.984195898
2485.393450702047	29227.273350827032
2566.78542127496	239663.3421881504
2587.3573956138025	18800886.620891225
2608.088129403813	484015.0902946657
2633.2898492207505	1021168.0421515226
2649.1024589037743	1230866.6014621558
2759.065945078463	14279.208888202245
2772.8796925508423	1870984.938078576
2805.3784058707497	4595672.75719887
2819.7856417090547	20932.512849298757
2827.761265598791	33554.99911357811
2873.678765267566	501095.0033934134
2920.0471790920988	47344.46416192287
2977.3419442381214	14043.846572061315
2990.870163713416	463728.16964260297
3024.205801186955	70925.87471334772
3044.958394759742	17090040.153220892
3062.3756429620867	47269.74082112736
3106.721646485447	393374.891036275
3188.907102858192	3189761.717413971
3321.113028099586	545279.2572876548
3331.7604497986513	222180.49128238193
3350.7602346126623	471058.40466490755
3454.9453476605827	259615.95365775854
3473.8503657870037	18934497.91899417
3635.630090879631	6591234.143993799
3654.2966081135773	34811.99890353717
3698.159390140399	205149.1797388923
3717.3515707583033	21982144.034423236
3735.033901478445	70974.19851752555
3743.6612143108205	59570.35679019506
3759.8412427409	74479.55123384285
3904.780286244406	28948.071871317705
3963.61789266262	79091.80086275194
4026.704221491117	30678.891962528673
4141.707996169496	325668.1287128374
4159.693526576346	32088354.89963222
4234.2713152624765	628484.3609559751
4265.091687483999	85741969.61460745
4284.423454033048	2379726.1680489206
4380.247827950349	68004.7935325868
4431.1547054592	22093.4132515842
4452.060463841705	155403.21538971836
4464.386850366598	387748.1035694481
4486.677608035657	10287654.437312959
4660.852023779302	13436966.098682098
4698.121623360318	81021.53589140462
4784.311510165638	47861993.92679498
4997.588673560828	3672173.285546716
5026.916166087244	2723760.03142117
5134.001343589444	4926036.10627154
5175.2725147035535	106366103.01935601
5195.5914037664215	1090720.5814523306
5209.989980413939	405455.66816621076
5440.641023159438	6329.525104900538
5622.1394754087705	90203.02718636446
5642.527372062295	1308158.1227855743
5716.388200098034	50744.67199522298
5747.86474755307	11135941.964507084
5770.303183093769	84931.62391939481
5782.965413128944	29171.86849304303
5939.926936623381	351715.78892090934
6044.374129880917	2728501.477129905
6090.553686469024	77028572.3183168
6111.186490318956	2021623.303097707
6341.64521305983	179324.40337301072
6355.63709184381	7513.385133473032
6569.919996823405	26175.10725990485
6642.748738354661	2533680.528976911
6669.442876635226	53456.33313806506
6714.25703054232	120698.15884109188
6948.83371968583	68002091.98335466
7271.2803899704595	15257258.830823956
7435.375348873442	68460036.78436613
7808.266104350515	5670.943057654652
7928.619820351673	183893.36155899745
7958.718174033291	3442.563279024298
8320.37531838281	61551626.286057666
8487.547024341004	2716419.9988089004
8764.802245133067	14502.406486452743
8973.144093420062	15265727.857942272
9322.243783613492	25434032.49993114
9569.050400111943	51840077.375214204
9995.361761779777	1948867.1424052545
10053.06574359644	816750.0433708262
11282.958862373589	229940.8406121508
12081.960912368391	706362.9334441082
12677.254819565347	2744.1245179099346
