m/z	Intensity
2002.2245135604824	207575.67613159944
2010.765581403299	144592.31011178342
2016.6944636841336	132443.1468602623
2020.9443652968046	46132.97987116646
2027.0910094213345	855723.5840280409
2041.7182150211677	32026.975533211895
2086.395359993739	1400872.8012097368
2105.159288870834	48905.02234461744
2108.1224367854643	181259.80629562517
2130.239230090366	1598546.9982917728
2139.9516186828264	44143.85843920399
2214.6289960920976	1490155.5212088567
2225.4523341499566	54060.42144678108
2230.980268072893	457946.8658238523
2236.3730556899413	38443.31131186453
2292.3838738755703	101708.68454022473
2309.3799268775406	649900.721029103
2320.0704952948895	194122.0884269181
2328.539295369141	176257.5452783608
2333.033289668036	16003.895733280466
2349.8879638543995	867570.9844742754
2366.6572201359454	1711317.418711527
2384.585704712595	93660.62596410498
2389.4269860022796	39173.76654728658
2468.897803274658	837961.7270095432
2475.168213898146	9442.462047514571
2485.6365706637353	2587594.257018158
2499.35351830466	846085.7109490588
2506.5643877826533	54271.10989782243
2523.882682940454	588774.0380088633
2566.9828387678062	321443.9665584947
2585.424260856701	3176096.39691622
2595.587528788803	283267.7620764167
2607.380430265539	64078.2152163054
2689.744699078656	87441.74991292138
2739.3379533350558	28995.25817342531
2771.2553185772686	157242.3783319396
2779.7978379543974	508378.09538931865
2803.437044366917	193880.2841733399
2825.899203091443	1483249.2740903653
2832.367669305499	44760.75699294061
2871.333754854832	2791141.303655094
2882.930385392904	327636.0705939969
2902.876252373049	66924.33143023767
2965.25169924322	63018.12144735207
2972.0413418772964	78042.32279638154
2988.5158981755735	93190.86847900582
3042.9316894004237	1038792.462431727
3054.039701633502	81287.02155934916
3070.1573094156256	20093.0729857732
3100.847463559427	1005979.4978557642
3115.244115675132	121447.00863538306
3122.538841286591	112200.16183085344
3137.0697928004884	47365.04915053019
3161.3348664857062	478582.7886022365
3171.0501621484486	14744.929784268108
3175.7018769332167	14025.2194217398
3185.6086834668627	226836.47917140136
3318.3087862438583	850227.9061380022
3328.3487968322906	214984.89834413445
3347.953063704924	171858.52132608983
3461.0439190039706	48376.827287469394
3471.828193819451	934739.6212223464
3481.8318719953686	82456.95228678081
3496.819982049543	16571.016675189996
3624.5694423458926	68773.26255229398
3633.2520254427664	1727355.519028583
3644.1198610877545	214735.22680970398
3705.828028599856	53697.075326238366
3715.24790550248	2155420.4233927703
3724.9546322606134	181188.16503968253
3736.0504309872786	79065.64284491164
3758.1074513029926	60407.3237558975
3831.449151314008	165732.2597418964
3854.158417854118	12054.079255551575
3865.1648399393557	20453.419797628383
3872.7291793650456	118428.58105995801
3881.7974392543774	63814.29383120687
3903.2480815587987	31495.825781444786
4097.617953524413	39746.91685770309
4137.502871940352	159912.5778723643
4158.873179901017	3210046.669573772
4241.188570197717	35685546.70960999
4252.048678856314	2764725.902071132
4262.922674093708	15253855.623833004
4283.434822678011	1683491.8699178975
4339.231662809044	1897469.0641415701
4357.547440340257	4939565.695768312
4376.8950176912995	303788.58480427053
4450.10554843229	404307.7485960643
4460.52781567482	448906.75390904426
4470.761495655356	58493.26417059511
4484.42464273039	1804859.2453970597
4494.081768142015	91089.5442284754
4597.6356078208555	69729.00465491714
