m/z	Intensity
2021.95426605783	120966.40414198212
2029.923942319574	49003.73121809946
2037.7738186851213	2678979.280621377
2061.95940380858	100190.60195174004
2069.666120994993	1651343.3210749617
2082.3828190164954	225106.50156736388
2093.55904382388	78563.93760641609
2108.966578900262	21480.654647267806
2113.655043280131	56888.9305599328
2122.2179975003105	397784.02214696014
2133.569781918607	3018973.969052522
2168.9946699307725	4152503.3821159997
2177.1087356150374	24222.184132729075
2184.8171019451347	277882.9976088632
2190.993602981943	270072.3615434421
2210.2102691998084	866226.6203973177
2224.907855736308	188912.62268923648
2269.0069398871046	44877.56189778783
2315.704524788663	104213.44423313215
2324.739360532328	6888.827074580098
2391.703539616522	41154.260138937425
2423.9535712814563	211835.95095995176
2478.4823786472166	219327.08874224106
2498.3932310204705	1624.5017168584543
2512.137550449703	93791.89821732095
2533.8443110809185	17309.04940607616
2539.134366123952	3787.8137854260017
2588.5960870443882	3136101.609559275
2609.4800917393986	391675.9812195091
2634.8365045258315	875663.3394092247
2651.1907582829954	362217.0177423323
2774.0377170295205	760871.2841637484
2806.773863504378	2985348.7385365064
2828.598234655395	85215.21968675888
2874.833254842411	312757.98089803476
2887.156017864713	2700.2219379403846
2968.345976558141	160182.29335866738
2990.952645091197	206345.57404832912
3023.538094435581	9186.969147695452
3046.0222959488274	6237619.763496688
3066.2628186905167	30734.873406306295
3107.4467995905297	313927.27695496764
3131.1638284899336	38857.005136800406
3189.7066907467733	797153.5140760747
3321.8969917214367	1021794.5816356812
3331.330500696846	245999.12188850355
3351.366826228512	479575.69287593855
3475.145831390751	5516274.4019603385
3588.573898891265	9797.373166254325
3636.5541707648476	7324008.5554325385
3655.8536410254824	29759.907100450968
3718.4492693852285	12176192.368038025
3761.579161201552	279568.3166996521
3875.6280300177987	10124.521500342196
3904.359495408945	5942.560633735957
3926.5183590366414	22748.016433040546
3949.8715105780757	35575.103980818945
3965.4472484605635	25875.153692702108
4140.734177055439	514747.3557518135
4161.51998083981	22282377.811630547
4235.314835070712	215789.7763710683
4266.817678346582	58195814.99065743
4287.327646099833	1026007.8795429121
4304.046662648613	28812.69232595127
4360.837409810414	36385.765646387204
4379.684865544121	260614.7158502158
4453.077593965221	2850520.501897681
4464.299514645459	593635.21153656
4487.690366220111	8827912.305247027
4560.864021207799	15619.350979946117
4601.081856604124	454819.18377215276
4662.45681913032	14152417.270206405
4698.078114972052	1464395.1861902282
4785.803807592385	22877889.266247485
4998.425614888261	8230088.951743082
5028.0677139865775	9631178.995132143
5136.7523211252455	668044.8173873291
5177.484739804146	35509686.28438258
5198.776773432427	894845.2923587427
5216.318695595195	72359.51683452586
5270.973568371483	118673.12699690583
5384.660754969949	387205.21904686844
5440.963019651582	116221.75220235839
5520.835580499596	168445.745325026
5643.820939922427	5114721.07495135
5750.055190169727	13101222.398200499
5772.036494862873	242810.44954385073
5788.007725129561	161467.3288925765
6045.731604711298	813347.5939162424
6092.842217337076	51341174.786791705
6113.4739409585145	1175671.4658730242
6211.950859725136	1302774.1160224795
6307.281374194087	357163.88803044567
6329.466460777104	385233.37320026295
6570.598409981602	1113272.2100921546
6644.636485585422	11021534.961299283
6668.0192708982995	302373.7679257188
6714.047356368912	140235.683104497
6733.118540613191	191960.64902130616
6843.271705130038	68255.90322789886
6912.711643668556	171260.15914456392
6951.69106959443	25568477.788511533
6972.850682896979	410350.8608139294
7068.277615407141	11830.379191695709
7273.741129611468	25863128.330432188
7294.103360522717	255641.2908804791
7437.953531405746	49730377.78828071
7459.192135108303	477274.6741484101
7753.500681454036	39082.30888425099
7780.345846122932	9195.092379827955
7854.6419887845095	43780.52182390008
7931.830115402625	137424.12279833693
7979.744929949427	3809.1202711327223
8324.527184595634	57077575.50156453
8490.732193248761	832010.1108907509
8512.038647300362	9572.972951809754
8723.488103360536	203578.99069266382
8766.566975677975	57286.56804641652
8906.633428768157	4819500.357644874
8930.014864038896	753293.2300433784
8975.732359862688	11888535.219948137
9203.047554031693	177689.41305934484
9325.376992457937	32386513.26488505
9396.223953821649	1054421.7760843942
9572.312037193198	32309675.79409317
9997.691656322917	7819947.206026329
10056.441800039172	6703287.390550057
10542.651265242319	4707.630638937678
10768.32751360495	11363.13538257964
11287.347878188346	1222603.1964366785
12086.637673597768	73038.37693067454
12420.329328445312	2574.6347612207433
12609.680148928737	6465.912629447261
