m/z	Intensity
2001.0185305818998	47885.00450664948
2004.3085070410696	68744.70617042886
2009.685704892383	286206.48607201333
2018.4390148299597	90961.26401906622
2021.8782005166383	157228.36041809467
2028.9005136560656	377548.3470399972
2034.851979371099	103645.34279843864
2048.2067432648873	17513.800115518847
2087.367646397197	134306.28805267514
2111.0835498332804	58867.578751439665
2130.637481312583	57450.81118294824
2152.9261397693886	119555.14312867752
2175.050874494354	34090.974217309005
2388.6398468601155	23942.47697767945
2486.7870561562677	155976.58840478776
2610.8505392977854	45730.863706753444
2871.895102438788	173284.31895831085
3122.0267199639648	13752.419248487156
3445.1920535689105	36252.361653814354
3822.6694649204146	26998.363191063043
3908.0190314258	324539.3660066301
3917.4978796019063	662142.3302039595
3929.715277026433	789535.4160454767
3940.5388305949236	765689.0833569405
3955.9999089448042	412193.5685480424
3963.1750637084697	210532.06784315218
3988.528807487606	43831.499470012815
4241.723017308887	7835073.658743384
4252.96775394244	607126.7493726453
4262.2681113262715	1369451.4773484408
4271.088346219736	82585.28580571542
4283.059219932439	363079.7489556335
4796.182401733136	10806.662411500696
5052.316953215316	229345.7156530417
5173.219971512164	538827.4404331775
5195.473903297325	119784.2346553412
5429.70195145101	35166.534968761895
5497.461514792687	51340.98789603797
5508.814186091185	440685.7166511908
5529.769399341454	220588.42536132113
5551.7704704518965	112817.70021507179
5631.426073373118	42538.735506094556
5745.944062058831	30407047.798192717
5769.510199777719	13895557.076384349
5789.242566952677	3537229.9935156545
5809.351681058156	886120.6291970911
6089.270378509349	418451.14697776665
6112.9431022764975	390393.51565546816
6130.19915387254	101609.22493947577
6210.930736422158	7732.489336116719
6245.149624213876	150217.25514735948
6326.154803105852	609277.1946477065
6350.283148781025	378313.1691081915
6372.4211821224235	1033955.2175234082
6393.398019080305	149508.25878272046
6501.460435816079	77184.25776310211
6759.224682169621	12791.316551458993
6948.392960252509	12753.89554224005
7115.2183191074	23355.733419638378
7264.572118402871	27259.792983830546
7432.153360061166	12129.079445746356
7768.5518176300075	18645.62099584
7839.328444188187	199360.62986220507
7926.447170465321	5064.713649773525
8093.218037214703	3528.2184578062825
8485.508156211172	53770221.63146309
8510.12692576649	1426704.130235366
8522.172669656255	1680406.6389804378
8759.3993117813	49450.05209145189
9321.101718542268	108841.06303474997
9357.059782341072	20176.634042483383
9597.912316850237	4952.440506196484
10018.995463380536	2072.39180963107
10083.374518607145	3003.991131642104
11178.409677527048	3903.1196973996107
16962.84224880752	337323.6728435195
