m/z	Intensity
2000.295500176978	74810.07906239068
2010.7097401170208	232383.4374386361
2020.4765728829184	1046524.1030328106
2025.2000648634137	50673.075299750555
2034.3929007746287	1604312.688648578
2041.8435105580459	87596.83294221101
2059.1677558967062	115230.42863562018
2061.891924931958	8576.111023297664
2067.0728072317197	358140.40808444563
2077.5224581239017	523059.7682740734
2088.47837973444	152914.9082612176
2109.1672938960805	314837.3252458854
2118.893849805081	2563624.655001784
2130.7891641348447	616925.2663265945
2165.697286468507	2580471.903716994
2181.435407745451	93344.36184664405
2188.729171913281	612602.8569605834
2207.721731489797	2716547.6673559253
2223.2578139831694	836649.0650438053
2231.6841238128163	33442.94019744317
2248.0865758723944	33901.51357757422
2251.7159898112973	61309.05980243137
2266.120075097174	5630.147867453641
2318.7740427629938	12002.362897287967
2354.5280977923744	13548.387357285343
2390.5557005444753	35186.67664328367
2405.396520832018	2357.5872291858577
2418.5121392064157	19591.457351275727
2431.1455587109067	3135.627137073383
2475.0618559524996	15146.032101371664
2482.0830857283822	5423.747217644952
2487.5426032815285	8594.751540885463
2526.0779723279843	52516.40258782983
2532.793596297001	147182.9675258374
2546.857280077057	24684.977635878317
2565.0615035596043	13423.4409198638
2585.237309259274	5550825.89227153
2594.8580578996184	187870.6445295084
2606.87081931241	375854.63851842686
2631.441325488359	2067573.0178944883
2647.7827541148376	1667039.8940971715
2675.9586654599593	250192.06135218206
2693.0603635089083	43029.29704824164
2767.3762389729914	39722.363731338475
2803.165649771852	3716265.731167254
2825.7704282571904	720685.7817537064
2870.126919224384	1233974.3135794823
2881.471352531242	85673.14263647869
2975.9780862772836	43903.97199691279
2988.5137561956467	29384.8825457582
3041.8980953307005	1563484.7926388632
3050.344235507128	85765.21319907083
3146.548877805464	9614.547973373094
3184.365167664389	230505.8357592536
3251.0016753006394	6796.771487767715
3317.377587041799	27111.259279599886
3325.938048583338	72275.35046707297
3350.035495076307	88479.23411639407
3441.1315964428104	5680.195803052172
3446.150032332899	40596.926691600194
3451.612833807457	63344.293051954184
3469.6177494804224	1684156.3425153454
3480.2307557527943	45679.66679899709
3601.7342209153426	6269.9773351780095
3612.8177815097065	34725.630372071515
3631.509043898464	1438613.3773716665
3694.891097934143	61015.44320482182
3713.336061887176	3062141.2511932678
3728.3449591572894	94425.88563269012
3871.1322718800843	10486.874105796884
3898.8124971675597	34065.97364271085
3916.06882506415	132970.65195527516
3946.830353323806	8693.773763053478
3960.0372186516697	24674.65928066076
4008.999431598274	25142.523053550816
4023.166241324041	31818.70518509815
4137.4967515833905	149931.93788500826
4154.886030343398	4727652.30540397
4238.471456349432	34904045.816134416
4260.575045891297	18754628.72978686
4446.873762014641	118853.45447431292
4475.43338836486	4573399.65298698
4628.887021978035	107695.0087211968
4655.055314368598	1506193.0715326741
4759.534478558899	77564.66112799934
4778.494980816783	7102024.972709121
4991.03193398589	641727.324495684
5020.754272006536	653963.2617373228
5033.200102050403	140258.25347756196
5048.64579990115	5405321.957012042
5129.237429381981	4718732.244603305
5169.934367517919	114110029.87375723
5190.8836022189835	2548445.6748025245
5204.620733245895	1830001.2314689686
5416.168013616609	13284.24911657068
5433.627737054986	143427.60354927194
5611.7931572097505	14492.161580329388
5626.863791831084	2290887.5254472583
5741.901887684874	92322405.17768937
5763.067221452689	2709549.175785932
5779.9362722319975	1272170.9921683369
5933.444922744936	824754.2223713559
5952.760494854004	392239.7070520466
6035.813784325002	292853.17126329005
6042.5762042114575	57852.212228478034
6083.698312229612	44273561.53522758
6105.249459462037	1400664.0611777455
6237.252228981409	87749.70808997026
6295.56642968469	878686.3876714543
6319.874518581557	1103572.0422667472
6334.195273809162	136792.9291970646
6352.23858543275	87623.87957209082
6367.1945162737475	259258.68390178523
6493.760419530153	63539.951662538835
6550.830005841024	607424.8461193448
6634.152708557288	869378.3401279732
6661.431679455713	9629.0048009215
6705.71044673591	93759.61363776843
6940.424108991548	29208635.401416514
7262.170286334725	15117555.819090767
7426.488141838629	48007713.49357713
7647.782050044185	38715.217296410774
7719.983537102406	29954.8591797546
7761.43159822382	120283.52620023764
7832.307308185829	1065140.941209523
7919.118459244818	798998.5782423868
7950.257502812048	80534.26324517361
8074.3461347514	357384.6842397706
8309.670657926983	28286707.221134573
8477.500283912623	348698638.79942244
8709.623010219873	232954.61694819768
8893.305048512522	586165.0416911015
8916.665707326803	178559.98429828658
8961.348415278104	5798914.6921666395
9189.313317492619	29408.220313874335
9262.809047910017	646114.0189166679
9309.797276480733	6749533.290065377
9556.639063750448	22493185.8399989
9979.66515176677	1542175.7876824383
10038.053482894076	1158673.5855075868
11190.739105037295	13733.706314912886
11267.52903296673	207674.00626607024
12066.673843483548	906255.2163422371
12659.003175507562	3803.4326038902955
16947.2318153652	1273.0182897778975
