m/z	Intensity
2004.0510081937498	1307980.8587755458
2010.5720325395398	84767.68152070536
2019.4630184676068	265855.4622725068
2022.0936545019795	12097.50583895974
2025.4012397231304	17930.811561022056
2028.4411989582027	72713.22135099508
2035.8141042294922	9310708.694318369
2059.4428057770656	8612281.58965284
2067.6222450830414	4416779.083743041
2075.5444457396316	922415.3948692121
2081.427579702341	675880.4034098064
2091.7774120923027	6776433.216759446
2108.4180936941216	5319520.808146864
2130.939106507441	1365922.8968371607
2166.970114136582	9640130.301446164
2182.4343451681884	457152.0763684119
2190.2924145978554	11041640.375585625
2207.672176157654	16934581.856098432
2225.61610994836	3819007.0509166974
2533.5361527617433	1850597.375662977
2550.558151444853	22516.190022253708
2555.031129337332	32622.799455070966
2586.451699623469	1809758.3827603247
2608.169517049151	556195.4923221676
2632.6720994373504	15187242.962231064
2649.0193115113966	6052784.725843472
2674.3333238439027	72072.09292786432
2804.774779373158	6095877.69110024
2826.8302777486597	1721311.722598052
2872.2457338715058	8874410.896528576
2883.515140331132	956123.5828486034
2893.1114842614056	189299.15937260335
3043.6036335094996	3116040.069138399
3055.0381367458044	220725.32035779854
3072.8123030511574	369761.69053903647
3149.4750023657784	264799.4706420479
3161.950189442347	441410.542127252
3186.7204192393274	1156225.5728944133
3319.3654143505	715226.4984659444
3329.1414377103342	113374.13733649971
3336.851256931842	43737.63856068228
3448.191702084295	83324.39636223149
3464.5999124438795	59250.375836358
3472.7301975873816	2560320.2957700347
3482.4636978261437	137993.18842498315
3634.0797408571093	2821400.61121527
3644.5801309411954	276465.35919721244
3715.853982870992	5503938.038808522
3727.387806936415	344984.0782352018
3740.591204821357	2159366.260447401
3759.519982467293	241026.76607564284
3907.134324135997	701913.5731682715
3929.864963786615	397037.56777123857
3947.286156933175	331958.03306663316
3963.5177210432953	37686.909034801116
4010.891627187761	46872.12036683533
4140.20695969914	455526.13967623626
4158.668356743748	5539749.738323146
4169.3192118025845	92569.81880480438
4241.910814192611	32221041.325186264
4252.7655223746715	2352391.452882697
4264.026020391559	35980266.20071946
4285.1181919550245	5223022.689978534
4303.899537432165	321008.5549410805
4358.013232094748	3627752.4145264956
4377.846962130198	76133.25458068197
4450.822422426067	275669.23544870043
4461.9410434850915	599872.973492799
4484.822798054951	3175330.2557397275
4495.8831688251785	225625.47897002246
4523.593690379146	59464.21969716526
4659.53034570458	8078844.853229246
4670.701408162561	771078.8900616216
4694.625688687844	596550.9408182917
4765.832896055176	99427.9624271681
4782.7325706994425	8018611.115993781
4793.73859304928	206930.56950682585
4801.3255673317035	206847.24626884842
4996.024895769508	1166377.4651140175
5004.6193996741395	14485.431865223229
5025.340166090512	1728227.711404437
5036.302258126161	514608.5784996147
5053.034443023849	642477.8974946829
5133.348159845227	256828.0106257625
5174.174208186536	32074774.636016186
5195.78347820606	2901493.8930044435
5214.728528292398	308427.2799799728
5422.084326798313	37875.70494043842
5431.258811159234	156270.79177552322
5438.559719600343	197725.0141434636
5467.146686450324	2338626.403981914
5488.802836644952	82920.48824679997
5640.9182774995115	133804.00641073735
5747.1231593712255	244047570.61258784
5769.0984163115045	31858693.64083921
5787.576339839552	15001145.686011754
5808.256372346224	1225367.5682242853
5934.2669091088355	144925.1174273898
6041.552668785873	547027.0873266768
6089.699867796506	35108231.20492811
6111.381529475293	3986312.7807645844
6131.574177842403	637078.8948663091
6150.387936827848	507079.86473942874
6245.600501689073	342316.5318030359
6302.411981135917	7978763.469655292
6326.855548223199	15228428.110228226
6348.954988651345	3284556.4424540373
6373.368769026395	5847178.920952044
6502.188743605308	702563.5366235677
6641.587995183542	5349451.06535287
6664.842444704397	435057.2356776661
6832.1098074007805	27997.25205299299
6948.066298528136	15165924.235113174
6969.846305381036	931758.9603582004
6991.785862414899	64721.6240539141
7233.354413498008	165829.975701131
7270.15464304776	10755590.294797324
7292.177092765436	537687.616656637
7316.029548330175	71008.57479026736
7434.323418380945	27139450.616670515
7455.945099880444	1457642.6535169897
7471.760425704209	274971.76386496436
7793.30758186753	34332.30058410858
7928.20479052976	1241829.483699582
7951.335384935615	41756.138107733466
8319.847008714374	15051789.133711496
8486.55502994586	141276614.131695
8508.547842689999	7646678.871061117
8526.827648095708	2910088.749927692
8719.669635623059	19302618.06827055
8741.962264932159	2973621.1727906335
8905.744743367133	841760.3415991219
8925.721934367086	897006.6147849874
8972.280286360443	4830226.30852457
9321.70625606931	22378521.07923206
9344.319991089902	665781.3499418173
9389.338854698255	339356.9449309216
9568.294397322614	11756447.896766005
9590.32341434121	364824.76436038053
9994.77700327161	1399175.3343241035
10053.818301509054	1420385.9769741832
10766.843533365129	29295.545849908507
10876.576904575724	66152.73654678736
10902.099516395909	4547.871042751326
11043.560417610093	31172.794076819027
11280.239353963476	149811.11442890693
11310.539236651803	7254.674448255138
12081.244218432019	788873.8645728109
12301.260416940695	145746.45473322977
12611.742239426107	70424.51983536684
12680.756782811148	7259.958182890454
